c,z,attribute,y,tech,f,techfuel,value
Angola,Angola_Central,CapacityTechFuel,2027,OffshoreWind,Wind,Offshore Wind,0.0
Angola,Angola_Central,CapacityTechFuel,2027,OnshoreWind,Wind,Onshore Wind,0.0
Angola,Angola_Central,CapacityTechFuel,2027,PV,Solar,PV,228.0
Angola,Angola_Central,CapacityTechFuel,2027,pvwsto,Solar,PV+Storage,0.0
Angola,Angola_Central,CapacityTechFuel,2027,STOPV,Battery,Solar Thermal,0.0
Angola,Angola_Central,CapacityTechFuel,2027,Storage,Battery,Battery,0.0
Angola,Angola_Central,CapacityTechFuel,2027,Storage,Water,PSH,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_SAR,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_MOZ_EDM,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_MOZ_HCB,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_ZAM,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_SAPP,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,INT,Import_BWA,Imports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,EXP,Export,Exports,0.0
Angola,Angola_Central,CapacityTechFuel,2027,CCGT,Gas_Moz,CCGT-Gas_Moz,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ST,Coal_Bula,ST-Coal_Bula,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ST,Coal_Hara,ST-Coal_Hara,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ST,Coal_Hwan,ST-Coal_Hwan,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ST,Coal_Munya,ST-Coal_Munya,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ST,Coal_Zhon,ST-Coal_Zhon,0.0
Angola,Angola_Central,CapacityTechFuel,2027,ImportTransmission,Import,ImportTransmission-Import,0.0
Angola,Angola_Central,CapacityTechFuel,2028,Nuclear,Uranium,Nuclear,0.0
Angola,Angola_Central,CapacityTechFuel,2028,CCGT,Gas,CCGT-Gas,0.0
Angola,Angola_Central,CapacityTechFuel,2028,CCGT,LNG,CCGT-LNG,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,Coal,ST-Coal,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,DomesticCoal,ST-DomesticCoal,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,ImportedCoal,ST-ImportedCoal,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,Geothermal,ST-Geothermal,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,Lignite,ST-Lignite,0.0
Angola,Angola_Central,CapacityTechFuel,2028,ST,Bagasse,ST-Bagasse,0.0
