zone,scenario,year,q,d,exporter,direction,variant,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,n_floored,raw_mean_usd
Bulgaria,VERY_LOW,2051,Q3,d3,EU,import,CBAM,14.2540,10.6044,10.6044,8.5101,12.5370,11.5376,14.5858,9.3852,4.0933,2.1690,2.1648,2.1648,2.1648,2.1897,5.8932,19.9150,46.5943,56.9790,57.3440,57.2112,36.8731,31.9504,31.9171,10.6086,0,19.2604
Bulgaria,VERY_LOW,2051,Q3,d4,EU,import,CBAM,37.4164,35.4838,37.8270,40.1826,47.2869,56.0790,54.4201,44.7487,36.1059,28.3381,30.0094,29.9223,32.0997,36.1722,38.7850,44.9395,57.5430,61.3543,63.1750,51.1024,44.2179,32.7342,37.2588,35.9731,0,42.2156
Bulgaria,VERY_LOW,2051,Q3,d5,EU,import,CBAM,40.5932,40.7342,37.6901,18.7538,18.7538,33.6756,33.7212,38.4449,27.3386,18.7538,23.1208,29.0390,37.3335,40.8420,42.5217,47.8840,56.4357,66.4389,67.7992,58.6088,51.8903,43.6332,45.6612,42.9654,0,40.1097
Bulgaria,VERY_LOW,2051,Q3,d6,EU,import,CBAM,41.8705,41.0162,41.9494,43.8903,50.7830,62.8888,52.4377,44.9188,42.5134,48.5684,52.7654,52.7612,52.7654,52.7654,72.0293,85.1181,95.2166,95.3535,93.3711,81.8915,58.5052,51.3968,47.6269,45.6736,0,58.6698
Bulgaria,VERY_LOW,2051,Q3,d7,EU,import,CBAM,45.1345,44.6990,45.1303,49.0992,64.0791,61.0972,34.9198,25.7088,28.3339,6.3411,6.3245,10.4593,31.9835,43.3553,47.4113,59.9235,78.3498,114.0119,78.0014,58.8245,50.0862,41.0536,46.3123,43.5958,0,46.4265
Bulgaria,VERY_LOW,2051,Q4,d1,EU,import,CBAM,46.5984,44.2179,44.9768,53.4994,72.6680,84.9480,64.8339,56.9292,44.9022,36.1183,37.0141,33.6424,38.2708,62.2999,70.2253,79.2580,94.7065,105.7879,83.0320,64.5062,60.8608,47.5399,34.0696,28.1183,0,57.8760
Bulgaria,VERY_LOW,2051,Q4,d2,EU,import,CBAM,31.3988,30.1463,23.5231,30.4863,35.8778,45.7233,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,57.4186,67.2227,63.1128,67.0153,54.1837,52.7612,24.9747,18.6335,41.5636,0,46.6221
Bulgaria,VERY_LOW,2051,Q4,d3,EU,import,CBAM,42.5507,39.7430,31.1043,27.0483,36.0229,27.2225,40.3527,25.2525,19.9150,6.1710,3.7947,2.2478,6.1710,30.7228,41.5636,51.1687,52.7612,45.1345,39.7140,37.9846,23.0255,14.0964,6.3121,12.5329,0,27.6089
Bulgaria,VERY_LOW,2051,Q4,d4,EU,import,CBAM,39.8301,40.6056,41.8374,45.2049,65.8375,74.3643,72.6680,56.5394,41.3273,34.0654,31.2329,28.7072,32.3029,41.2443,61.0972,74.0034,126.6071,122.4640,75.1563,61.2299,49.1116,36.5496,35.1852,39.3615,0,55.2722
Bulgaria,VERY_LOW,2051,Q4,d5,EU,import,CBAM,38.9592,38.5610,39.6435,43.6373,56.3610,63.4653,66.3103,63.9588,62.8681,60.2263,56.5394,51.9691,51.7659,54.0054,57.1449,61.0806,71.1336,74.9490,60.8442,52.9686,50.7125,45.6487,45.5284,42.3931,0,54.6114
Bulgaria,VERY_LOW,2051,Q4,d6,EU,import,CBAM,25.3769,19.1976,19.1934,27.4215,33.0328,51.6083,58.8577,50.5010,39.3200,37.4206,33.8042,32.4397,33.0079,35.9110,45.9639,47.7348,52.7612,49.7047,41.6383,35.2515,24.7300,21.0472,11.7781,21.1260,0,35.3678
Bulgaria,VERY_LOW,2051,Q4,d7,EU,import,CBAM,21.2629,19.2183,14.6605,24.7632,45.1469,52.7654,72.8878,76.3549,57.0536,52.7612,51.1480,51.9069,52.7612,59.4508,73.6385,93.5287,76.0190,63.5731,53.6031,59.0734,52.7612,30.6979,16.7382,11.1062,0,49.2867
Bulgaria,VERY_LOW,2052,Q1,d1,EU,import,CBAM,27.4547,40.7342,31.3448,60.3051,64.7468,72.8920,83.2352,81.0911,69.1719,65.7794,67.3554,67.2890,66.7043,69.5659,73.4436,80.9542,94.3416,104.0212,97.1368,83.7826,80.2077,65.7794,65.7794,65.5970,0,69.9464
Bulgaria,VERY_LOW,2052,Q1,d2,EU,import,CBAM,37.5242,34.5009,33.0286,39.4403,49.5720,80.1455,78.6981,74.6877,76.8526,78.4037,74.1196,72.4233,73.4975,91.9237,127.3910,152.4238,138.8083,133.6326,108.0358,108.2514,80.9874,76.8111,59.3554,60.1558,0,80.8612
Bulgaria,VERY_LOW,2052,Q1,d3,EU,import,CBAM,4.6822,2.3971,2.3971,3.4090,16.0374,60.8400,66.8453,64.9500,57.6882,22.9011,6.1959,10.4593,14.0923,37.7897,54.0054,68.7489,70.7395,68.0646,66.7789,57.6923,56.7758,9.4515,22.9715,11.5666,0,35.7283
Bulgaria,VERY_LOW,2052,Q1,d4,EU,import,CBAM,38.4449,36.9975,37.3749,40.9997,49.8581,61.4663,60.0604,53.9017,10.4593,6.2084,6.2084,6.2084,6.2084,6.2084,6.2084,6.2084,30.7974,56.4689,56.6887,50.5757,46.4616,41.1531,38.9758,39.2661,0,33.0587
Bulgaria,VERY_LOW,2052,Q1,d5,EU,import,CBAM,45.7607,45.8934,45.9971,49.6591,50.6503,63.2745,77.1512,84.1642,73.4933,71.9298,63.2621,62.1299,63.2579,65.4684,71.2497,80.4151,96.9045,87.4156,91.3514,75.3554,63.2703,53.0930,43.7410,43.5419,0,65.3512
Bulgaria,VERY_LOW,2052,Q1,d6,EU,import,CBAM,55.3242,49.6964,48.8130,54.2169,59.5254,68.4378,78.8889,92.1974,50.0821,72.6763,68.8691,41.7254,45.3252,44.3216,63.6229,65.7670,68.8982,78.7437,76.7240,65.4974,58.3849,53.2008,48.3859,53.0640,0,60.9329
Bulgaria,VERY_LOW,2052,Q1,d7,EU,import,CBAM,51.1396,47.7845,47.5315,50.1899,56.0583,63.4445,77.2300,76.7821,63.5648,57.3398,35.7907,43.3926,39.7140,49.2568,56.4896,58.2646,63.8551,71.0838,79.0174,64.7095,61.7069,52.5622,49.6549,50.1236,0,56.9453
Bulgaria,VERY_LOW,2052,Q2,d1,EU,import,CBAM,26.4304,27.2391,26.4304,27.2391,26.5174,31.2287,33.4973,29.5740,23.9503,24.1286,22.1421,13.6734,8.3650,8.9289,15.3074,19.4754,43.8073,56.0790,56.5726,51.9898,48.8172,47.4362,42.5258,43.2682,0,31.4426
Bulgaria,VERY_LOW,2052,Q2,d2,EU,import,CBAM,39.6352,40.1785,40.6554,41.9162,48.1661,45.6902,7.4816,6.1959,6.1959,6.1959,6.1959,6.1959,6.1959,8.5267,37.1842,43.3511,49.9826,54.3828,57.2900,53.7317,50.5673,45.9100,50.1029,47.1873,0,33.2965
Bulgaria,VERY_LOW,2052,Q2,d3,EU,import,CBAM,38.2376,37.9348,38.6647,42.6958,43.8156,44.9519,45.0391,45.0142,38.5196,37.7938,39.8135,35.7409,38.0966,44.3589,45.9888,46.9219,50.8701,60.8525,64.8712,60.3673,51.6249,47.1334,46.5901,44.7861,0,45.4451
Bulgaria,VERY_LOW,2052,Q2,d4,EU,import,CBAM,44.2262,44.8566,44.4999,50.9821,60.8732,71.7598,63.7390,53.7275,50.9779,49.1821,47.4942,46.1505,43.5875,47.0214,47.1085,48.5020,52.2802,60.1599,63.5524,58.2978,53.9764,44.3796,34.9115,32.4812,0,50.6136
Bulgaria,VERY_LOW,2052,Q2,d5,EU,import,CBAM,51.8613,51.0982,51.2019,51.0443,51.9318,51.4756,53.1676,48.7011,43.6373,38.2459,36.1556,27.0524,24.9747,25.3894,32.8545,37.9763,49.9411,56.0666,57.5140,54.5819,49.8581,46.5155,42.8949,36.1100,0,44.5937
Bulgaria,VERY_LOW,2052,Q2,d6,EU,import,CBAM,31.2246,31.2868,32.4522,37.7938,46.5984,48.8255,43.6165,37.9473,33.2691,31.2287,30.8928,31.0172,31.4734,32.7839,34.6378,39.2661,43.5295,56.2242,64.2781,54.5528,44.0520,39.0504,34.7995,31.5688,0,39.2654
Bulgaria,VERY_LOW,2052,Q2,d7,EU,import,CBAM,39.1749,37.4454,37.7606,40.3029,43.9898,59.7161,61.4083,60.8484,54.2294,44.0478,44.0478,27.4340,14.3619,28.0188,31.8425,37.4620,52.8400,61.4497,74.1113,54.1920,47.6228,43.1230,40.7425,36.6699,0,44.7017
Bulgaria,VERY_LOW,2052,Q3,d1,EU,import,CBAM,42.0531,41.4683,41.2734,45.2754,58.8287,64.0500,54.0345,45.4538,40.9748,39.2661,36.6699,34.1401,32.3609,51.8156,48.5933,57.0412,68.4752,109.8606,67.3595,50.6005,45.4704,41.8830,42.0779,41.1572,0,50.0076
Bulgaria,VERY_LOW,2052,Q3,d2,EU,import,CBAM,2.6169,2.1980,2.3680,22.9508,46.4118,59.8738,61.4704,51.2350,41.3273,39.0794,34.3060,33.7295,37.0390,40.3444,42.5839,54.1215,81.2819,147.4512,96.8133,53.9639,45.8146,38.6689,49.1282,46.9509,0,47.1554
Bulgaria,VERY_LOW,2052,Q3,d3,EU,import,CBAM,14.2540,10.6044,10.6044,8.5101,12.5370,11.5376,14.5858,9.3852,4.0933,2.1690,2.1648,2.1648,2.1648,2.1897,5.8932,19.9150,46.5943,56.9790,57.3440,57.2112,36.8731,31.9504,31.9171,10.6086,0,19.2604
Bulgaria,VERY_LOW,2052,Q3,d4,EU,import,CBAM,37.4164,35.4838,37.8270,40.1826,47.2869,56.0790,54.4201,44.7487,36.1059,28.3381,30.0094,29.9223,32.0997,36.1722,38.7850,44.9395,57.5430,61.3543,63.1750,51.1024,44.2179,32.7342,37.2588,35.9731,0,42.2156
Bulgaria,VERY_LOW,2052,Q3,d5,EU,import,CBAM,40.5932,40.7342,37.6901,18.7538,18.7538,33.6756,33.7212,38.4449,27.3386,18.7538,23.1208,29.0390,37.3335,40.8420,42.5217,47.8840,56.4357,66.4389,67.7992,58.6088,51.8903,43.6332,45.6612,42.9654,0,40.1097
Bulgaria,VERY_LOW,2052,Q3,d6,EU,import,CBAM,41.8705,41.0162,41.9494,43.8903,50.7830,62.8888,52.4377,44.9188,42.5134,48.5684,52.7654,52.7612,52.7654,52.7654,72.0293,85.1181,95.2166,95.3535,93.3711,81.8915,58.5052,51.3968,47.6269,45.6736,0,58.6698
Bulgaria,VERY_LOW,2052,Q3,d7,EU,import,CBAM,45.1345,44.6990,45.1303,49.0992,64.0791,61.0972,34.9198,25.7088,28.3339,6.3411,6.3245,10.4593,31.9835,43.3553,47.4113,59.9235,78.3498,114.0119,78.0014,58.8245,50.0862,41.0536,46.3123,43.5958,0,46.4265
Bulgaria,VERY_LOW,2052,Q4,d1,EU,import,CBAM,46.5984,44.2179,44.9768,53.4994,72.6680,84.9480,64.8339,56.9292,44.9022,36.1183,37.0141,33.6424,38.2708,62.2999,70.2253,79.2580,94.7065,105.7879,83.0320,64.5062,60.8608,47.5399,34.0696,28.1183,0,57.8760
Bulgaria,VERY_LOW,2052,Q4,d2,EU,import,CBAM,31.3988,30.1463,23.5231,30.4863,35.8778,45.7233,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,57.4186,67.2227,63.1128,67.0153,54.1837,52.7612,24.9747,18.6335,41.5636,0,46.6221
Bulgaria,VERY_LOW,2052,Q4,d3,EU,import,CBAM,42.5507,39.7430,31.1043,27.0483,36.0229,27.2225,40.3527,25.2525,19.9150,6.1710,3.7947,2.2478,6.1710,30.7228,41.5636,51.1687,52.7612,45.1345,39.7140,37.9846,23.0255,14.0964,6.3121,12.5329,0,27.6089
Bulgaria,VERY_LOW,2052,Q4,d4,EU,import,CBAM,39.8301,40.6056,41.8374,45.2049,65.8375,74.3643,72.6680,56.5394,41.3273,34.0654,31.2329,28.7072,32.3029,41.2443,61.0972,74.0034,126.6071,122.4640,75.1563,61.2299,49.1116,36.5496,35.1852,39.3615,0,55.2722
Bulgaria,VERY_LOW,2052,Q4,d5,EU,import,CBAM,38.9592,38.5610,39.6435,43.6373,56.3610,63.4653,66.3103,63.9588,62.8681,60.2263,56.5394,51.9691,51.7659,54.0054,57.1449,61.0806,71.1336,74.9490,60.8442,52.9686,50.7125,45.6487,45.5284,42.3931,0,54.6114
Bulgaria,VERY_LOW,2052,Q4,d6,EU,import,CBAM,25.3769,19.1976,19.1934,27.4215,33.0328,51.6083,58.8577,50.5010,39.3200,37.4206,33.8042,32.4397,33.0079,35.9110,45.9639,47.7348,52.7612,49.7047,41.6383,35.2515,24.7300,21.0472,11.7781,21.1260,0,35.3678
Bulgaria,VERY_LOW,2052,Q4,d7,EU,import,CBAM,21.2629,19.2183,14.6605,24.7632,45.1469,52.7654,72.8878,76.3549,57.0536,52.7612,51.1480,51.9069,52.7612,59.4508,73.6385,93.5287,76.0190,63.5731,53.6031,59.0734,52.7612,30.6979,16.7382,11.1062,0,49.2867
Bulgaria,VERY_LOW,2053,Q1,d1,EU,import,CBAM,27.4547,40.7342,31.3448,60.3051,64.7468,72.8920,83.2352,81.0911,69.1719,65.7794,67.3554,67.2890,66.7043,69.5659,73.4436,80.9542,94.3416,104.0212,97.1368,83.7826,80.2077,65.7794,65.7794,65.5970,0,69.9464
Bulgaria,VERY_LOW,2053,Q1,d2,EU,import,CBAM,37.5242,34.5009,33.0286,39.4403,49.5720,80.1455,78.6981,74.6877,76.8526,78.4037,74.1196,72.4233,73.4975,91.9237,127.3910,152.4238,138.8083,133.6326,108.0358,108.2514,80.9874,76.8111,59.3554,60.1558,0,80.8612
Bulgaria,VERY_LOW,2053,Q1,d3,EU,import,CBAM,4.6822,2.3971,2.3971,3.4090,16.0374,60.8400,66.8453,64.9500,57.6882,22.9011,6.1959,10.4593,14.0923,37.7897,54.0054,68.7489,70.7395,68.0646,66.7789,57.6923,56.7758,9.4515,22.9715,11.5666,0,35.7283
Bulgaria,VERY_LOW,2053,Q1,d4,EU,import,CBAM,38.4449,36.9975,37.3749,40.9997,49.8581,61.4663,60.0604,53.9017,10.4593,6.2084,6.2084,6.2084,6.2084,6.2084,6.2084,6.2084,30.7974,56.4689,56.6887,50.5757,46.4616,41.1531,38.9758,39.2661,0,33.0587
Bulgaria,VERY_LOW,2053,Q1,d5,EU,import,CBAM,45.7607,45.8934,45.9971,49.6591,50.6503,63.2745,77.1512,84.1642,73.4933,71.9298,63.2621,62.1299,63.2579,65.4684,71.2497,80.4151,96.9045,87.4156,91.3514,75.3554,63.2703,53.0930,43.7410,43.5419,0,65.3512
Bulgaria,VERY_LOW,2053,Q1,d6,EU,import,CBAM,55.3242,49.6964,48.8130,54.2169,59.5254,68.4378,78.8889,92.1974,50.0821,72.6763,68.8691,41.7254,45.3252,44.3216,63.6229,65.7670,68.8982,78.7437,76.7240,65.4974,58.3849,53.2008,48.3859,53.0640,0,60.9329
Bulgaria,VERY_LOW,2053,Q1,d7,EU,import,CBAM,51.1396,47.7845,47.5315,50.1899,56.0583,63.4445,77.2300,76.7821,63.5648,57.3398,35.7907,43.3926,39.7140,49.2568,56.4896,58.2646,63.8551,71.0838,79.0174,64.7095,61.7069,52.5622,49.6549,50.1236,0,56.9453
Bulgaria,VERY_LOW,2053,Q2,d1,EU,import,CBAM,26.4304,27.2391,26.4304,27.2391,26.5174,31.2287,33.4973,29.5740,23.9503,24.1286,22.1421,13.6734,8.3650,8.9289,15.3074,19.4754,43.8073,56.0790,56.5726,51.9898,48.8172,47.4362,42.5258,43.2682,0,31.4426
Bulgaria,VERY_LOW,2053,Q2,d2,EU,import,CBAM,39.6352,40.1785,40.6554,41.9162,48.1661,45.6902,7.4816,6.1959,6.1959,6.1959,6.1959,6.1959,6.1959,8.5267,37.1842,43.3511,49.9826,54.3828,57.2900,53.7317,50.5673,45.9100,50.1029,47.1873,0,33.2965
Bulgaria,VERY_LOW,2053,Q2,d3,EU,import,CBAM,38.2376,37.9348,38.6647,42.6958,43.8156,44.9519,45.0391,45.0142,38.5196,37.7938,39.8135,35.7409,38.0966,44.3589,45.9888,46.9219,50.8701,60.8525,64.8712,60.3673,51.6249,47.1334,46.5901,44.7861,0,45.4451
Bulgaria,VERY_LOW,2053,Q2,d4,EU,import,CBAM,44.2262,44.8566,44.4999,50.9821,60.8732,71.7598,63.7390,53.7275,50.9779,49.1821,47.4942,46.1505,43.5875,47.0214,47.1085,48.5020,52.2802,60.1599,63.5524,58.2978,53.9764,44.3796,34.9115,32.4812,0,50.6136
Bulgaria,VERY_LOW,2053,Q2,d5,EU,import,CBAM,51.8613,51.0982,51.2019,51.0443,51.9318,51.4756,53.1676,48.7011,43.6373,38.2459,36.1556,27.0524,24.9747,25.3894,32.8545,37.9763,49.9411,56.0666,57.5140,54.5819,49.8581,46.5155,42.8949,36.1100,0,44.5937
Bulgaria,VERY_LOW,2053,Q2,d6,EU,import,CBAM,31.2246,31.2868,32.4522,37.7938,46.5984,48.8255,43.6165,37.9473,33.2691,31.2287,30.8928,31.0172,31.4734,32.7839,34.6378,39.2661,43.5295,56.2242,64.2781,54.5528,44.0520,39.0504,34.7995,31.5688,0,39.2654
Bulgaria,VERY_LOW,2053,Q2,d7,EU,import,CBAM,39.1749,37.4454,37.7606,40.3029,43.9898,59.7161,61.4083,60.8484,54.2294,44.0478,44.0478,27.4340,14.3619,28.0188,31.8425,37.4620,52.8400,61.4497,74.1113,54.1920,47.6228,43.1230,40.7425,36.6699,0,44.7017
Bulgaria,VERY_LOW,2053,Q3,d1,EU,import,CBAM,42.0531,41.4683,41.2734,45.2754,58.8287,64.0500,54.0345,45.4538,40.9748,39.2661,36.6699,34.1401,32.3609,51.8156,48.5933,57.0412,68.4752,109.8606,67.3595,50.6005,45.4704,41.8830,42.0779,41.1572,0,50.0076
Bulgaria,VERY_LOW,2053,Q3,d2,EU,import,CBAM,2.6169,2.1980,2.3680,22.9508,46.4118,59.8738,61.4704,51.2350,41.3273,39.0794,34.3060,33.7295,37.0390,40.3444,42.5839,54.1215,81.2819,147.4512,96.8133,53.9639,45.8146,38.6689,49.1282,46.9509,0,47.1554
Bulgaria,VERY_LOW,2053,Q3,d3,EU,import,CBAM,14.2540,10.6044,10.6044,8.5101,12.5370,11.5376,14.5858,9.3852,4.0933,2.1690,2.1648,2.1648,2.1648,2.1897,5.8932,19.9150,46.5943,56.9790,57.3440,57.2112,36.8731,31.9504,31.9171,10.6086,0,19.2604
Bulgaria,VERY_LOW,2053,Q3,d4,EU,import,CBAM,37.4164,35.4838,37.8270,40.1826,47.2869,56.0790,54.4201,44.7487,36.1059,28.3381,30.0094,29.9223,32.0997,36.1722,38.7850,44.9395,57.5430,61.3543,63.1750,51.1024,44.2179,32.7342,37.2588,35.9731,0,42.2156
Bulgaria,VERY_LOW,2053,Q3,d5,EU,import,CBAM,40.5932,40.7342,37.6901,18.7538,18.7538,33.6756,33.7212,38.4449,27.3386,18.7538,23.1208,29.0390,37.3335,40.8420,42.5217,47.8840,56.4357,66.4389,67.7992,58.6088,51.8903,43.6332,45.6612,42.9654,0,40.1097
Bulgaria,VERY_LOW,2053,Q3,d6,EU,import,CBAM,41.8705,41.0162,41.9494,43.8903,50.7830,62.8888,52.4377,44.9188,42.5134,48.5684,52.7654,52.7612,52.7654,52.7654,72.0293,85.1181,95.2166,95.3535,93.3711,81.8915,58.5052,51.3968,47.6269,45.6736,0,58.6698
Bulgaria,VERY_LOW,2053,Q3,d7,EU,import,CBAM,45.1345,44.6990,45.1303,49.0992,64.0791,61.0972,34.9198,25.7088,28.3339,6.3411,6.3245,10.4593,31.9835,43.3553,47.4113,59.9235,78.3498,114.0119,78.0014,58.8245,50.0862,41.0536,46.3123,43.5958,0,46.4265
Bulgaria,VERY_LOW,2053,Q4,d1,EU,import,CBAM,46.5984,44.2179,44.9768,53.4994,72.6680,84.9480,64.8339,56.9292,44.9022,36.1183,37.0141,33.6424,38.2708,62.2999,70.2253,79.2580,94.7065,105.7879,83.0320,64.5062,60.8608,47.5399,34.0696,28.1183,0,57.8760
Bulgaria,VERY_LOW,2053,Q4,d2,EU,import,CBAM,31.3988,30.1463,23.5231,30.4863,35.8778,45.7233,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,52.7654,57.4186,67.2227,63.1128,67.0153,54.1837,52.7612,24.9747,18.6335,41.5636,0,46.6221
Bulgaria,VERY_LOW,2053,Q4,d3,EU,import,CBAM,42.5507,39.7430,31.1043,27.0483,36.0229,27.2225,40.3527,25.2525,19.9150,6.1710,3.7947,2.2478,6.1710,30.7228,41.5636,51.1687,52.7612,45.1345,39.7140,37.9846,23.0255,14.0964,6.3121,12.5329,0,27.6089
Bulgaria,VERY_LOW,2053,Q4,d4,EU,import,CBAM,39.8301,40.6056,41.8374,45.2049,65.8375,74.3643,72.6680,56.5394,41.3273,34.0654,31.2329,28.7072,32.3029,41.2443,61.0972,74.0034,126.6071,122.4640,75.1563,61.2299,49.1116,36.5496,35.1852,39.3615,0,55.2722
Bulgaria,VERY_LOW,2053,Q4,d5,EU,import,CBAM,38.9592,38.5610,39.6435,43.6373,56.3610,63.4653,66.3103,63.9588,62.8681,60.2263,56.5394,51.9691,51.7659,54.0054,57.1449,61.0806,71.1336,74.9490,60.8442,52.9686,50.7125,45.6487,45.5284,42.3931,0,54.6114
Bulgaria,VERY_LOW,2053,Q4,d6,EU,import,CBAM,25.3769,19.1976,19.1934,27.4215,33.0328,51.6083,58.8577,50.5010,39.3200,37.4206,33.8042,32.4397,33.0079,35.9110,45.9639,47.7348,52.7612,49.7047,41.6383,35.2515,24.7300,21.0472,11.7781,21.1260,0,35.3678
Bulgaria,VERY_LOW,2053,Q4,d7,EU,import,CBAM,21.2629,19.2183,14.6605,24.7632,45.1469,52.7654,72.8878,76.3549,57.0536,52.7612,51.1480,51.9069,52.7612,59.4508,73.6385,93.5287,76.0190,63.5731,53.6031,59.0734,52.7612,30.6979,16.7382,11.1062,0,49.2867
Bulgaria,VERY_LOW,2024,Q1,d1,Türkiye,export,REF,54.9758,84.9798,63.7651,129.1985,139.2342,157.6376,181.0074,176.1629,149.2324,141.5674,145.1283,144.9782,143.6570,150.1227,158.8839,175.8536,206.1013,227.9717,212.4168,182.2442,174.1670,141.5674,141.5674,141.1552,0,150.9823
Bulgaria,VERY_LOW,2024,Q1,d2,Türkiye,export,REF,77.7271,70.8961,67.5695,82.0562,104.9480,174.0265,170.7562,161.6950,166.5863,170.0909,160.4113,156.5788,159.0057,200.6384,280.7738,337.3335,306.5704,294.8762,237.0423,237.5295,175.9286,166.4927,127.0527,128.8612,0,175.6436
Bulgaria,VERY_LOW,2024,Q1,d3,Türkiye,export,REF,3.5230,0.0100,0.0100,0.6463,29.1791,130.4073,143.9756,139.6934,123.2859,44.6871,6.9432,16.5760,24.7844,78.3268,114.9649,148.2767,152.7744,146.7306,143.8257,123.2952,121.2243,14.2990,44.8463,19.0778,2,73.6693
Bulgaria,VERY_LOW,2024,Q1,d4,Türkiye,export,REF,79.8073,76.5370,77.3897,85.5795,105.5946,131.8223,128.6457,114.7307,16.5760,6.9713,6.9713,6.9713,6.9713,6.9713,6.9713,6.9713,62.5283,120.5310,121.0276,107.2157,97.9203,85.9261,81.0067,81.6626,0,67.6375
Bulgaria,VERY_LOW,2024,Q1,d5,Türkiye,export,REF,96.3366,96.6365,96.8707,105.1448,107.3843,135.9078,167.2610,183.1063,158.9964,155.4637,135.8796,133.3215,135.8702,140.8646,153.9270,174.6355,211.8922,190.4527,199.3453,163.2037,135.8984,112.9035,91.7732,91.3235,0,140.6000
Bulgaria,VERY_LOW,2024,Q1,d6,Türkiye,export,REF,117.9447,105.2291,103.2332,115.4429,127.4369,147.5739,171.1873,201.2568,106.1006,157.1504,148.5483,87.2192,95.3528,93.0852,136.6948,141.5393,148.6140,170.8592,166.2959,140.9303,124.8601,113.1471,102.2681,112.8378,0,130.6170
Bulgaria,VERY_LOW,2024,Q1,d7,Türkiye,export,REF,108.4900,100.9094,100.3378,106.3442,119.6033,136.2919,167.4390,166.4271,136.5636,122.4987,73.8102,90.9862,82.6746,104.2359,120.5778,124.5883,137.2196,153.5522,171.4777,139.1499,132.3658,111.7041,105.1354,106.1943,0,121.6074
Bulgaria,VERY_LOW,2024,Q2,d1,Türkiye,export,REF,52.6613,54.4885,52.6613,54.4885,52.8581,63.5029,68.6285,59.7640,47.0578,47.4607,42.9723,23.8380,11.8440,13.1182,27.5300,36.9472,91.9231,119.6501,120.7652,110.4109,103.2426,100.1223,89.0277,90.7050,0,63.9862
Bulgaria,VERY_LOW,2024,Q2,d2,Türkiye,export,REF,82.4966,83.7241,84.8017,87.6503,101.7715,96.1773,9.8480,6.9432,6.9432,6.9432,6.9432,6.9432,6.9432,12.2094,76.9587,90.8924,105.8757,115.8176,122.3863,114.3465,107.1969,96.6740,106.1474,99.5600,0,68.1747
Bulgaria,VERY_LOW,2024,Q2,d3,Türkiye,export,REF,79.3388,78.6547,80.3039,89.4119,91.9420,94.5094,94.7062,94.6500,79.9759,78.3361,82.8995,73.6978,79.0202,93.1694,96.8520,98.9603,107.8810,130.4354,139.5153,129.3392,109.5864,99.4382,98.2107,94.1346,0,95.6237
Bulgaria,VERY_LOW,2024,Q2,d4,Türkiye,export,REF,92.8696,94.2939,93.4880,108.1339,130.4822,155.0795,136.9572,114.3371,108.1245,104.0672,100.2535,97.2175,91.4266,99.1853,99.3820,102.5305,111.0669,128.8706,136.5356,124.6633,114.8994,93.2163,71.8237,66.3327,0,107.3015
Bulgaria,VERY_LOW,2024,Q2,d5,Türkiye,export,REF,110.1204,108.3963,108.6306,108.2745,110.2797,109.2490,113.0721,102.9802,91.5390,79.3575,74.6348,54.0668,49.3723,50.3093,67.1760,78.7484,105.7820,119.6220,122.8923,116.2675,105.5946,98.0420,89.8617,74.5317,0,93.7000
Bulgaria,VERY_LOW,2024,Q2,d6,Türkiye,export,REF,63.4935,63.6341,66.2671,78.3361,98.2295,103.2613,91.4921,78.6828,68.1130,63.5029,62.7438,63.0249,64.0557,67.0167,71.2053,81.6626,91.2954,119.9781,138.1754,116.2018,92.4760,81.1754,71.5707,64.2712,0,81.6611
Bulgaria,VERY_LOW,2024,Q2,d7,Türkiye,export,REF,81.4565,77.5490,78.2611,84.0052,92.3354,127.8679,131.6911,130.4261,115.4710,92.4666,92.4666,54.9289,25.3935,56.2502,64.8896,77.5865,112.3319,131.7848,160.3926,115.3866,100.5439,90.3771,84.9985,75.7968,0,93.9441
Bulgaria,VERY_LOW,2024,Q3,d1,Türkiye,export,REF,87.9596,86.6383,86.1979,95.2403,125.8627,137.6600,115.0306,95.6433,85.5232,81.6626,75.7968,70.0808,66.0610,110.0174,102.7366,121.8241,147.6582,241.1653,145.1376,107.2718,95.6807,87.5753,88.0157,85.9355,0,105.9323
Bulgaria,VERY_LOW,2024,Q3,d2,Türkiye,export,REF,0.0100,0.0100,0.0100,44.7995,97.8078,128.2241,131.8316,108.7055,86.3197,81.2409,70.4557,69.1531,76.6307,84.0989,89.1589,115.2273,176.5940,326.0984,211.6860,114.8713,96.4584,80.3133,103.9454,99.0259,3,99.4878
Bulgaria,VERY_LOW,2024,Q3,d3,Türkiye,export,REF,25.1499,16.9039,16.9039,12.1719,21.2705,19.0123,25.8995,14.1491,2.1925,0.0100,0.0100,0.0100,0.0100,0.0100,6.2591,37.9404,98.2201,121.6835,122.5081,122.2082,76.2559,65.1333,65.0583,16.9133,5,36.4615
