gen,Q1,Q2,Q3,Q4
Arnot2_TH_ZAF,0.53,0.53,0.53,0.53
Camden_TH_ZAF,0.59,0.59,0.59,0.59
Duvha_TH_ZAF,0.49,0.49,0.49,0.49
Grootvlei_TH_ZAF,0.66,0.66,0.66,0.66
Hendrina_TH_ZAF,0.52,0.52,0.52,0.52
KelvinA_TH_ZAF,0.55,0.55,0.55,0.55
KelvinB_TH_ZAF,0.55,0.55,0.55,0.55
Kendal_TH_ZAF,0.55,0.55,0.55,0.55
KomatiI_TH_ZAF,0.55,0.55,0.55,0.55
KomatiII_TH_ZAF,0.52,0.55,0.55,0.55
Kriel_TH_ZAF,0.52,0.52,0.52,0.52
Lethabo_TH_ZAF,0.65,0.65,0.65,0.65
MajubaI_TH_ZAF,0.6,0.6,0.6,0.6
MajubaII_TH_ZAF,0.6,0.6,0.6,0.6
Matimba_TH_ZAF,0.69,0.69,0.69,0.69
Matla_TH_ZAF,0.61,0.61,0.61,0.61
PretoriaWest_TH_ZAF,0.55,0.55,0.55,0.55
Rooiwal_TH_ZAF,0.55,0.55,0.55,0.55
Tutuka_TH_ZAF,0.5,0.5,0.5,0.5
New_HY_LHWP_LSO,0.82,0.77,0.65,0.72
Thyolo_HY_MWI,0.62,0.57,0.42,0.38
Tsate_HY_MOZ,0.58,0.52,0.4,0.45
Collywobbles_HY_ZAF,0.65,0.58,0.45,0.52
SmallHydro_2025_HY_TZA,0.38,0.55,0.3,0.3
SmallHydro_2026_HY_TZA,0.38,0.55,0.3,0.3
SmallHydro_2027_HY_TZA,0.38,0.55,0.3,0.3
