gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
CHOLLET_(DJA_RIVER),Congo,,Hydro/Primary,,,300,Candidate,,,,,,,,,,,,,,,,,,,
MOURALA,Congo,,Hydro/Primary,,,101,Candidate,,,,,,,,,,,,,,,,,,,
MBAMBA,Congo,,Hydro/Primary,,,6,Candidate,,,,,,,,,,,,,,,,,,,
LIOUESSA,Congo,,Hydro/Primary,,,19.5,Existing,,,,,,,,,,,,,,,,,,,
KOUEMBALI,Congo,,Hydro/Primary,,,150,Candidate,,,,,,,,,,,,,,,,,,,
IMBOULOU,Congo,,Hydro/Primary,,,120,Existing,,,,,,,,,,,,,,,,,,,
GAMBOMA,Congo,,Hydro/Primary,,,14,Candidate,,,,,,,,,,,,,,,,,,,
OUESSO,Congo,,Bagasse/Primary,,,2.5,Existing,,,,,,,,,,,,,,,,,,,
N'KAYI.MILL,Congo,,Bagasse/Primary,,,6,Existing,,,,,,,,,,,,,,,,,,,
Wind Zone 001,Congo,,Wind/Primary,,,23.26,,,,,,,,,,,,,,,,,,,,
Ngo,Congo,,Solar/Primary,,,50,Committed,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,Congo,,Solar/Primary,,,846.4,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,Congo,,Solar/Primary,,,14390.71,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,Congo,,Solar/Primary,,,17202.3,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,Congo,,Solar/Primary,,,170.48,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,Congo,,Solar/Primary,,,23176.53,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,Congo,,,,,,,,,,,,,,,,,,,,,,,,,
Existing E_Kananga (Eng)/E_Kamina (Eng)/E_Kikwit (Eng)/E_Kabinda (Eng)/E_Kasongo (Eng)/E_Kabalo (Eng)/E_Kasenga (Eng)/E_Inongo (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,16.1,,,,,,,,,,,,,,,,,,,,
Existing E_Lisala (Eng)/E_Libenge (Eng)/E_Lemba (Eng)/E_Lusambo (Eng)/E_Kindu (Eng)/E_Kongolo (Eng)/E_Lukala (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,13.7,,,,,,,,,,,,,,,,,,,,
Existing E_Goma (Eng)/E_Gemena (Eng)/E_Buta (Eng)/E_Bandundu (Eng)/E_Boende (Eng)/E_Basankusu (Eng)/E_Bumba (Eng)/E_Butembo (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,19.9,,,,,,,,,,,,,,,,,,,,
Existing E_Mbuji Mayi (Eng)/E_Mbandaka (Eng)/E_Mweka (Eng)/E_Tshela (Eng)/E_Zongo (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,125.1,,,,,,,,,,,,,,,,,,,,
Existing E_Bomba (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,22.5,,,,,,,,,,,,,,,,,,,,
Existing E_Kisangani (Eng),DemocraticRepublicoftheCongo,,Oil/Primary,,,51.2,,,,,,,,,,,,,,,,,,,,
Existing E_Muanda (Eng),DemocraticRepublicoftheCongo,,Gas/Primary,,,4.8,,,,,,,,,,,,,,,,,,,,
Candidate P_DRC_Gecamines_Coal 500,DemocraticRepublicoftheCongo,,Coal/Primary,,,500,,,,,,,,,,,,,,,,,,,,
Ubangui ,DemocraticRepublicoftheCongo,,Hydro/Primary,,,207,Candidate,,,,,,,,,,,,,,,,,,,
Inga_4_Phase_D,DemocraticRepublicoftheCongo,,Hydro/Primary,,,7424,Candidate,,,,,,,,,,,,,,,,,,,
Inga_3_phase_ABC,DemocraticRepublicoftheCongo,,Hydro/Primary,,,11050,Candidate,,,,,,,,,,,,,,,,,,,
Ruzizi_3_(DRC)_Share,DemocraticRepublicoftheCongo,,Hydro/Primary,,,68,Committed,,,,,,,,,,,,,,,,,,,
Wanie_Rukula,DemocraticRepublicoftheCongo,,Hydro/Primary,,,688,Candidate,,,,,,,,,,,,,,,,,,,
Zongo_2,DemocraticRepublicoftheCongo,,Hydro/Primary,,,150,Existing,,,,,,,,,,,,,,,,,,,
Ruzizi_2_RDC_Share,DemocraticRepublicoftheCongo,,Hydro/Primary,,,12,Existing,,,,,,,,,,,,,,,,,,,
Ruzizi_1,DemocraticRepublicoftheCongo,,Hydro/Primary,,,28,Existing,,,,,,,,,,,,,,,,,,,
Inga_2,DemocraticRepublicoftheCongo,,Hydro/Primary,,,1424,Existing,,,,,,,,,,,,,,,,,,,
Inga_1,DemocraticRepublicoftheCongo,,Hydro/Primary,,,351,Existing,,,,,,,,,,,,,,,,,,,
Nzoro,DemocraticRepublicoftheCongo,,Hydro/Primary,,,0,Candidate,,,,,,,,,,,,,,,,,,,
Busanga,DemocraticRepublicoftheCongo,,Hydro/Primary,,,240,Existing,,,,,,,,,,,,,,,,,,,
Piana,DemocraticRepublicoftheCongo,,Hydro/Primary,,,29.5,Existing,,,,,,,,,,,,,,,,,,,
Zongo,DemocraticRepublicoftheCongo,,Hydro/Primary,,,75,Existing,,,,,,,,,,,,,,,,,,,
Nseke,DemocraticRepublicoftheCongo,,Hydro/Primary,,,389,Existing,,,,,,,,,,,,,,,,,,,
Nzilo,DemocraticRepublicoftheCongo,,Hydro/Primary,,,110,Existing,,,,,,,,,,,,,,,,,,,
Mwadingusha,DemocraticRepublicoftheCongo,,Hydro/Primary,,,73,Existing,,,,,,,,,,,,,,,,,,,
Koni,DemocraticRepublicoftheCongo,,Hydro/Primary,,,42.12,Existing,,,,,,,,,,,,,,,,,,,
Soleniama,DemocraticRepublicoftheCongo,,Hydro/Primary,,,25.5,Existing,,,,,,,,,,,,,,,,,,,
Sombwe,DemocraticRepublicoftheCongo,,Hydro/Primary,,,160,Committed,,,,,,,,,,,,,,,,,,,
Inga_VII_phase_G,DemocraticRepublicoftheCongo,,Hydro/Primary,,,7424,Candidate,,,,,,,,,,,,,,,,,,,
Inga_VI_phase_E,DemocraticRepublicoftheCongo,,Hydro/Primary,,,7424,Candidate,,,,,,,,,,,,,,,,,,,
Inga_V_phaase_F,DemocraticRepublicoftheCongo,,Hydro/Primary,,,7424,Candidate,,,,,,,,,,,,,,,,,,,
Katende,DemocraticRepublicoftheCongo,,Hydro/Primary,,,64,Committed,,,,,,,,,,,,,,,,,,,
Kakobola,DemocraticRepublicoftheCongo,,Hydro/Primary,,,10.5,Committed,,,,,,,,,,,,,,,,,,,
Mobayi,DemocraticRepublicoftheCongo,,Hydro/Primary,,,16.4,Existing,,,,,,,,,,,,,,,,,,,
Tshopo,DemocraticRepublicoftheCongo,,Hydro/Primary,,,8.6,Existing,,,,,,,,,,,,,,,,,,,
Sanga,DemocraticRepublicoftheCongo,,Hydro/Primary,,,12,Existing,,,,,,,,,,,,,,,,,,,
Wind Zone 010,DemocraticRepublicoftheCongo,,Wind/Primary,,,606,,,,,,,,,,,,,,,,,,,,
Wind Zone 009,DemocraticRepublicoftheCongo,,Wind/Primary,,,60.51,,,,,,,,,,,,,,,,,,,,
Wind Zone 008,DemocraticRepublicoftheCongo,,Wind/Primary,,,27.63,,,,,,,,,,,,,,,,,,,,
Wind Zone 007,DemocraticRepublicoftheCongo,,Wind/Primary,,,78.32,,,,,,,,,,,,,,,,,,,,
Wind Zone 006,DemocraticRepublicoftheCongo,,Wind/Primary,,,529.74,,,,,,,,,,,,,,,,,,,,
Wind Zone 005,DemocraticRepublicoftheCongo,,Wind/Primary,,,72.38,,,,,,,,,,,,,,,,,,,,
Wind Zone 004,DemocraticRepublicoftheCongo,,Wind/Primary,,,128.1,,,,,,,,,,,,,,,,,,,,
Wind Zone 003,DemocraticRepublicoftheCongo,,Wind/Primary,,,68.96,,,,,,,,,,,,,,,,,,,,
Wind Zone 002,DemocraticRepublicoftheCongo,,Wind/Primary,,,198.19,,,,,,,,,,,,,,,,,,,,
Wind Zone 001,DemocraticRepublicoftheCongo,,Wind/Primary,,,70.1,,,,,,,,,,,,,,,,,,,,
MONANO,DemocraticRepublicoftheCongo,,Solar/Primary,,,1,Existing,,,,,,,,,,,,,,,,,,,
Solar PV Zone 010,DemocraticRepublicoftheCongo,,Solar/Primary,,,72011.29,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 009,DemocraticRepublicoftheCongo,,Solar/Primary,,,19904.01,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 008,DemocraticRepublicoftheCongo,,Solar/Primary,,,32359.29,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 007,DemocraticRepublicoftheCongo,,Solar/Primary,,,85468.52,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 006,DemocraticRepublicoftheCongo,,Solar/Primary,,,38813.52,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,DemocraticRepublicoftheCongo,,Solar/Primary,,,54128.85,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,DemocraticRepublicoftheCongo,,Solar/Primary,,,14966.45,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,DemocraticRepublicoftheCongo,,Solar/Primary,,,30773.23,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,DemocraticRepublicoftheCongo,,Solar/Primary,,,25689.17,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,DemocraticRepublicoftheCongo,,Solar/Primary,,,11324.5,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 002,DemocraticRepublicoftheCongo,,,,,29250.58,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 001,DemocraticRepublicoftheCongo,,,,,12617.09,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 002,DemocraticRepublicoftheCongo,,,,,17867.08,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 001,DemocraticRepublicoftheCongo,,,,,3066.76,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,DemocraticRepublicoftheCongo,,,,,,,,,,,,,,,,,,,,,,,,,
OYALA,EquatorialGuinea,,Oil/Primary,,,36,,,,,,,,,,,,,,,,,,,,
Diesel_Generators_Mongomo+ANiso+Annobon+Evinayong+Ebibeyin,EquatorialGuinea,,Oil/Primary,,,13.44,Existing,,,,,,,,,,,,,,,,,,,
SIPOPO,EquatorialGuinea,,Oil/Primary,,,22,Existing,,,,,,,,,,,,,,,,,,,
SEMU,EquatorialGuinea,,Oil/Primary,,,7.2,Existing,,,,,,,,,,,,,,,,,,,
SAN.JOAQUIM.BATA,EquatorialGuinea,,Oil/Primary,,,2,Existing,,,,,,,,,,,,,,,,,,,
BATA,EquatorialGuinea,,HFO/Primary,,,24.8,Existing,,,,,,,,,,,,,,,,,,,
BATA,EquatorialGuinea,,HFO/Primary,,,,,,,,,,,,,,,,,,,,,,,
Akoga,EquatorialGuinea,,Gas/Primary,,,38,,,,,,,,,,,,,,,,,,,,
PUNTA.EUROPA,EquatorialGuinea,,Gas/Primary,,,156.5,Existing,,,,,,,,,,,,,,,,,,,
SENDJE,EquatorialGuinea,,Hydro/Primary,,,200,Committed,,,,,,,,,,,,,,,,,,,
RIABA,EquatorialGuinea,,Hydro/Primary,,,3.2,Existing,,,,,,,,,,,,,,,,,,,
MUSOLA,EquatorialGuinea,,Hydro/Primary,,,0.55,Existing,,,,,,,,,,,,,,,,,,,
DJIBLOHO,EquatorialGuinea,,Hydro/Primary,,,120,Existing,,,,,,,,,,,,,,,,,,,
BICOMO,EquatorialGuinea,,Hydro/Primary,,,3.2,Existing,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,EquatorialGuinea,,Solar/Primary,,,1921.12,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,EquatorialGuinea,,Solar/Primary,,,2280.43,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,EquatorialGuinea,,,,,,,,,,,,,,,,,,,,,,,,,
TCHIBANGA,Gabon,,Oil/Primary,,,1.6,Existing,,,,,,,,,,,,,,,,,,,
PORT-GENTIL,Gabon,,Oil/Primary,,,16.5,Deleted,,,,,,,,,,,,,,,,,,,
OYEM,Gabon,,Oil/Primary,,,6.5,Existing,,,,,,,,,,,,,,,,,,,
OWENDO,Gabon,,Oil/Primary,,,44,Existing,,,,,,,,,,,,,,,,,,,
OMBOUE,Gabon,,Oil/Primary,,,0.49,Existing,,,,,,,,,,,,,,,,,,,
NDJOLE,Gabon,,Oil/Primary,,,1.49,Existing,,,,,,,,,,,,,,,,,,,
NDINDI,Gabon,,Oil/Primary,,,0.26,Existing,,,,,,,,,,,,,,,,,,,
MOYABI,Gabon,,Oil/Primary,,,8.8,Deleted,,,,,,,,,,,,,,,,,,,
MOUILA,Gabon,,Oil/Primary,,,3.6,Existing,,,,,,,,,,,,,,,,,,,
MOANDA.COMILOG,Gabon,,Oil/Primary,,,2.81,Existing,,,,,,,,,,,,,,,,,,,
MOABI,Gabon,,Oil/Primary,,,0.67,Existing,,,,,,,,,,,,,,,,,,,
MITZIC,Gabon,,Oil/Primary,,,1.3,Existing,,,,,,,,,,,,,,,,,,,
MINVOUL,Gabon,,Oil/Primary,,,0.46,Existing,,,,,,,,,,,,,,,,,,,
MIMONGO,Gabon,,Oil/Primary,,,0.28,Existing,,,,,,,,,,,,,,,,,,,
MEKAMBO,Gabon,,Oil/Primary,,,0.76,Existing,,,,,,,,,,,,,,,,,,,
MAYUMBA,Gabon,,Oil/Primary,,,0.9,Existing,,,,,,,,,,,,,,,,,,,
MANDJI,Gabon,,Oil/Primary,,,0.76,Existing,,,,,,,,,,,,,,,,,,,
MAKOKOU,Gabon,,Oil/Primary,,,3.57,Existing,,,,,,,,,,,,,,,,,,,
LECONI,Gabon,,Oil/Primary,,,0.46,Deleted,,,,,,,,,,,,,,,,,,,
LASTOURVILLE,Gabon,,Oil/Primary,,,1.05,Existing,,,,,,,,,,,,,,,,,,,
LAMBARENE,Gabon,,Oil/Primary,,,5.9,Existing,,,,,,,,,,,,,,,,,,,
KOULA-MOUTOU,Gabon,,Oil/Primary,,,4.73,Existing,,,,,,,,,,,,,,,,,,,
FOUGAMOU,Gabon,,Oil/Primary,,,1.2,Existing,,,,,,,,,,,,,,,,,,,
COCO.BEACH,Gabon,,Oil/Primary,,,0.64,Deleted,,,,,,,,,,,,,,,,,,,
BITAM,Gabon,,Oil/Primary,,,2.34,Existing,,,,,,,,,,,,,,,,,,,
BIFOUN,Gabon,,Oil/Primary,,,0.48,Existing,,,,,,,,,,,,,,,,,,,
AKOK,Gabon,,Oil/Primary,,,0.09,Existing,,,,,,,,,,,,,,,,,,,
OWENDOIC,Gabon,,HFO/Primary,,,66.2,Existing,,,,,,,,,,,,,,,,,,,
Wartsila,Gabon,,Gas/Primary,,,120,Committed,,,,,,,,,,,,,,,,,,,
LIBREVILLE,Gabon,,Gas/Primary,,,,,,,,,,,,,,,,,,,,,,,
NC.PORT-GENTIL,Gabon,,Gas/Primary,,,,,,,,,,,,,,,,,,,,,,,
NC.OWENDO,Gabon,,Gas/Primary,,,,,,,,,,,,,,,,,,,,,,,
OWENDO,Gabon,,Gas/Primary,,,165,Existing,,,,,,,,,,,,,,,,,,,
PORT.GENTIL.PERENCO,Gabon,,Gas/Primary,,,62,Existing,,,,,,,,,,,,,,,,,,,
RABI.KOUNGA.FIELD,Gabon,,Gas/Primary,,,15.51,Existing,,,,,,,,,,,,,,,,,,,
PORT.GENTIL.PERENCO,Gabon,,Gas/Primary,,,3.88,Existing,,,,,,,,,,,,,,,,,,,
GAMBA,Gabon,,Gas/Primary,,,3.4,Existing,,,,,,,,,,,,,,,,,,,
CAP.LOPEZ,Gabon,,Gas/Primary,,,52.5,Existing,,,,,,,,,,,,,,,,,,,
ALENAKIRI,Gabon,,Gas/Primary,,,70,Existing,,,,,,,,,,,,,,,,,,,
TCHIMBELE,Gabon,,Hydro/Primary,,,68.4,Existing,,,,,,,,,,,,,,,,,,,
NGOULMENDJIM,Gabon,,Hydro/Primary,,,85,Candidate,,,,,,,,,,,,,,,,,,,
GRAND_POUBARA,Gabon,,Hydro/Primary,,,160,Existing,,,,,,,,,,,,,,,,,,,
DIBWANGUI,Gabon,,Hydro/Primary,,,15,Deleted,,,,,,,,,,,,,,,,,,,
Centrale_hydroélectrique_des_Chutes_de_Tsamba,Gabon,,Hydro/Primary,,,90,Candidate,,,,,,,,,,,,,,,,,,,
Tsengué_Lélédi,Gabon,,Hydro/Primary,,,165,Candidate,,,,,,,,,,,,,,,,,,,
Centrale_hydroélectrique_du_Défilé_de_Mitoungou,Gabon,,Hydro/Primary,,,410,Candidate,,,,,,,,,,,,,,,,,,,
Booué,Gabon,,Hydro/Primary,,,411,Candidate,,,,,,,,,,,,,,,,,,,
Centrale_hydroélectrique_de_Kouata_Mango,Gabon,,Hydro/Primary,,,70,Candidate,,,,,,,,,,,,,,,,,,,
Centrale_hydroélectrique_de_Kongué ,Gabon,,Hydro/Primary,,,104,Candidate,,,,,,,,,,,,,,,,,,,
Centrale hydroélectrique de Lifouta,Gabon,,Hydro/Primary,,,105,Candidate,,,,,,,,,,,,,,,,,,,
MEDOUNEU,Gabon,,Hydro/Primary,,,0.2,Existing,,,,,,,,,,,,,,,,,,,
IMPERATRICE_(MOUILA),Gabon,,Hydro/Primary,,,88,Committed,,,,,,,,,,,,,,,,,,,
FE-2_(KINGUELE_AVAL),Gabon,,Hydro/Primary,,,36,Committed,,,,,,,,,,,,,,,,,,,
POUBARA,Gabon,,Hydro/Primary,,,37.76,Existing,,,,,,,,,,,,,,,,,,,
MBIGOU,Gabon,,Hydro/Primary,,,0.38,Existing,,,,,,,,,,,,,,,,,,,
KINGUELE,Gabon,,Hydro/Primary,,,57.6,Existing,,,,,,,,,,,,,,,,,,,
BONGOLO,Gabon,,Hydro/Primary,,,6.23,Existing,,,,,,,,,,,,,,,,,,,
doubou,Gabon,,Solar/Primary,,,15,Committed,,,,,,,,,,,,,,,,,,,
Oyem,Gabon,,Solar/Primary,,,20,Candidate,,,,,,,,,,,,,,,,,,,
Ayeme_II,Gabon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
Ayeme_I,Gabon,,Solar/Primary,,,30,Committed,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,Gabon,,Solar/Primary,,,13971.11,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,Gabon,,Solar/Primary,,,3797.39,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,Gabon,,Solar/Primary,,,5237.87,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,Gabon,,Solar/Primary,,,6951.56,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,Gabon,,Solar/Primary,,,13099.9,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,
VOA_SAO_TOME,STP,,Oil/Primary,,,5,Deleted,,,,,,,,,,,,,,,,,,,
SAO_TOME,STP,,Oil/Primary,,,9.81,Deleted,,,,,,,,,,,,,,,,,,,
SANTO_AMARO,STP,,Oil/Primary,,,23.13,Existing,,,,,,,,,,,,,,,,,,,
PRINCIPE_NOVO,STP,,Oil/Primary,,,3.78,Existing,,,,,,,,,,,,,,,,,,,
BOBO_FORRO,STP,,Oil/Primary,,,1.65,Existing,,,,,,,,,,,,,,,,,,,
PRINCIPE,STP,,Oil/Primary,,,1.43,Deleted,,,,,,,,,,,,,,,,,,,
NEVES_GT,STP,,Gas/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
Sao_Joao,STP,,Hydro/Primary,,,0.9,Candidate,,,,,,,,,,,,,,,,,,,
Santa_Luisa,STP,,Hydro/Primary,,,1.15,Candidate,,,,,,,,,,,,,,,,,,,
Santa_Irene,STP,,Hydro/Primary,,,3,Candidate,,,,,,,,,,,,,,,,,,,
Santa_Clara,STP,,Hydro/Primary,,,0.89,Candidate,,,,,,,,,,,,,,,,,,,
Papagaio,STP,,Hydro/Primary,,,1.1,Candidate,,,,,,,,,,,,,,,,,,,
Neves_Hydro,STP,,Hydro/Primary,,,2,Candidate,,,,,,,,,,,,,,,,,,,
Monte_Verde,STP,,Hydro/Primary,,,0.8,Candidate,,,,,,,,,,,,,,,,,,,
Monte_Rosa,STP,,Hydro/Primary,,,3.8,Candidate,,,,,,,,,,,,,,,,,,,
Mato_Cana,STP,,Hydro/Primary,,,2,Candidate,,,,,,,,,,,,,,,,,,,
Mateus_Sampaio,STP,,Hydro/Primary,,,0.5,Candidate,,,,,,,,,,,,,,,,,,,
Guegue_Rehab,STP,,Hydro/Primary,,,1,Candidate,,,,,,,,,,,,,,,,,,,
Dona_Eugenia,STP,,Hydro/Primary,,,9.6,Candidate,,,,,,,,,,,,,,,,,,,
Cruz_Grande,STP,,Hydro/Primary,,,10,Candidate,,,,,,,,,,,,,,,,,,,
Contador_Rehab,STP,,Hydro/Primary,,,2,Committed,,,,,,,,,,,,,,,,,,,
Claudino_Faro,STP,,Hydro/Primary,,,2,Candidate,,,,,,,,,,,,,,,,,,,
Bibi,STP,,Hydro/Primary,,,0.39,Candidate,,,,,,,,,,,,,,,,,,,
Banzu,STP,,Hydro/Primary,,,0.29,Candidate,,,,,,,,,,,,,,,,,,,
Almeirim,STP,,Hydro/Primary,,,0.44,Candidate,,,,,,,,,,,,,,,,,,,
Agostinho_Neto_Rehab,STP,,Hydro/Primary,,,1.2,Committed,,,,,,,,,,,,,,,,,,,
ROCA_BOMBAIM,STP,,Hydro/Primary,,,3.8,Committed,,,,,,,,,,,,,,,,,,,
RIO_CONTADOR,STP,,Hydro/Primary,,,1.8,Existing,,,,,,,,,,,,,,,,,,,
PRINCIPE_HYDRO,STP,,Hydro/Primary,,,5,Candidate,,,,,,,,,,,,,,,,,,,
Biomass,STP,,Bagasse/Primary,,,4.68,Candidate,,,,,,,,,,,,,,,,,,,
Santo_Amaro,STP,,Solar/Primary,,,2.2,Committed,,,,,,,,,,,,,,,,,,,
Agua_Casada3,STP,,Solar/Primary,,,10,Candidate,,,,,,,,,,,,,,,,,,,
Agua_Casada2,STP,,Solar/Primary,,,15,Candidate,,,,,,,,,,,,,,,,,,,
Agua_Casada1,STP,,Solar/Primary,,,15,Candidate,,,,,,,,,,,,,,,,,,,
NEVES_SOLAR,STP,,Solar/Primary,,,5,Candidate,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
