zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d3,2030,2.719,0.010,0.010,0.249,24.747,111.660,123.310,119.633,105.546,38.062,5.655,13.926,20.974,66.944,98.401,127.002,130.864,125.675,123.181,105.554,103.776,11.971,38.198,16.074
Bulgaria,Q1,d3,2031,2.585,0.010,0.010,0.182,24.008,108.536,119.865,116.290,102.589,36.958,5.441,13.484,20.338,65.047,95.641,123.457,127.213,122.166,119.740,102.597,100.868,11.583,37.090,15.573
Bulgaria,Q1,d3,2032,2.451,0.010,0.010,0.116,23.269,105.411,116.421,112.947,99.633,35.853,5.226,13.043,19.703,63.150,92.881,119.912,123.561,118.657,116.300,99.640,97.960,11.195,35.983,15.073
Bulgaria,Q1,d3,2033,2.317,0.010,0.010,0.050,22.531,102.287,112.977,109.603,96.676,34.749,5.011,12.601,19.068,61.253,90.120,116.366,119.910,115.148,112.859,96.683,95.052,10.807,34.875,14.572
Bulgaria,Q1,d3,2034,2.182,0.010,0.010,0.010,21.792,99.161,109.532,106.259,93.718,33.645,4.796,12.159,18.433,59.356,87.359,112.819,116.257,111.637,109.417,93.725,92.143,10.419,33.766,14.071
Bulgaria,Q1,d3,2035,2.048,0.010,0.010,0.010,21.053,96.037,106.088,102.916,90.762,32.540,4.582,11.717,17.798,57.459,84.598,109.274,112.605,108.128,105.977,90.769,89.235,10.031,32.658,13.570
Bulgaria,Q1,d3,2036,1.881,0.010,0.010,0.010,20.131,92.139,101.791,98.745,87.074,31.163,4.314,11.166,17.005,55.092,81.155,104.851,108.050,103.751,101.684,87.080,85.607,9.547,31.276,12.946
Bulgaria,Q1,d3,2037,1.714,0.010,0.010,0.010,19.210,88.243,97.496,94.576,83.387,29.786,4.046,10.616,16.213,52.727,77.712,100.429,103.496,99.375,97.394,83.393,81.981,9.063,29.895,12.322
Bulgaria,Q1,d3,2038,1.547,0.010,0.010,0.010,18.289,84.346,93.200,90.405,79.698,28.409,3.779,10.065,15.421,50.360,74.269,96.006,98.941,94.997,93.102,79.704,78.353,8.579,28.512,11.697
Bulgaria,Q1,d3,2039,1.380,0.010,0.010,0.010,17.367,80.448,88.903,86.234,76.010,27.031,3.511,9.514,14.629,47.994,70.825,91.583,94.386,90.620,88.810,76.016,74.725,8.095,27.130,11.073
Bulgaria,Q1,d3,2040,1.212,0.010,0.010,0.010,16.446,76.550,84.606,82.064,72.322,25.654,3.243,8.963,13.836,45.627,67.381,87.160,89.831,86.242,84.517,72.327,71.098,7.611,25.748,10.448
Bulgaria,Q1,d3,2041,1.177,0.010,0.010,0.010,16.249,75.717,83.688,81.172,71.534,25.359,3.186,8.845,13.667,45.121,66.645,86.215,88.857,85.306,83.600,71.539,70.322,7.507,25.453,10.315
Bulgaria,Q1,d3,2042,1.141,0.010,0.010,0.010,16.052,74.884,82.770,80.281,70.745,25.065,3.129,8.727,13.498,44.616,65.909,85.269,87.883,84.371,82.683,70.751,69.547,7.404,25.157,10.181
Bulgaria,Q1,d3,2043,1.105,0.010,0.010,0.010,15.854,74.049,81.850,79.388,69.956,24.770,3.071,8.609,13.328,44.109,65.172,84.322,86.908,83.434,81.764,69.961,68.770,7.300,24.861,10.047
Bulgaria,Q1,d3,2044,1.069,0.010,0.010,0.010,15.658,73.216,80.931,78.496,69.167,24.475,3.014,8.491,13.159,43.603,64.436,83.377,85.934,82.498,80.846,69.172,67.995,7.197,24.566,9.914
Bulgaria,Q1,d3,2045,1.034,0.010,0.010,0.010,15.460,72.383,80.013,77.605,68.379,24.181,2.957,8.373,12.989,43.097,63.700,82.431,84.961,81.562,79.929,68.384,67.219,7.093,24.270,9.780
Bulgaria,Q1,d3,2046,0.998,0.010,0.010,0.010,15.264,71.550,79.094,76.713,67.590,23.887,2.900,8.256,12.820,42.591,62.964,81.486,83.987,80.626,79.011,67.595,66.444,6.990,23.975,9.647
Bulgaria,Q1,d3,2047,0.962,0.010,0.010,0.010,15.067,70.717,78.176,75.822,66.802,23.592,2.842,8.138,12.651,42.086,62.227,80.541,83.013,79.691,78.094,66.807,65.668,6.886,23.680,9.513
Bulgaria,Q1,d3,2048,0.926,0.010,0.010,0.010,14.869,69.882,77.256,74.929,66.012,23.297,2.785,8.020,12.481,41.579,61.490,79.594,82.038,78.753,77.175,66.017,64.892,6.782,23.384,9.380
Bulgaria,Q1,d3,2049,0.890,0.010,0.010,0.010,14.672,69.049,76.338,74.037,65.224,23.003,2.728,7.902,12.312,41.073,60.754,78.648,81.064,77.818,76.257,65.229,64.116,6.679,23.088,9.246
Bulgaria,Q1,d3,2050,0.855,0.010,0.010,0.010,14.475,68.216,75.419,73.146,64.435,22.708,2.671,7.784,12.142,40.567,60.018,77.703,80.091,76.882,75.340,64.440,63.341,6.576,22.793,9.113
Bulgaria,Q1,d3,2051,0.855,0.010,0.010,0.010,14.475,68.216,75.419,73.146,64.435,22.708,2.671,7.784,12.142,40.567,60.018,77.703,80.091,76.882,75.340,64.440,63.341,6.576,22.793,9.113
Bulgaria,Q1,d3,2052,0.855,0.010,0.010,0.010,14.475,68.216,75.419,73.146,64.435,22.708,2.671,7.784,12.142,40.567,60.018,77.703,80.091,76.882,75.340,64.440,63.341,6.576,22.793,9.113
Bulgaria,Q1,d3,2053,0.855,0.010,0.010,0.010,14.475,68.216,75.419,73.146,64.435,22.708,2.671,7.784,12.142,40.567,60.018,77.703,80.091,76.882,75.340,64.440,63.341,6.576,22.793,9.113
Bulgaria,Q1,d4,2024,79.807,76.537,77.390,85.579,105.595,131.822,128.646,114.731,16.576,6.971,6.971,6.971,6.971,6.971,6.971,6.971,62.528,120.531,121.028,107.216,97.920,85.926,81.007,81.663
Bulgaria,Q1,d4,2025,77.876,74.682,75.515,83.512,103.055,128.665,125.563,111.976,16.134,6.756,6.756,6.756,6.756,6.756,6.756,6.756,61.004,117.639,118.124,104.638,95.562,83.850,79.047,79.687
Bulgaria,Q1,d4,2026,75.944,72.828,73.640,81.444,100.515,125.507,122.480,109.221,15.693,6.541,6.541,6.541,6.541,6.541,6.541,6.541,59.479,114.748,115.221,102.060,93.203,81.774,77.087,77.712
Bulgaria,Q1,d4,2027,74.012,70.973,71.765,79.376,97.976,122.349,119.397,106.466,15.251,6.325,6.325,6.325,6.325,6.325,6.325,6.325,57.954,111.856,112.318,99.482,90.844,79.698,75.126,75.736
Bulgaria,Q1,d4,2028,72.080,69.118,69.890,77.308,95.436,119.192,116.314,103.711,14.809,6.110,6.110,6.110,6.110,6.110,6.110,6.110,56.430,108.965,109.415,96.905,88.485,77.622,73.166,73.760
Bulgaria,Q1,d4,2029,70.147,67.262,68.015,75.239,92.896,116.033,113.230,100.955,14.367,5.895,5.895,5.895,5.895,5.895,5.895,5.895,54.904,106.072,106.510,94.326,86.126,75.545,71.205,71.784
Bulgaria,Q1,d4,2030,68.216,65.408,66.140,73.171,90.356,112.875,110.147,98.200,13.926,5.679,5.679,5.679,5.679,5.679,5.679,5.679,53.380,103.180,103.607,91.748,83.767,73.469,69.245,69.808
Bulgaria,Q1,d4,2031,66.284,63.553,64.265,71.103,87.817,109.717,107.065,95.445,13.484,5.464,5.464,5.464,5.464,5.464,5.464,5.464,51.855,100.289,100.703,89.170,81.408,71.393,67.285,67.833
Bulgaria,Q1,d4,2032,64.352,61.698,62.390,69.036,85.277,106.559,103.982,92.691,13.043,5.249,5.249,5.249,5.249,5.249,5.249,5.249,50.331,97.397,97.800,86.592,79.050,69.317,65.325,65.857
Bulgaria,Q1,d4,2033,62.420,59.843,60.515,66.968,82.737,103.402,100.899,89.936,12.601,5.033,5.033,5.033,5.033,5.033,5.033,5.033,48.806,94.505,94.897,84.015,76.691,67.241,63.365,63.882
