g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2,,MaxTotalBuild,MinUtilization,RETech
NN-HFO_ST,Egypt,ST,HFO,3,2027,2057,30,0,0,0,0,9.7,2,11000,4,0,0,0.61,0.81,0,0.2,,,,,,,,,0,,0,0,0
NN_HY,Egypt,ReservoirHydro,Water,3,2027,2077,50,0,0,0,0,0,2.19,56100,5,0,0,0,1,0,0.4,,,,,,,,,0,,0,0,0
Generic_GENC_BAT,Egypt,Storage,Battery,3,2027,2047,20,10000,0,1000,0,0,0.3,20430.82,0,0,0,1,1,0,0.95,,,,,,,,,0,,10000,0,0
Generic_GENC_2024_WI,Egypt,OnshoreWind,Wind,3,2027,2057,30,56727,0,1000,0,0,1.37,42840,0,0,0,0,0,0,0.05,,,,,,,,,0,,56727,0,1
NN_OSW,Egypt,OffshoreWind,Wind,3,2030,2060,30,0,0,10000,0,0,4.67,71400,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,1
ACWA-POWER_PV,Egypt,PV,Solar,2,2022,2047,25,200,0,200,0,0,0.93,14280,0,0,0,0,0,0,0,,,,,,,,,0,,200,0,1
AMYA-POWER_PV,Egypt,PV,Solar,2,2022,2047,25,500,0,500,0,0,0.93,14280,0,0,0,0,0,0,0,,,,,,,,,0,,500,0,1
El-Dabaa_NPP-1_NU,Egypt,Nuclear,Uranium,2,2029,2079,50,1200,0,1200,0,10.4,5.5,68000,2.3,0,0,0,0,0,0.05,,,,,,,,,0,,1200,0,0
El-Dabaa_NPP-2_NU,Egypt,Nuclear,Uranium,2,2030,2080,50,1200,0,1200,0,10.4,5.5,68000,2.3,0,0,0,0,0,0.05,,,,,,,,,0,,1200,0,0
El-Dabaa_NPP-3_NU,Egypt,Nuclear,Uranium,2,2031,2081,50,1200,0,1200,0,10.4,5.5,68000,2.3,0,0,0,0,0,0.05,,,,,,,,,0,,1200,0,0
El-Dabaa_NPP-4_NU,Egypt,Nuclear,Uranium,2,2032,2082,50,1200,0,1200,0,10.4,5.5,68000,2.3,0,0,0,0,0,0.05,,,,,,,,,0,,1200,0,0
ACWA-Power_WI,Egypt,OnshoreWind,Wind,2,2024,2054,30,1100,0,1100,0,0,1.27,42840,0,0,0,0,0,0,0,,,,,,,,,0,,1100,0,1
AMYA-POWER_WI,Egypt,OnshoreWind,Wind,2,2022,2052,30,500,0,500,0,0,1.4,42840,0,0,0,0,0,0,0,,,,,,,,,0,,500,0,1
Engie-Orasco-Toyota_WI,Egypt,OnshoreWind,Wind,2,2023,2053,30,500,0,500,0,0,1.4,42840,0,0,0,0,0,0,0,,,,,,,,,0,,500,0,1
Masdar_WI,Egypt,OnshoreWind,Wind,2,2022,2052,30,200,0,200,0,0,1.4,42840,0,0,0,0,0,0,0,,,,,,,,,0,,200,0,1
Siemens-Gamesa_WI,Egypt,OnshoreWind,Wind,2,2023,2053,30,500,0,500,0,0,1.4,42840,0,0,0,0,0,0,0,,,,,,,,,0,,500,0,1
Suez-Gulf_ST,Egypt,ST,Gas,1,2003,2033,30,683,0,0,0,8.05,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Sidi-Kirir-3-4_ST,Egypt,ST,Gas,1,2002,2032,30,682,0,0,0,8.05,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Cairo-West-Ext-1_ST,Egypt,ST,Gas,1,2005,2035,30,680,0,0,0,7.92,0,11000,1.43,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Cairo-West-Ext-2_ST,Egypt,ST,Gas,1,2011,2041,30,680,0,0,0,7.92,0,11000,1.43,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Abu-Qir-New-1_ST,Egypt,ST,Gas,1,2012,2042,30,650,0,0,0,10.22,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0,0
Abu-Qir-New-2_ST,Egypt,ST,Gas,1,2013,2043,30,650,0,0,0,10.22,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Ain-Sokhna-1_ST,Egypt,ST,Gas,1,2015,2045,30,650,0,0,0,10.16,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Ain-Sokhna-2_ST,Egypt,ST,Gas,1,2015,2045,30,650,0,0,0,10.16,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
South-Helwan-1_ST,Egypt,ST,Gas,1,2019,2049,30,650,0,0,0,0,0,11000,0,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
South-Helwan-2_ST,Egypt,ST,Gas,1,2019,2049,30,650,0,0,0,0,0,11000,0,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0,0
South-Helwan-3_ST,Egypt,ST,Gas,1,2019,2049,30,650,0,0,0,0,0,11000,0,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Suez_ST,Egypt,ST,Gas,1,2017,2047,30,650,0,0,0,10.22,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Oyon-Mousa_ST,Egypt,ST,Gas,1,2001,2031,30,640,0,0,0,8.3,0,11000,1.43,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0,0
Sidi-Kirir-1-2_ST,Egypt,ST,Gas,1,2000,2030,30,640,0,0,0,10.68,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.6,0
Kuriemat-1_ST,Egypt,ST,Gas,1,1997,2027,30,627,0,0,0,8.05,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0,0
Kuriemat-2_ST,Egypt,ST,Gas,1,1998,2028,30,627,0,0,0,8.05,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0,0
6Oct-Ext-1_CCGT,Egypt,CCGT,Gas,1,2015,2045,30,600,0,0,0,6.7,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0,0
Walideya_ST,Egypt,ST,HFO,1,1997,2027,30,600,0,0,0,8.39,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.5,0
Damietta-1_CCGT,Egypt,CCGT,Gas,1,1992,2022,30,582,0,0,0,7.62,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0,0
Damietta-2_CCGT,Egypt,CCGT,Gas,1,1993,2023,30,582,0,0,0,7.62,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.05,0
Gabal-El-Zeit_WI,Egypt,OnshoreWind,Wind,1,2019,2049,30,580,0,0,0,0,0,42840,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,1
Zafarana_WI,Egypt,OnshoreWind,Wind,1,2010,2040,30,542,0,0,0,0,0,42840,0,0,0,0,0,0,0,,,,,,,,,0,,0,0.05,1
New-Shabab-1_CCGT,Egypt,CCGT,Gas,1,2011,2041,30,500,0,0,0,6.7,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.1,0
New-Shabab-2_CCGT,Egypt,CCGT,Gas,1,2017,2047,30,500,0,0,0,6.7,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.1,0
New-Shabab-3_CCGT,Egypt,CCGT,Gas,1,2019,2049,30,500,0,0,0,6.7,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0,0
New-Gas-Damietta_GT,Egypt,OCGT,Gas,1,2011,2041,30,500,0,0,0,10.47,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Talkha_ST,Egypt,ST,Gas,1,1995,2025,30,360,0,0,0,10.97,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
New-Mahmoudeya_GT,Egypt,OCGT,Gas,1,2016,2046,30,336,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Ataga-Ext-1_GT,Egypt,OCGT,Gas,1,2015,2045,30,320,0,0,0,9.78,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Ataga-Ext-2_GT,Egypt,OCGT,Gas,1,2015,2045,30,320,0,0,0,9.78,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
6Oct-Ext-2_CCGT,Egypt,CCGT,Gas,1,2019,2049,30,319,0,0,0,6.7,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0,0
6Oct-1_GT,Egypt,OCGT,Gas,1,2012,2042,30,300,0,0,0,11.14,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
6Oct-2_GT,Egypt,OCGT,Gas,1,2012,2042,30,300,0,0,0,11.14,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Cairo-South_GT,Egypt,OCGT,Gas,1,1989,2022,30,300,0,0,0,11.14,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Hurgha-da-Ext_GT,Egypt,OCGT,Gas,1,2017,2047,30,288,0,0,0,9.45,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Sharm-El-Sheikh-Ext_GT,Egypt,OCGT,HFO,1,2015,2045,30,288,0,0,0,9.72,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Aswan-Dam_HY,Egypt,ReservoirHydro,Water,1,1960,2055,50,280,0,0,0,0,0,56100,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Aswan-Dam-2_HY,Egypt,ReservoirHydro,Water,1,1986,2055,50,270,0,0,0,0,0,56100,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Mahmoudeya_CCGT,Egypt,CCGT,Gas,1,1995,2025,30,268,0,0,0,9.34,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.1,0
Ras-Gharib_WI,Egypt,OnshoreWind,Wind,1,2019,2049,30,250,0,0,0,0,0,42840,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,1
Talkha_CCGT,Egypt,CCGT,Gas,1,1989,2022,30,236,0,0,0,10.83,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0,0
Cairo-South_CCGT,Egypt,CCGT,Gas,1,1994,2024,30,150,0,0,0,7.68,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.06,0
Daman-Hour_CCGT,Egypt,CCGT,Gas,1,1995,2025,30,130,0,0,0,8.5,0,30600,3.41,0,0.2,0.5,0.5,0,0.1,,,,,,,,,0,,0,0.06,0
New-Assiut_GT,Egypt,OCGT,Gas,1,2016,2046,30,100,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Hurgha-da_GT,Egypt,OCGT,Gas,1,1979,2023,30,90,0,0,0,13.18,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Esna_HY,Egypt,ROR,Water,1,1993,2055,50,86,0,0,0,0,0,56100,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0.05,0
Port-Said_GT,Egypt,OCGT,HFO,1,2016,2046,30,84,0,0,0,9.37,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.05,0
Wadi_GT,Egypt,OCGT,Gas,1,1985,2022,30,75,0,0,0,16.04,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Arish_ST,Egypt,ST,Gas,1,1996,2026,30,66,0,0,0,8.42,0,11000,3.76,0,0,0.47,0.74,0,0.2,,,,,,,,,0,,0,0.05,0
Naga-Hamadi_HY,Egypt,ROR,Water,1,2008,2055,50,64,0,0,0,0,0,56100,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Bany-Ghaleb_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
East-Cario_GT,Egypt,OCGT,Gas,1,2017,2047,30,50,0,0,0,9.37,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.05,0
EL-Basateen_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,9.37,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Gerga_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Heliopoles_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,9.37,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Red-Assiut_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.05,0
Samalout_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.05,0
West-Malawy_GT,Egypt,OCGT,Gas,1,2016,2046,30,50,0,0,0,11.73,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Sharm-El-Sheikh_GT,Egypt,OCGT,Gas,1,1997,2027,30,39,0,0,0,15.72,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.05,0
Shabab_GT,Egypt,OCGT,Gas,1,1982,2022,30,36,0,0,0,14.46,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Assiut_HY,Egypt,ROR,Water,1,2017,2057,50,32,0,0,0,9.38,0,56100,3.76,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
El-Masaeed_GT,Egypt,OCGT,Gas,1,2000,2030,30,30,0,0,0,15.72,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Shoub_GT,Egypt,OCGT,Gas,1,1986,2022,30,30,0,0,0,11.14,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
Abu-Qir_GT,Egypt,OCGT,Gas,1,1983,2022,30,24,0,0,0,13.18,0,25500,10.69,0,0,1,1,0,0.2,,,,,,,,,0,,0,0.2,0
Kom-Ombo_PV,Egypt,PV,Solar,1,2019,2044,25,22,0,0,0,0,0,14280,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,1
Kuriemat_CSP,Egypt,CSPPlant,Solar,1,2011,2041,30,20,0,0,0,0,0,153000,3.41,0,0,0.5,0.5,0,0.95,,,,,,,,,0,,0,0,0
BMST_GENC_EGY,Egypt,BiomassPlant,Biomass,3,2027,2057,30,2636,0,52.72,0,15,2.5,100000,2.5,0,0,1,1,0,0.05,,,,,,,,,0,,2636,0,0
NGCC_GENC_EGY,Egypt,CCGT,Gas,3,2028,2058,30,20000,0,1000,0,7.7,1.01,30000,2,0,0.15,1,1,0,0.1,,,,,,,,,0,,20000,0,0
COSC_GENC_EGY,Egypt,ST,Coal,3,2029,2059,30,0,0,0,0,10.2,3.74,112000,2,0,0,1,1,0,0.2,,,,,,,,,0,,0,0,0
NGSC_GENC_EGY,Egypt,OCGT,Gas,3,2027,2057,30,10000,0,1000,0,10.9,0.8,24000,4,0,0,1,1,0,0.2,,,,,,,,,0,,10000,0,0
DSRC_GENC_EGY,Egypt,ICE,Diesel,3,2027,2057,30,10000,0,1000,0,10.42,1.09,33000,6.4,0,0,1,1,0,0.2,,,,,,,,,0,,10000,0,0
HFRC_GENC_EGY,Egypt,ICE,HFO,3,2027,2057,30,10000,0,1000,0,10.42,1.09,33000,6.4,0,0,1,1,0,0.2,,,,,,,,,0,,10000,0,0
SOPC_GENC_EGY,Egypt,PV,Solar,3,2027,2052,25,62719,0,1000,0,0,1.14,75540,0,0,0,1,1,0,0,,,,,,,,,0,,62719,0,1
HYRO_GENC_EGY,Egypt,ROR,Water,3,2027,2077,50,32,0,1000,0,0,2.5,75000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,32,0,0
HYDM_GENC_EGY,Egypt,ReservoirHydro,Water,3,2031,2081,50,2800,0,1000,0,0,3,90000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,2800,0,0
Batt_GENC_EGY,Egypt,Storage,Battery,3,2027,2047,20,10000,0,1000,0,0,0.3,40000,0,0,0,1,1,0,0.5,,,,,,,,,0,,10000,0,0
WDLC_GENC_EGY,Egypt,OnshoreWind,Wind,3,2027,2057,30,56727,0,1000,0,0,1.31,35846,0,0,0,1,1,0,0,,,,,,,,,0,,56727,0,1
OSWD_GENC_OffshoreWind_EGY,Egypt,OffshoreWind,Wind,3,2027,2057,30,400,0,1000,0,0,3,60000,0,0,0,0,0,0,0,,,,,,,,,0,,399.75,0,1
Gibe_III,Ethiopia,ReservoirHydro,Water,1,2015,2065,50,1870,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
GERD_2_HEP,Ethiopia,ReservoirHydro,Water,1,2022,2072,50,500,0,0,0,0,0.76,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0.05,0
Beles_HEP,Ethiopia,ReservoirHydro,Water,1,2010,2060,50,460,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Gibe_II,Ethiopia,ROR,Water,1,2010,2060,50,420,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Tekeze_I,Ethiopia,ReservoirHydro,Water,1,2009,2059,50,300,0,0,0,0,0,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Genale_Dawa_III,Ethiopia,ReservoirHydro,Water,1,2021,2071,50,254,0,254,0,0,1.97,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,254,0,0
GERD_1_HEP,Ethiopia,ReservoirHydro,Water,1,2021,2071,50,250,0,0,0,0,0.76,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0.05,0
Gibe_I,Ethiopia,ReservoirHydro,Water,1,2004,2054,50,210,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Adama_II,Ethiopia,OnshoreWind,Wind,1,2015,2045,30,153,0,0,0,0,0,46000,0,0,0,1,1,0,0,,,,,,,,,0,,0,0,1
Maleka_Wakana_HEP,Ethiopia,ReservoirHydro,Water,1,2014,2064,50,153,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Finchaa,Ethiopia,ReservoirHydro,Water,1,1973,2023,50,128,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Ashegoda,Ethiopia,OnshoreWind,Wind,1,2013,2043,30,120,0,0,0,0,0,46000,0,0,0,1,1,0,0,,,,,,,,,0,,0,0,1
Neshe,Ethiopia,ReservoirHydro,Water,1,2013,2063,50,97,0,0,0,0,0,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,0,0,0
Generic_GCCGT_1,Ethiopia,CCGT,Gas,3,2028,2057,,420,,420,,,,,,,,,,,,,,,,,,,,,,,,
Generic_GCCGT_2,Ethiopia,CCGT,Gas,3,2027,2057,,1000,,1000,,,,,,,,,,,,,,,,,,,,,,,,
Boku_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2057,30,100,0,100,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,100,0,0
Dofan_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2057,30,100,0,100,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,100,0,0
Dugna_Fango_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2057,30,100,0,100,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,100,0,0
Fentale_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2057,30,50,0,20,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,20,0,0
Generic_Geothermal_1,Ethiopia,Geothermal,Geothermal,3,2030,2060,,1000,0,20,,,,,,,,,,,,,,,,,,,,0,,,0,0
Shashemene_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2056,30,150,0,150,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,150,0,0
Tendaho-Alalobad_Geothermal,Ethiopia,Geothermal,Geothermal,3,2027,2057,30,100,0,100,0,0,3.33,88400,0.05,0,0,1,1,0,0.05,,,,,,,,,0,,100,0,0
Generic_GasCT_1,Ethiopia,OCGT,Gas,3,2027,2057,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Generic_GasCT_2,Ethiopia,OCGT,Gas,3,2027,2057,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Generic_LFO_1,Ethiopia,ICE,Diesel,3,2027,2057,,10000,,1000,,,,,,,,,,,,,,,,,,,,,,,,
Generic_LFO_2,Ethiopia,ICE,Diesel,3,2027,2057,,10000,,1000,,,,,,,,,,,,,,,,,,,,,,,,
Gad-II_solar,Ethiopia,PV,Solar,3,2026,2049,25,125,0,125,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,125,0.05,1
Generic_Solar_1,Ethiopia,PV,Solar,3,2027,2052,,0,0,329.82,,,,,,,,,,,,,,,,,,,,0,,,0,1
Adigala,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.3,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0,1
Aleltu_East_HEP,Ethiopia,ReservoirHydro,Water,3,2035,2085,50,189,0,189,0,0,4.02,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,189,0,0
Aleltu_West_HEP,Ethiopia,ReservoirHydro,Water,3,2035,2085,50,265,0,265,0,0,4.45,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,265,0,0
Assosa_Bambasi,Ethiopia,ReservoirHydro,Water,3,2024,2074,50,150,0,150,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,150,0,0
Ayisha-IA,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.77,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0,1
Ayisha-IB,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.77,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Ayisha-III_A,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.77,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Ayisha-IIIB,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.77,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0,1
Baro_1,Ethiopia,ReservoirHydro,Water,3,2035,2085,50,170,0,166,0,0,6.6,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,166,0,0
Baro_2_HEP,Ethiopia,ReservoirHydro,Water,3,2035,2085,50,510,0,507,0,0,0.99,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,507,0.05,0
Beko_Abo,Ethiopia,ReservoirHydro,Water,3,2024,2074,50,935,0,935,0,0,1.35,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,935,0,0
Birbir,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,467,0,467,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,467,0.05,0
Birbir_R,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,97.4,0,467,0,0,2.72,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,467,0,0
Dabus_HEP,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,0,0,798,0,0,1.14,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,798,0,0
Deday,Ethiopia,OnshoreWind,Wind,3,2025,2055,30,125,0,125,0,0,1.3,30000,0,0,0,1,1,0,0,,,,,,,,,0,,125,0,1
Geba_1,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,215,0,214,0,0,1.94,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,214,0,0
Geba_2,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,157,0,157,0,0,1.13,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,157,0,0
Genale_V,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,100,0,2,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,100,0,0
Genale_VI,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,246,0,4.92,0,0,3.3,50000,0.5,0,0,1,1,0,0.4,,,,,,,,,0,,246,0,0
Genji_(linked_with_Baro_&_II),Ethiopia,ReservoirHydro,Water,3,2028,2078,50,214,0,4.28,0,0,0.92,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,214,0,0
Gode,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.3,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0,1
Gojeb,Ethiopia,ReservoirHydro,Water,3,2035,2085,50,150,0,150,0,0,3.51,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,150,0,0
Halele,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,96,0,96,0,0,5.32,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,96,0.1,0
Humera_solar,Ethiopia,PV,Solar,3,2026,2049,25,125,0,125,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,125,0.1,1
Karadobi,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,1600,0,1600,0,0,1.61,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,1600,0.05,0
KebriBeyah,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.3,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Kesem_BIO,Ethiopia,BiomassPlant,Biomass,3,2027,2057,30,64,0,64,0,9.54,4,17120,2.5,0,0,1,1,0,0.05,,,,,,,,,0,,64,0,0
Lower_Dabus,Ethiopia,ReservoirHydro,Water,3,2050,2100,50,494,0,250,0,0,3.47,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,250,0.05,0
Lower_Didessa,Ethiopia,ReservoirHydro,Water,3,2028,2078,50,301,0,550,0,0,1.13,18000,0,0,0,1,1,0,0.4,,,,,,,,,0,,550,0.05,0
May_Mekdan,Ethiopia,OnshoreWind,Wind,3,2024,2054,30,150,0,150,0,0,1.3,30000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Mekele_WF,Ethiopia,PV,Solar,3,2026,2050,25,150,0,150,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Meki_Solar,Ethiopia,PV,Solar,3,2026,2050,25,100,0,100,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,100,0.05,1
Melkasedi_Solar,Ethiopia,PV,Solar,3,2026,2050,25,150,0,150,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,150,0.05,1
Meshenti_Solar,Ethiopia,PV,Solar,3,2026,2050,25,100,0,100,0,0,0.8,15000,0,0,0,1,1,0,0,,,,,,,,,0,,100,0.06,1
