gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Achwa1_HPP,Q4,d5,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889,0.221388889
Achwa2_HPP,Q1,d1,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667
Achwa2_HPP,Q1,d2,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667
Achwa2_HPP,Q1,d3,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667
Achwa2_HPP,Q1,d4,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667
Achwa2_HPP,Q1,d5,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667,0.023916667
Achwa2_HPP,Q2,d1,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222
Achwa2_HPP,Q2,d2,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222
Achwa2_HPP,Q2,d3,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222
Achwa2_HPP,Q2,d4,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222,0.082472222
