gen	Q1	Q2	Q3	Q4
GERD_4_HEP	0.35	0.37	0.35	0.33
GERD_5_HEP	0.94	0.94	0.94	0.94
Humera	0.94	0.94	0.94	0.94
HumeraSS4_WeransoMekeleSS3_Wolenchiti	0.46	0.48	0.48	0.45
Koysha_(Gibe_IV)	0.94	0.94	0.94	0.94
Mekele	0.84	0.84	0.84	0.84
Replacement_Diesel	0.36	0.37	0.36	0.33
Replacement_Koka_HEP	0.9	0.9	0.9	0.9
Tulu_Moye_I	0.9	0.9	0.9	0.9
Tulu_Moye_II	0.93	0.93	0.93	0.93
Tulumoya_Abaya	0.94	0.94	0.94	0.94
Weranso_solar	0.94	0.94	0.94	0.94
Wolenchiti	0.46	0.48	0.48	0.45
YedaI	0.46	0.48	0.48	0.45
YedaII_(linked_with_YedaI)	0.31	0.32	0.33	0.32
Aba_Samuel	0.94	0.94	0.94	0.94
Adama_I	0.94	0.94	0.94	0.94
Adama_II	0.95	0.95	0.95	0.95
Addis_Ababa_EFW	0.94	0.94	0.94	0.94
Ashegoda	0.31	0.32	0.33	0.32
Awash_II	0.31	0.32	0.33	0.32
Awash_III	0.33	0.34	0.33	0.33
Awash7	0.67	0.68	0.59	0.58
Beles_HEP	0.84	0.84	0.84	0.84
Dire_Dawa	0.46	0.48	0.48	0.45
Finchaa	0.46	0.48	0.48	0.45
Genale_Dawa_III	0.39	0.41	0.39	0.36
GERD_1_HEP	0.24	0.25	0.24	0.23
GERD_2_HEP	0.46	0.48	0.48	0.45
GERD_3a_HEP	0.46	0.48	0.48	0.45
Gibe_I	0.31	0.32	0.33	0.32
Gibe_II	0.46	0.48	0.48	0.45
Gibe_III	0.84	0.84	0.84	0.84
Kality	0.21	0.22	0.21	0.23
Koka_HEP	0.28	0.29	0.25	0.29
Maleka_Wakana_HEP	0.46	0.48	0.48	0.45
Neshe	0.69	0.72	0.69	0.64
Sor_1_HEP	0.46	0.48	0.48	0.45
Tekeze_I	0.35	0.37	0.35	0.33
Tis_Abay_I_HEP	0.46	0.48	0.48	0.45
Tis_Abey_ll	0.65	0.65	0.65	0.65
Biomass_2024	0.65	0.65	0.65	0.65
Biomass_2025	0.65	0.65	0.65	0.65
Cummins_Cogeneration_Kenya_Limited	0.65	0.65	0.65	0.65
Generic_Biomass	0.65	0.65	0.65	0.65
Municipal_Waste_to_Energy_	0.65	0.65	0.65	0.65
Roadtech_Solutions	0.65	0.65	0.65	0.65
Small_Biomass_Thika_Way	0.65	0.65	0.65	0.65
Tana_Biomass_Limited_Biogas	0.93	0.93	0.93	0.93
Dongo_Kundu	0.89	0.89	0.89	0.89
Generic_GENC_Natural_Gas_-_CCGT	0.93	0.93	0.93	0.93
Wajir	0.89	0.89	0.89	0.89
CCGT_GENC_CCS	0.87	0.87	0.87	0.87
Kitui	0.87	0.87	0.87	0.87
Lamu_Coal_Power_Station	0.94	0.94	0.94	0.94
AGIL_Longonot_Stage_1	0.94	0.94	0.94	0.94
AGIL_Longonot_Stage_2	0.94	0.94	0.94	0.94
AGIL_Longonot_Stage_3	0.94	0.94	0.94	0.94
AGIL_Longonot_Stage_4	0.94	0.94	0.94	0.94
Baringo_Silali__-_Korosi_I	0.94	0.94	0.94	0.94
Baringo_Silali__-_Paka_I	0.94	0.94	0.94	0.94
Baringo_Silali__-_Silali_I	0.94	0.94	0.94	0.94
Eburru_2	0.94	0.94	0.94	0.94
Generic_GENC_Geothermal	0.94	0.94	0.94	0.94
Marine_Power_Akiira___Stage_1	0.94	0.94	0.94	0.94
Marine_Power_Akiira_Stage_2	0.94	0.94	0.94	0.94
Menengai_I_	0.94	0.94	0.94	0.94
Menengai_I_Phase_I_Stage_I_-_Orpower22	0.94	0.94	0.94	0.94
Menengai_III_	0.94	0.94	0.94	0.94
Menengai_Istage2	0.94	0.94	0.94	0.94
Menengai_IV_-_Stage_3	0.94	0.94	0.94	0.94
MenengaiV	0.94	0.94	0.94	0.94
Olkaria_7	0.94	0.94	0.94	0.94
Olkaria_8	0.94	0.94	0.94	0.94
Olkaria_9_&_other_fields	0.94	0.94	0.94	0.94
Olkaria_Brine	0.94	0.94	0.94	0.94
Olkaria_III_units_1-9	0.94	0.94	0.94	0.94
Olkaria_Topping	0.94	0.94	0.94	0.94
Olkaria_VI	0.94	0.94	0.94	0.94
Olsuswa_Unit_1	0.94	0.94	0.94	0.94
Suswa_I	0.94	0.94	0.94	0.94
Suswa_II	0.94	0.94	0.94	0.94
Suswa_III	0.89	0.89	0.89	0.89
Embakasi	0.89	0.89	0.89	0.89
Generic_GENC_Natural_Gas_-_OGCT	0.9	0.9	0.9	0.9
Generic_LNG_Gas_Turbine	0.93	0.93	0.93	0.93
LNG_Gas_Turbine	0.92	0.92	0.92	0.92
GenericHFO	0.89	0.89	0.89	0.89
Nuclear_Kenya	0.89	0.89	0.89	0.89
OCGT_GENC_CCS	0.99	0.99	0.99	0.99
Greenmillenia_Energy_Ltd	0.99	0.99	0.99	0.99
Hanan_Arya_Energy	0.99	0.99	0.99	0.99
Kenergy	0.99	0.99	0.99	0.99
Kopere_Solar_Park	0.99	0.99	0.99	0.99
Makindu-_Rareh_(Dafre)	0.99	0.99	0.99	0.99
SevenForksSolarPower	0.99	0.99	0.99	0.99
Sunpower_Kenya_(Makindu-Kibwezi_I)	0.49	0.5	0.52	0.53
Generic_Small_Hydro	0.49	0.5	0.52	0.53
