workbook,scenario,type,year,value
UZ,Net Zero,Peak,2057,95053.0
UZ,Net Zero,Peak,2058,99013.662
UZ,Net Zero,Peak,2059,102987.984
UZ,Net Zero,Peak,2060,107010.036
UZ,Reference,Energy,2023,79409.532
UZ,Reference,Energy,2024,82001.102
UZ,Reference,Energy,2025,84848.819
UZ,Reference,Energy,2026,87127.669
UZ,Reference,Energy,2027,89678.839
UZ,Reference,Energy,2028,92543.09
UZ,Reference,Energy,2029,95727.049
UZ,Reference,Energy,2030,100529.363
UZ,Reference,Energy,2031,107415.007
UZ,Reference,Energy,2032,114441.902
UZ,Reference,Energy,2033,121688.082
UZ,Reference,Energy,2034,129140.578
UZ,Reference,Energy,2035,136738.107
UZ,Reference,Energy,2036,144511.496
UZ,Reference,Energy,2037,152466.608
UZ,Reference,Energy,2038,160491.432
UZ,Reference,Energy,2039,168762.944
UZ,Reference,Energy,2040,177088.01
UZ,Reference,Energy,2041,185270.705
UZ,Reference,Energy,2042,193420.427
UZ,Reference,Energy,2043,201828.446
UZ,Reference,Energy,2044,210287.859
UZ,Reference,Energy,2045,218661.898
UZ,Reference,Energy,2046,227797.367
UZ,Reference,Energy,2047,237175.001
UZ,Reference,Energy,2048,246533.414
UZ,Reference,Energy,2049,255990.44
UZ,Reference,Energy,2050,265685.056
UZ,Reference,Energy,2051,274198.088
UZ,Reference,Energy,2052,282822.153
UZ,Reference,Energy,2053,291715.293
UZ,Reference,Energy,2054,300715.203
UZ,Reference,Energy,2055,309992.648
UZ,Reference,Energy,2056,321734.382
UZ,Reference,Energy,2057,333581.311
UZ,Reference,Energy,2058,345522.427
UZ,Reference,Energy,2059,357546.001
UZ,Reference,Energy,2060,369857.651
UZ,Reference,Peak,2023,11746.972
UZ,Reference,Peak,2024,12130.341
UZ,Reference,Peak,2025,12551.6
UZ,Reference,Peak,2026,12888.708
UZ,Reference,Peak,2027,13266.101
UZ,Reference,Peak,2028,13689.806
UZ,Reference,Peak,2029,14160.806
UZ,Reference,Peak,2030,14871.208
UZ,Reference,Peak,2031,15889.794
UZ,Reference,Peak,2032,16929.275
UZ,Reference,Peak,2033,18001.196
UZ,Reference,Peak,2034,19103.636
UZ,Reference,Peak,2035,20227.531
UZ,Reference,Peak,2036,21377.44
UZ,Reference,Peak,2037,22554.232
UZ,Reference,Peak,2038,23741.336
UZ,Reference,Peak,2039,24964.933
UZ,Reference,Peak,2040,26196.451
UZ,Reference,Peak,2041,27406.909
UZ,Reference,Peak,2042,28612.489
UZ,Reference,Peak,2043,29856.279
UZ,Reference,Peak,2044,31107.671
UZ,Reference,Peak,2045,32346.435
UZ,Reference,Peak,2046,33697.835
UZ,Reference,Peak,2047,35085.059
UZ,Reference,Peak,2048,36469.44
UZ,Reference,Peak,2049,37868.408
UZ,Reference,Peak,2050,39302.523
UZ,Reference,Peak,2051,40561.847
UZ,Reference,Peak,2052,41837.597
UZ,Reference,Peak,2053,43153.15
UZ,Reference,Peak,2054,44484.497
UZ,Reference,Peak,2055,45856.901
UZ,Reference,Peak,2056,47593.844
UZ,Reference,Peak,2057,49346.348
UZ,Reference,Peak,2058,51112.785
UZ,Reference,Peak,2059,52891.42
UZ,Reference,Peak,2060,54712.67
