g,z,book,deca_plant,method,applied,annual_2020,annual_deca,annual_new,note
NAGHLU_HY_2031,NEPS_AFG,,,keep_2020,keep_2020,0.2704,,0.2704,
SUKI _KANARI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.3980,,0.3980,
KOTLI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5422,,0.5422,
LOWER _PALAS_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4446,,0.4446,
LOWER _LOWER SPAT _GAH_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4619,,0.4619,
AKHROI _DAM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4100,,0.4100,
MUNDA _DAM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
AYNI _(ZARAFSHAN)_HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.4545,,0.4545,
UCH-KURGANSK_HY_2020,KGZ_S,KG,Uchkurgan HPP,deca_level,deca_level,0.8925,0.52,0.5200,
KEYAL _KHWAR_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.3728,,0.3728,
FANDARYA_HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.3559,,0.3559,
Sanobad_HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.9936,,0.9936,
NUREK-2_HY_NEW_2031,TAJ_S,TJ,Nurek HPP,deca_level,deca_level,0.4698,0.4265,0.4265,
YAVAN_HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.4086,,0.4086,
Jumar_HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.5120,,0.5120,
Moskov_HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.8053,,0.8053,
Kokcha_HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.5427,,0.5427,
Sangvor __HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.6585,,0.6585,
Oburdon _Oburdon  __HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.4909,,0.4909,
Sangiston _Sangiston  __HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.5276,,0.5276,
Garms _Garms  __HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.7057,,0.7057,
Urfatin _Urfatin  __HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.6707,,0.6707,
