,,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Niger,Nigeria,4,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,4,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,4,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,4,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,4,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,4,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,4,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,4,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Benin,Niger,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,5,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,5,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,5,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,5,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,5,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,5,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,5,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,5,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,5,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,5,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,5,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,5,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,5,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,5,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,5,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,5,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,5,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,5,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,5,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,5,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,5,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,5,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,5,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,5,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,5,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,5,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,5,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,5,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,5,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,5,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Benin,Niger,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,6,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,6,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,6,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,6,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,6,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,6,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,6,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,6,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,6,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,6,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,6,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,6,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,6,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,6,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,6,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,6,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,6,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,6,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,6,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,6,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,6,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,6,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,6,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,6,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,6,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,6,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,6,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,6,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,6,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,6,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Mauritania_grid,Mauritania_Nema,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_Nema,Mauritania_grid,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mauritania_Nema,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_Nema,Mauritania_grid,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mali,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mali,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Mauritania_grid,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Mauritania_grid,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Niger,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,7,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,7,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,7,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,7,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,7,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,7,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,7,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,7,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,7,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,7,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,7,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,7,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,7,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,7,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,7,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,7,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,7,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,7,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,7,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,7,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,7,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,7,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,7,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,7,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,7,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,7,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,7,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,7,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,7,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,7,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Mauritania_grid,Mauritania_Nema,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_Nema,Mauritania_grid,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mauritania_Nema,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_Nema,Mauritania_grid,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mali,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania_grid,Mali,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Mauritania_grid,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Mauritania_grid,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Niger,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,8,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,8,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,8,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,8,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
