gen,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Edea,Q1,d1,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002
Edea,Q1,d2,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002
Edea,Q1,d3,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002
Edea,Q1,d4,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002
Edea,Q1,d5,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002,0.8100000000000002
Mekin,Q1,d1,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Mekin,Q1,d2,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Mekin,Q1,d3,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Mekin,Q1,d4,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Mekin,Q1,d5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Memve'ele,Q1,d1,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Memve'ele,Q1,d2,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Memve'ele,Q1,d3,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Memve'ele,Q1,d4,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Memve'ele,Q1,d5,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Minkouma,Q1,d1,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
Minkouma,Q1,d2,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
Minkouma,Q1,d3,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
Minkouma,Q1,d4,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
Minkouma,Q1,d5,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
Inga,Q1,d1,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999
Inga,Q1,d2,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999
Inga,Q1,d3,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999
Inga,Q1,d4,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999
Inga,Q1,d5,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999,0.9359999999999999
Inga 1,Q1,d1,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Inga 1,Q1,d2,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Inga 1,Q1,d3,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Inga 1,Q1,d4,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Inga 1,Q1,d5,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
Inga 2,Q1,d1,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 2,Q1,d2,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 2,Q1,d3,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 2,Q1,d4,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 2,Q1,d5,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 3,Q1,d1,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 3,Q1,d2,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 3,Q1,d3,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 3,Q1,d4,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Inga 3,Q1,d5,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
Bikomo,Q1,d1,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Bikomo,Q1,d2,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Bikomo,Q1,d3,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Bikomo,Q1,d4,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Bikomo,Q1,d5,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Riaba,Q1,d1,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Riaba,Q1,d2,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Riaba,Q1,d3,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Riaba,Q1,d4,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Riaba,Q1,d5,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667,0.4766666666666667
Chutes de l'Imperatrice,Q1,d1,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
Chutes de l'Imperatrice,Q1,d2,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
Chutes de l'Imperatrice,Q1,d3,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
Chutes de l'Imperatrice,Q1,d4,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
Chutes de l'Imperatrice,Q1,d5,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.276
Dibwangui,Q1,d1,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
Dibwangui,Q1,d2,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
Dibwangui,Q1,d3,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
Dibwangui,Q1,d4,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
Dibwangui,Q1,d5,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344,0.344
FE-2 (Kinguele Aval),Q1,d1,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372
FE-2 (Kinguele Aval),Q1,d2,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372
FE-2 (Kinguele Aval),Q1,d3,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372
FE-2 (Kinguele Aval),Q1,d4,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372
FE-2 (Kinguele Aval),Q1,d5,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372,0.372
AH Mabubas,Q2,d1,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285
AH Mabubas,Q2,d2,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285
AH Mabubas,Q2,d3,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285
AH Mabubas,Q2,d4,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285
AH Mabubas,Q2,d5,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285,0.6685714285714285
Cacula Cabasa,Q2,d1,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Cacula Cabasa,Q2,d2,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Cacula Cabasa,Q2,d3,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Cacula Cabasa,Q2,d4,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Cacula Cabasa,Q2,d5,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714,0.6014285714285714
Cafula (Keve),Q2,d1,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286
Cafula (Keve),Q2,d2,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286
Cafula (Keve),Q2,d3,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286,0.6485714285714286
