uni_0,uni_1,uni_2,uni_3,uni_4,value
Burkina,Rooftop,dry,2,t08,0.297
Burkina,Rooftop,dry,2,t09,0.5630000000000001
Burkina,Rooftop,dry,2,t10,0.742
Burkina,Rooftop,dry,2,t11,0.843
Burkina,Rooftop,dry,2,t12,0.891
Burkina,Rooftop,dry,2,t13,0.892
Burkina,Rooftop,dry,2,t14,0.842
Burkina,Rooftop,dry,2,t15,0.741
Burkina,Rooftop,dry,2,t16,0.58
Burkina,Rooftop,dry,2,t17,0.353
Burkina,Rooftop,dry,2,t18,0.081
Burkina,Rooftop,dry,3,t07,0.011
Burkina,Rooftop,dry,3,t08,0.095
Burkina,Rooftop,dry,3,t09,0.208
Burkina,Rooftop,dry,3,t10,0.291
Burkina,Rooftop,dry,3,t11,0.344
Burkina,Rooftop,dry,3,t12,0.347
Burkina,Rooftop,dry,3,t13,0.345
Burkina,Rooftop,dry,3,t14,0.316
Burkina,Rooftop,dry,3,t15,0.27
Burkina,Rooftop,dry,3,t16,0.196
Burkina,Rooftop,dry,3,t17,0.112
Burkina,Rooftop,dry,3,t18,0.03
Burkina,Rooftop,dry,4,t07,0.01
Burkina,Rooftop,dry,4,t08,0.222
Burkina,Rooftop,dry,4,t09,0.485
Burkina,Rooftop,dry,4,t10,0.664
Burkina,Rooftop,dry,4,t11,0.773
Burkina,Rooftop,dry,4,t12,0.8280000000000001
Burkina,Rooftop,dry,4,t13,0.8180000000000001
Burkina,Rooftop,dry,4,t14,0.769
Burkina,Rooftop,dry,4,t15,0.666
Burkina,Rooftop,dry,4,t16,0.499
Burkina,Rooftop,dry,4,t17,0.266
Burkina,Rooftop,dry,4,t18,0.035
Burkina,Rooftop,wet,1,t07,0.036
Burkina,Rooftop,wet,1,t08,0.161
Burkina,Rooftop,wet,1,t09,0.287
Burkina,Rooftop,wet,1,t10,0.42
Burkina,Rooftop,wet,1,t11,0.537
Burkina,Rooftop,wet,1,t12,0.62
Burkina,Rooftop,wet,1,t13,0.643
Burkina,Rooftop,wet,1,t14,0.605
Burkina,Rooftop,wet,1,t15,0.518
Burkina,Rooftop,wet,1,t16,0.374
Burkina,Rooftop,wet,1,t17,0.197
Burkina,Rooftop,wet,1,t18,0.05
Burkina,Rooftop,wet,2,t07,0.039
Burkina,Rooftop,wet,2,t08,0.147
Burkina,Rooftop,wet,2,t09,0.278
Burkina,Rooftop,wet,2,t10,0.373
Burkina,Rooftop,wet,2,t11,0.427
Burkina,Rooftop,wet,2,t12,0.441
Burkina,Rooftop,wet,2,t13,0.407
Burkina,Rooftop,wet,2,t14,0.377
Burkina,Rooftop,wet,2,t15,0.315
Burkina,Rooftop,wet,2,t16,0.238
Burkina,Rooftop,wet,2,t17,0.141
Burkina,Rooftop,wet,2,t18,0.054
Burkina,Rooftop,wet,3,t07,0.044
Burkina,Rooftop,wet,3,t08,0.166
Burkina,Rooftop,wet,3,t09,0.314
Burkina,Rooftop,wet,3,t10,0.441
Burkina,Rooftop,wet,3,t11,0.545
Burkina,Rooftop,wet,3,t12,0.5720000000000001
Burkina,Rooftop,wet,3,t13,0.541
Burkina,Rooftop,wet,3,t14,0.492
Burkina,Rooftop,wet,3,t15,0.404
Burkina,Rooftop,wet,3,t16,0.314
Burkina,Rooftop,wet,3,t17,0.192
Burkina,Rooftop,wet,3,t18,0.062
Burkina,Rooftop,wet,4,t07,0.02
Burkina,Rooftop,wet,4,t08,0.186
Burkina,Rooftop,wet,4,t09,0.407
Burkina,Rooftop,wet,4,t10,0.581
Burkina,Rooftop,wet,4,t11,0.6910000000000001
Burkina,Rooftop,wet,4,t12,0.729
Burkina,Rooftop,wet,4,t13,0.6940000000000001
Burkina,Rooftop,wet,4,t14,0.627
Burkina,Rooftop,wet,4,t15,0.486
Burkina,Rooftop,wet,4,t16,0.289
Burkina,Rooftop,wet,4,t17,0.123
Burkina,Rooftop,wet,4,t18,0.018
Gambia,PV,dry,1,t08,0.013
Gambia,PV,dry,1,t09,0.196
Gambia,PV,dry,1,t10,0.35
Gambia,PV,dry,1,t11,0.411
Gambia,PV,dry,1,t12,0.421
Gambia,PV,dry,1,t13,0.541
Gambia,PV,dry,1,t14,0.681
Gambia,PV,dry,1,t15,0.714
Gambia,PV,dry,1,t16,0.5720000000000001
Gambia,PV,dry,1,t17,0.345
Gambia,PV,dry,1,t18,0.125
Gambia,PV,dry,1,t19,0.008
Gambia,PV,dry,2,t08,0.038
Gambia,PV,dry,2,t09,0.341
Gambia,PV,dry,2,t10,0.5690000000000001
Gambia,PV,dry,2,t11,0.723
Gambia,PV,dry,2,t12,0.8170000000000001
Gambia,PV,dry,2,t13,0.855
Gambia,PV,dry,2,t14,0.84
Gambia,PV,dry,2,t15,0.774
Gambia,PV,dry,2,t16,0.654
Gambia,PV,dry,2,t17,0.483
Gambia,PV,dry,2,t18,0.249
Gambia,PV,dry,2,t19,0.031
Gambia,PV,dry,3,t08,0.037
Gambia,PV,dry,3,t09,0.225
Gambia,PV,dry,3,t10,0.439
Gambia,PV,dry,3,t11,0.604
Gambia,PV,dry,3,t12,0.708
Gambia,PV,dry,3,t13,0.737
Gambia,PV,dry,3,t14,0.735
Gambia,PV,dry,3,t15,0.681
Gambia,PV,dry,3,t16,0.6000000000000001
Gambia,PV,dry,3,t17,0.442
Gambia,PV,dry,3,t18,0.241
Gambia,PV,dry,3,t19,0.049
Gambia,PV,dry,4,t08,0.015
Gambia,PV,dry,4,t09,0.244
Gambia,PV,dry,4,t10,0.498
Gambia,PV,dry,4,t11,0.673
Gambia,PV,dry,4,t12,0.78
Gambia,PV,dry,4,t13,0.8150000000000001
Gambia,PV,dry,4,t14,0.812
Gambia,PV,dry,4,t15,0.757
Gambia,PV,dry,4,t16,0.626
Gambia,PV,dry,4,t17,0.446
Gambia,PV,dry,4,t18,0.207
Gambia,PV,dry,4,t19,0.014
Gambia,PV,wet,1,t08,0.052
Gambia,PV,wet,1,t09,0.22
Gambia,PV,wet,1,t10,0.404
Gambia,PV,wet,1,t11,0.548
Gambia,PV,wet,1,t12,0.643
Gambia,PV,wet,1,t13,0.6900000000000001
Gambia,PV,wet,1,t14,0.687
Gambia,PV,wet,1,t15,0.636
Gambia,PV,wet,1,t16,0.535
Gambia,PV,wet,1,t17,0.391
Gambia,PV,wet,1,t18,0.215
Gambia,PV,wet,1,t19,0.054
Gambia,PV,wet,2,t08,0.052
Gambia,PV,wet,2,t09,0.175
Gambia,PV,wet,2,t10,0.313
Gambia,PV,wet,2,t11,0.431
Gambia,PV,wet,2,t12,0.511
Gambia,PV,wet,2,t13,0.539
Gambia,PV,wet,2,t14,0.524
Gambia,PV,wet,2,t15,0.456
Gambia,PV,wet,2,t16,0.316
Gambia,PV,wet,2,t17,0.216
Gambia,PV,wet,2,t18,0.127
Gambia,PV,wet,2,t19,0.041
Gambia,PV,wet,3,t08,0.05
Gambia,PV,wet,3,t09,0.16
Gambia,PV,wet,3,t10,0.276
Gambia,PV,wet,3,t11,0.405
Gambia,PV,wet,3,t12,0.485
Gambia,PV,wet,3,t13,0.526
Gambia,PV,wet,3,t14,0.518
Gambia,PV,wet,3,t15,0.44
Gambia,PV,wet,3,t16,0.325
Gambia,PV,wet,3,t17,0.21
Gambia,PV,wet,3,t18,0.122
Gambia,PV,wet,3,t19,0.04
Gambia,PV,wet,4,t08,0.011
Gambia,PV,wet,4,t09,0.11
Gambia,PV,wet,4,t10,0.261
Gambia,PV,wet,4,t11,0.404
Gambia,PV,wet,4,t12,0.454
Gambia,PV,wet,4,t13,0.445
Gambia,PV,wet,4,t14,0.395
Gambia,PV,wet,4,t15,0.345
Gambia,PV,wet,4,t16,0.324
Gambia,PV,wet,4,t17,0.242
Gambia,PV,wet,4,t18,0.109
Gambia,PV,wet,4,t19,0.011
Gambia,Wind,dry,1,t01,0.192
Gambia,Wind,dry,1,t02,0.318
Gambia,Wind,dry,1,t03,0.389
Gambia,Wind,dry,1,t04,0.444
Gambia,Wind,dry,1,t05,0.491
Gambia,Wind,dry,1,t06,0.535
Gambia,Wind,dry,1,t07,0.591
Gambia,Wind,dry,1,t08,0.599
Gambia,Wind,dry,1,t09,0.434
Gambia,Wind,dry,1,t10,0.238
Gambia,Wind,dry,1,t11,0.461
Gambia,Wind,dry,1,t12,0.535
Gambia,Wind,dry,1,t13,0.556
Gambia,Wind,dry,1,t14,0.589
Gambia,Wind,dry,1,t15,0.618
Gambia,Wind,dry,1,t16,0.584
Gambia,Wind,dry,1,t17,0.395
Gambia,Wind,dry,1,t18,0.219
Gambia,Wind,dry,1,t19,0.155
Gambia,Wind,dry,1,t20,0.243
Gambia,Wind,dry,1,t21,0.498
Gambia,Wind,dry,1,t22,0.684
Gambia,Wind,dry,1,t23,0.754
Gambia,Wind,dry,1,t24,0.752
Gambia,Wind,dry,2,t01,0.885
Gambia,Wind,dry,2,t02,0.873
Gambia,Wind,dry,2,t03,0.856
Gambia,Wind,dry,2,t04,0.833
Gambia,Wind,dry,2,t05,0.791
Gambia,Wind,dry,2,t06,0.748
Gambia,Wind,dry,2,t07,0.731
Gambia,Wind,dry,2,t08,0.725
Gambia,Wind,dry,2,t09,0.505
Gambia,Wind,dry,2,t10,0.32
Gambia,Wind,dry,2,t11,0.666
Gambia,Wind,dry,2,t12,0.8250000000000001
Gambia,Wind,dry,2,t13,0.803
Gambia,Wind,dry,2,t14,0.708
Gambia,Wind,dry,2,t15,0.5740000000000001
Gambia,Wind,dry,2,t16,0.413
Gambia,Wind,dry,2,t17,0.243
Gambia,Wind,dry,2,t18,0.101
Gambia,Wind,dry,2,t19,0.014
Gambia,Wind,dry,2,t20,0.001
Gambia,Wind,dry,2,t21,0.001
Gambia,Wind,dry,2,t22,0.006
Gambia,Wind,dry,2,t23,0.011
Gambia,Wind,dry,2,t24,0.013
Gambia,Wind,dry,3,t01,0.537
Gambia,Wind,dry,3,t02,0.471
Gambia,Wind,dry,3,t03,0.359
Gambia,Wind,dry,3,t04,0.281
Gambia,Wind,dry,3,t05,0.234
Gambia,Wind,dry,3,t06,0.223
Gambia,Wind,dry,3,t07,0.252
Gambia,Wind,dry,3,t08,0.224
Gambia,Wind,dry,3,t09,0.155
Gambia,Wind,dry,3,t10,0.098
Gambia,Wind,dry,3,t11,0.061
Gambia,Wind,dry,3,t12,0.038
Gambia,Wind,dry,3,t13,0.014
Gambia,Wind,dry,3,t14,0.006
Gambia,Wind,dry,3,t15,0.005
Gambia,Wind,dry,3,t16,0.008
Gambia,Wind,dry,3,t17,0.011
Gambia,Wind,dry,3,t18,0.012
Gambia,Wind,dry,3,t19,0.03
Gambia,Wind,dry,3,t20,0.164
Gambia,Wind,dry,3,t21,0.432
Gambia,Wind,dry,3,t22,0.63
Gambia,Wind,dry,3,t23,0.6980000000000001
Gambia,Wind,dry,3,t24,0.686
Gambia,Wind,dry,4,t03,0.003
Gambia,Wind,dry,4,t04,0.007
Gambia,Wind,dry,4,t05,0.017
Gambia,Wind,dry,4,t06,0.047
Gambia,Wind,dry,4,t07,0.125
Gambia,Wind,dry,4,t08,0.219
Gambia,Wind,dry,4,t09,0.152
Gambia,Wind,dry,4,t10,0.036
Gambia,Wind,dry,4,t11,0.027
Gambia,Wind,dry,4,t12,0.012
Gambia,Wind,dry,4,t13,0.006
Gambia,Wind,dry,4,t14,0.004
Gambia,Wind,dry,4,t15,0.003
Gambia,Wind,dry,4,t16,0.002
Gambia,Wind,dry,4,t17,0.001
Gambia,Wind,dry,4,t18,0.002
Gambia,Wind,dry,4,t19,0.013
Gambia,Wind,dry,4,t20,0.049
Gambia,Wind,dry,4,t21,0.093
Gambia,Wind,dry,4,t22,0.089
Gambia,Wind,dry,4,t23,0.054
Gambia,Wind,dry,4,t24,0.028
Gambia,Wind,wet,1,t01,0.5750000000000001
Gambia,Wind,wet,1,t02,0.491
Gambia,Wind,wet,1,t03,0.425
Gambia,Wind,wet,1,t04,0.38
Gambia,Wind,wet,1,t05,0.341
Gambia,Wind,wet,1,t06,0.291
Gambia,Wind,wet,1,t07,0.231
Gambia,Wind,wet,1,t08,0.113
Gambia,Wind,wet,1,t09,0.038
Gambia,Wind,wet,1,t10,0.041
Gambia,Wind,wet,1,t11,0.156
Gambia,Wind,wet,1,t12,0.21
Gambia,Wind,wet,1,t13,0.175
Gambia,Wind,wet,1,t14,0.131
Gambia,Wind,wet,1,t15,0.089
Gambia,Wind,wet,1,t16,0.054
Gambia,Wind,wet,1,t17,0.028
Gambia,Wind,wet,1,t18,0.01
Gambia,Wind,wet,1,t20,0.003
Gambia,Wind,wet,1,t21,0.14
Gambia,Wind,wet,1,t22,0.447
Gambia,Wind,wet,1,t23,0.608
Gambia,Wind,wet,1,t24,0.626
Gambia,Wind,wet,2,t01,0.219
Gambia,Wind,wet,2,t02,0.233
Gambia,Wind,wet,2,t03,0.243
Gambia,Wind,wet,2,t04,0.237
Gambia,Wind,wet,2,t05,0.233
Gambia,Wind,wet,2,t06,0.233
Gambia,Wind,wet,2,t07,0.219
Gambia,Wind,wet,2,t08,0.138
Gambia,Wind,wet,2,t09,0.22
Gambia,Wind,wet,2,t10,0.246
Gambia,Wind,wet,2,t11,0.201
Gambia,Wind,wet,2,t12,0.154
Gambia,Wind,wet,2,t13,0.12
Gambia,Wind,wet,2,t14,0.104
Gambia,Wind,wet,2,t15,0.093
Gambia,Wind,wet,2,t16,0.093
Gambia,Wind,wet,2,t17,0.107
Gambia,Wind,wet,2,t18,0.144
Gambia,Wind,wet,2,t19,0.207
Gambia,Wind,wet,2,t20,0.312
Gambia,Wind,wet,2,t21,0.39
Gambia,Wind,wet,2,t22,0.416
Gambia,Wind,wet,2,t23,0.407
Gambia,Wind,wet,2,t24,0.38
Gambia,Wind,wet,3,t01,0.325
Gambia,Wind,wet,3,t02,0.33
Gambia,Wind,wet,3,t03,0.31
Gambia,Wind,wet,3,t04,0.262
Gambia,Wind,wet,3,t05,0.197
Gambia,Wind,wet,3,t06,0.155
Gambia,Wind,wet,3,t07,0.16
Gambia,Wind,wet,3,t08,0.125
Gambia,Wind,wet,3,t09,0.12
Gambia,Wind,wet,3,t10,0.113
Gambia,Wind,wet,3,t11,0.082
Gambia,Wind,wet,3,t12,0.034
Gambia,Wind,wet,3,t13,0.008
Gambia,Wind,wet,3,t14,0.001
Gambia,Wind,wet,3,t18,0.003
Gambia,Wind,wet,3,t19,0.028
Gambia,Wind,wet,3,t20,0.1
Gambia,Wind,wet,3,t21,0.169
Gambia,Wind,wet,3,t22,0.199
Gambia,Wind,wet,3,t23,0.181
Gambia,Wind,wet,3,t24,0.142
Gambia,Wind,wet,4,t01,0.194
Gambia,Wind,wet,4,t02,0.22
Gambia,Wind,wet,4,t03,0.261
Gambia,Wind,wet,4,t04,0.291
Gambia,Wind,wet,4,t05,0.301
Gambia,Wind,wet,4,t06,0.3
Gambia,Wind,wet,4,t07,0.291
Gambia,Wind,wet,4,t08,0.225
Gambia,Wind,wet,4,t09,0.084
Gambia,Wind,wet,4,t10,0.067
Gambia,Wind,wet,4,t11,0.093
Gambia,Wind,wet,4,t12,0.092
Gambia,Wind,wet,4,t13,0.067
Gambia,Wind,wet,4,t14,0.053
Gambia,Wind,wet,4,t15,0.041
Gambia,Wind,wet,4,t16,0.017
Gambia,Wind,wet,4,t17,0.004
Gambia,Wind,wet,4,t18,0.001
Gambia,Wind,wet,4,t19,0.001
Gambia,Wind,wet,4,t20,0.003
Gambia,Wind,wet,4,t21,0.012
Gambia,Wind,wet,4,t22,0.034
Gambia,Wind,wet,4,t23,0.046
Gambia,Wind,wet,4,t24,0.053
Gambia,Rooftop,dry,1,t08,0.013
Gambia,Rooftop,dry,1,t09,0.196
Gambia,Rooftop,dry,1,t10,0.35
Gambia,Rooftop,dry,1,t11,0.411
Gambia,Rooftop,dry,1,t12,0.421
Gambia,Rooftop,dry,1,t13,0.541
Gambia,Rooftop,dry,1,t14,0.681
Gambia,Rooftop,dry,1,t15,0.714
Gambia,Rooftop,dry,1,t16,0.5720000000000001
Gambia,Rooftop,dry,1,t17,0.345
Gambia,Rooftop,dry,1,t18,0.125
Gambia,Rooftop,dry,1,t19,0.008
Gambia,Rooftop,dry,2,t08,0.038
Gambia,Rooftop,dry,2,t09,0.341
Gambia,Rooftop,dry,2,t10,0.5690000000000001
Gambia,Rooftop,dry,2,t11,0.723
Gambia,Rooftop,dry,2,t12,0.8170000000000001
Gambia,Rooftop,dry,2,t13,0.855
Gambia,Rooftop,dry,2,t14,0.84
Gambia,Rooftop,dry,2,t15,0.774
Gambia,Rooftop,dry,2,t16,0.654
Gambia,Rooftop,dry,2,t17,0.483
Gambia,Rooftop,dry,2,t18,0.249
Gambia,Rooftop,dry,2,t19,0.031
Gambia,Rooftop,dry,3,t08,0.037
Gambia,Rooftop,dry,3,t09,0.225
Gambia,Rooftop,dry,3,t10,0.439
Gambia,Rooftop,dry,3,t11,0.604
Gambia,Rooftop,dry,3,t12,0.708
Gambia,Rooftop,dry,3,t13,0.737
Gambia,Rooftop,dry,3,t14,0.735
Gambia,Rooftop,dry,3,t15,0.681
Gambia,Rooftop,dry,3,t16,0.6000000000000001
Gambia,Rooftop,dry,3,t17,0.442
Gambia,Rooftop,dry,3,t18,0.241
Gambia,Rooftop,dry,3,t19,0.049
Gambia,Rooftop,dry,4,t08,0.015
Gambia,Rooftop,dry,4,t09,0.244
Gambia,Rooftop,dry,4,t10,0.498
Gambia,Rooftop,dry,4,t11,0.673
Gambia,Rooftop,dry,4,t12,0.78
Gambia,Rooftop,dry,4,t13,0.8150000000000001
Gambia,Rooftop,dry,4,t14,0.812
Gambia,Rooftop,dry,4,t15,0.757
Gambia,Rooftop,dry,4,t16,0.626
Gambia,Rooftop,dry,4,t17,0.446
Gambia,Rooftop,dry,4,t18,0.207
Gambia,Rooftop,dry,4,t19,0.014
Gambia,Rooftop,wet,1,t08,0.052
Gambia,Rooftop,wet,1,t09,0.22
Gambia,Rooftop,wet,1,t10,0.404
Gambia,Rooftop,wet,1,t11,0.548
Gambia,Rooftop,wet,1,t12,0.643
Gambia,Rooftop,wet,1,t13,0.6900000000000001
Gambia,Rooftop,wet,1,t14,0.687
Gambia,Rooftop,wet,1,t15,0.636
Gambia,Rooftop,wet,1,t16,0.535
Gambia,Rooftop,wet,1,t17,0.391
Gambia,Rooftop,wet,1,t18,0.215
Gambia,Rooftop,wet,1,t19,0.054
Gambia,Rooftop,wet,2,t08,0.052
Gambia,Rooftop,wet,2,t09,0.175
Gambia,Rooftop,wet,2,t10,0.313
Gambia,Rooftop,wet,2,t11,0.431
Gambia,Rooftop,wet,2,t12,0.511
Gambia,Rooftop,wet,2,t13,0.539
Gambia,Rooftop,wet,2,t14,0.524
Gambia,Rooftop,wet,2,t15,0.456
Gambia,Rooftop,wet,2,t16,0.316
Gambia,Rooftop,wet,2,t17,0.216
Gambia,Rooftop,wet,2,t18,0.127
Gambia,Rooftop,wet,2,t19,0.041
Gambia,Rooftop,wet,3,t08,0.05
Gambia,Rooftop,wet,3,t09,0.16
Gambia,Rooftop,wet,3,t10,0.276
Gambia,Rooftop,wet,3,t11,0.405
Gambia,Rooftop,wet,3,t12,0.485
Gambia,Rooftop,wet,3,t13,0.526
Gambia,Rooftop,wet,3,t14,0.518
Gambia,Rooftop,wet,3,t15,0.44
Gambia,Rooftop,wet,3,t16,0.325
Gambia,Rooftop,wet,3,t17,0.21
Gambia,Rooftop,wet,3,t18,0.122
Gambia,Rooftop,wet,3,t19,0.04
Gambia,Rooftop,wet,4,t08,0.011
Gambia,Rooftop,wet,4,t09,0.11
Gambia,Rooftop,wet,4,t10,0.261
Gambia,Rooftop,wet,4,t11,0.404
Gambia,Rooftop,wet,4,t12,0.454
Gambia,Rooftop,wet,4,t13,0.445
Gambia,Rooftop,wet,4,t14,0.395
Gambia,Rooftop,wet,4,t15,0.345
Gambia,Rooftop,wet,4,t16,0.324
Gambia,Rooftop,wet,4,t17,0.242
Gambia,Rooftop,wet,4,t18,0.109
Gambia,Rooftop,wet,4,t19,0.011
Ghana,PV,dry,1,t07,0.023
Ghana,PV,dry,1,t08,0.249
Ghana,PV,dry,1,t09,0.491
Ghana,PV,dry,1,t10,0.66
Ghana,PV,dry,1,t11,0.761
Ghana,PV,dry,1,t12,0.803
Ghana,PV,dry,1,t13,0.788
Ghana,PV,dry,1,t14,0.726
Ghana,PV,dry,1,t15,0.608
Ghana,PV,dry,1,t16,0.428
Ghana,PV,dry,1,t17,0.213
Ghana,PV,dry,1,t18,0.032
Ghana,PV,dry,2,t07,0.038
Ghana,PV,dry,2,t08,0.279
Ghana,PV,dry,2,t09,0.492
Ghana,PV,dry,2,t10,0.624
Ghana,PV,dry,2,t11,0.704
Ghana,PV,dry,2,t12,0.761
Ghana,PV,dry,2,t13,0.793
Ghana,PV,dry,2,t14,0.765
Ghana,PV,dry,2,t15,0.667
Ghana,PV,dry,2,t16,0.503
Ghana,PV,dry,2,t17,0.282
Ghana,PV,dry,2,t18,0.052
Ghana,PV,dry,3,t07,0.017
Ghana,PV,dry,3,t08,0.121
Ghana,PV,dry,3,t09,0.237
Ghana,PV,dry,3,t10,0.337
Ghana,PV,dry,3,t11,0.418
Ghana,PV,dry,3,t12,0.434
Ghana,PV,dry,3,t13,0.396
Ghana,PV,dry,3,t14,0.357
Ghana,PV,dry,3,t15,0.285
Ghana,PV,dry,3,t16,0.176
Ghana,PV,dry,3,t17,0.095
Ghana,PV,dry,3,t18,0.016
Ghana,PV,dry,4,t07,0.014
Ghana,PV,dry,4,t08,0.145
Ghana,PV,dry,4,t09,0.347
Ghana,PV,dry,4,t10,0.506
Ghana,PV,dry,4,t11,0.578
Ghana,PV,dry,4,t12,0.586
Ghana,PV,dry,4,t13,0.539
Ghana,PV,dry,4,t14,0.47
Ghana,PV,dry,4,t15,0.34
Ghana,PV,dry,4,t16,0.214
Ghana,PV,dry,4,t17,0.089
Ghana,PV,dry,4,t18,0.011
Ghana,PV,wet,1,t07,0.039
Ghana,PV,wet,1,t08,0.184
Ghana,PV,wet,1,t09,0.326
Ghana,PV,wet,1,t10,0.445
Ghana,PV,wet,1,t11,0.534
Ghana,PV,wet,1,t12,0.5760000000000001
Ghana,PV,wet,1,t13,0.579
Ghana,PV,wet,1,t14,0.536
Ghana,PV,wet,1,t15,0.456
Ghana,PV,wet,1,t16,0.326
Ghana,PV,wet,1,t17,0.185
Ghana,PV,wet,1,t18,0.049
Ghana,PV,wet,2,t07,0.021
Ghana,PV,wet,2,t08,0.075
Ghana,PV,wet,2,t09,0.111
Ghana,PV,wet,2,t10,0.163
Ghana,PV,wet,2,t11,0.232
Ghana,PV,wet,2,t12,0.279
Ghana,PV,wet,2,t13,0.309
Ghana,PV,wet,2,t14,0.308
Ghana,PV,wet,2,t15,0.262
Ghana,PV,wet,2,t16,0.208
Ghana,PV,wet,2,t17,0.13
Ghana,PV,wet,2,t18,0.045
Ghana,PV,wet,3,t07,0.029
Ghana,PV,wet,3,t08,0.131
Ghana,PV,wet,3,t09,0.27
Ghana,PV,wet,3,t10,0.389
Ghana,PV,wet,3,t11,0.482
Ghana,PV,wet,3,t12,0.534
Ghana,PV,wet,3,t13,0.543
Ghana,PV,wet,3,t14,0.508
Ghana,PV,wet,3,t15,0.44
Ghana,PV,wet,3,t16,0.325
Ghana,PV,wet,3,t17,0.186
Ghana,PV,wet,3,t18,0.055
Ghana,PV,wet,4,t07,0.01
Ghana,PV,wet,4,t08,0.094
Ghana,PV,wet,4,t09,0.22
Ghana,PV,wet,4,t10,0.313
Ghana,PV,wet,4,t11,0.366
Ghana,PV,wet,4,t12,0.404
Ghana,PV,wet,4,t13,0.421
Ghana,PV,wet,4,t14,0.377
Ghana,PV,wet,4,t15,0.259
Ghana,PV,wet,4,t16,0.147
Ghana,PV,wet,4,t17,0.055
Ghana,PV,wet,4,t18,0.006
Ghana,Wind,dry,1,t01,0.345
Ghana,Wind,dry,1,t02,0.313
Ghana,Wind,dry,1,t03,0.289
Ghana,Wind,dry,1,t04,0.283
Ghana,Wind,dry,1,t05,0.286
Ghana,Wind,dry,1,t06,0.28
Ghana,Wind,dry,1,t07,0.25
Ghana,Wind,dry,1,t08,0.101
Ghana,Wind,dry,1,t09,0.157
Ghana,Wind,dry,1,t10,0.392
Ghana,Wind,dry,1,t11,0.604
Ghana,Wind,dry,1,t12,0.5750000000000001
Ghana,Wind,dry,1,t13,0.484
Ghana,Wind,dry,1,t14,0.362
Ghana,Wind,dry,1,t15,0.261
Ghana,Wind,dry,1,t16,0.201
Ghana,Wind,dry,1,t17,0.176
Ghana,Wind,dry,1,t18,0.168
Ghana,Wind,dry,1,t19,0.15
Ghana,Wind,dry,1,t20,0.121
Ghana,Wind,dry,1,t21,0.102
Ghana,Wind,dry,1,t22,0.093
Ghana,Wind,dry,1,t23,0.088
Ghana,Wind,dry,1,t24,0.077
Ghana,Wind,dry,2,t01,0.194
Ghana,Wind,dry,2,t02,0.176
Ghana,Wind,dry,2,t03,0.175
Ghana,Wind,dry,2,t04,0.208
Ghana,Wind,dry,2,t05,0.272
Ghana,Wind,dry,2,t06,0.343
Ghana,Wind,dry,2,t07,0.342
Ghana,Wind,dry,2,t08,0.127
Ghana,Wind,dry,2,t09,0.143
Ghana,Wind,dry,2,t10,0.205
Ghana,Wind,dry,2,t11,0.261
Ghana,Wind,dry,2,t12,0.245
Ghana,Wind,dry,2,t13,0.172
Ghana,Wind,dry,2,t14,0.107
Ghana,Wind,dry,2,t15,0.068
Ghana,Wind,dry,2,t16,0.046
Ghana,Wind,dry,2,t17,0.044
Ghana,Wind,dry,2,t18,0.06
Ghana,Wind,dry,2,t19,0.07
Ghana,Wind,dry,2,t20,0.067
Ghana,Wind,dry,2,t21,0.042
Ghana,Wind,dry,2,t22,0.014
Ghana,Wind,dry,2,t23,0.011
Ghana,Wind,dry,2,t24,0.028
Ghana,Wind,dry,3,t01,0.322
Ghana,Wind,dry,3,t02,0.305
Ghana,Wind,dry,3,t03,0.274
Ghana,Wind,dry,3,t04,0.251
Ghana,Wind,dry,3,t05,0.245
Ghana,Wind,dry,3,t06,0.254
Ghana,Wind,dry,3,t07,0.22
Ghana,Wind,dry,3,t08,0.22
Ghana,Wind,dry,3,t09,0.24
Ghana,Wind,dry,3,t10,0.165
Ghana,Wind,dry,3,t11,0.088
Ghana,Wind,dry,3,t12,0.041
Ghana,Wind,dry,3,t13,0.018
Ghana,Wind,dry,3,t14,0.006
Ghana,Wind,dry,3,t15,0.002
Ghana,Wind,dry,3,t16,0.001
Ghana,Wind,dry,3,t17,0.001
Ghana,Wind,dry,3,t18,0.001
Ghana,Wind,dry,3,t19,0.001
Ghana,Wind,dry,3,t24,0.005
Ghana,Wind,dry,4,t01,0.026
Ghana,Wind,dry,4,t02,0.011
Ghana,Wind,dry,4,t03,0.003
Ghana,Wind,dry,4,t12,0.001
Ghana,Wind,dry,4,t13,0.003
Ghana,Wind,dry,4,t14,0.006
Ghana,Wind,dry,4,t15,0.009
Ghana,Wind,dry,4,t16,0.011
Ghana,Wind,dry,4,t17,0.016
Ghana,Wind,dry,4,t18,0.02
Ghana,Wind,dry,4,t19,0.018
Ghana,Wind,dry,4,t20,0.015
Ghana,Wind,dry,4,t21,0.011
Ghana,Wind,dry,4,t22,0.007
Ghana,Wind,dry,4,t23,0.006
Ghana,Wind,dry,4,t24,0.011
Ghana,Wind,wet,1,t01,0.076
Ghana,Wind,wet,1,t02,0.075
Ghana,Wind,wet,1,t03,0.054
Ghana,Wind,wet,1,t04,0.021
Ghana,Wind,wet,1,t05,0.002
Ghana,Wind,wet,1,t09,0.001
Ghana,Wind,wet,1,t10,0.007
Ghana,Wind,wet,1,t11,0.014
Ghana,Wind,wet,1,t12,0.022
Ghana,Wind,wet,1,t13,0.033
