gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Unnamed: 26
Harare1_TH_ZWE,Zimbabwe,ST,Coal,1942,1970,21.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,32.0,
Harare2_TH_ZWE,Zimbabwe,ST,Coal,1955,2024,20.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,18.0,
Harare3_TH_ZWE,Zimbabwe,ST,Coal,1956,2024,60.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,30.0,
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2030,1011.0,1,0.3,13.8,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,163.8,
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600.0,1,,9.22225941,,,,,,,,0.0,,0.0,0.0,,0.0,0.05,0.0,300.0,
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,600.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,347.0,
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320.0,1,,,,,,,,,,0.0,,,0.0,,0.0,0.1,0.0,320.0,
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110.0,1,,9.748974861,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
Inga1_HY_DRC,DRC,ReservoirHydro,Water,1974,2060,227.0,1,,,,,,0.385,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Inga2_HY_DRC,DRC,ReservoirHydro,Water,1982,2060,835.0,1,,,,,,0.435,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Inga3BC_HY_DRC,DRC,ReservoirHydro,Water,2040,2085,3500.0,2,,,,,,0.45,,,0.0,2.805581395,50.0,1400.0,0.0,,0.0,0.0,0.0,0.0,
Ingula_HY_ZAF,South_Africa,Storage,Water,2017,2060,1324.0,1,,0.0,1.0,1.0,0.0,0.8,46500.0,0.55,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
IPP_Luderitz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50.0,2,,0.0,1.0,1.0,,,,,,,,50.0,0.0,,0.0,0.0,1.0,0.0,
ItheziThezi_HY_ZMB,Zambia,ReservoirHydro,Water,2016,2060,120.0,1,,,,,,0.290144597,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
