g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
CenterWest_Agg_Lignite,CenterAna,ST,DomesticCoal,1,2000,2060,77.629,77.629,50,12.76,0.05,0.05,0.03,,40000,4,10,
CenterBlack_Agg_Lignite,CenterBlack,ST,DomesticCoal,1,2000,2060,21,21,50,12.76,0.05,0.05,0.03,,40000,4,10,
Trakia_Agg_Lignite,Trakia,ST,DomesticCoal,1,2000,2060,5,5,50,12.76,0.05,0.05,0.03,,40000,4,10,
EastMed_Agg_Lignite,EastMed,ST,DomesticCoal,1,2000,2060,13,13,50,12.76,0.05,0.05,0.03,,40000,4,10,
WestAna_Agg_Lignite,WestAna,ST,DomesticCoal,1,2000,2060,51,51,50,12.76,0.05,0.05,0.03,,40000,4,10,
CATALAGZI_B1,NorthWest,ST,DomesticCoal,1,1989,2060,157.5,157.5,50,10.95811892,0.05,0.05,0.03,,40000,4,10,
CATALAGZI_B2,NorthWest,ST,DomesticCoal,1,1991,2060,157.5,157.5,50,10.95811892,0.05,0.05,0.03,,40000,4,10,
ISDEMIR,EastMed,ST,DomesticCoal,1,1975,2060,235,235,50,22.57835217,0.05,0.05,0.03,,40000,4,10,
KARDEMIR,CenterAna,ST,DomesticCoal,1,2017,2060,107.766,107.766,50,14.1367896,0.05,0.05,0.03,,40000,4,10,
ERDEMIR,NorthWest,ST,DomesticCoal,1,2017,2060,183,183,50,22.57835217,0.05,0.05,0.03,,40000,4,10,
SILOPI_1,SouthEast,ST,DomesticCoal,1,2009,2060,135,135,50,10.5343315,0.05,0.05,0.03,,40000,4,10,
SILOPI_2,SouthEast,ST,DomesticCoal,1,2015,2060,135,135,50,10.5343315,0.05,0.05,0.03,,40000,4,10,
SILOPI_3,SouthEast,ST,DomesticCoal,1,2015,2060,135,135,50,10.5343315,0.05,0.05,0.03,,40000,4,10,
AFSIN_ELBISTAN_CD,SouthEast,ST,DomesticCoal,2,2030,2080,800,800,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
ALPU,NorthWest,ST,DomesticCoal,3,2060,2110,1000,500,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
ZONGULDAK,NorthWest,ST,DomesticCoal,3,2060,2110,5000,500,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
DINAR,WestMed,ST,DomesticCoal,3,2060,2110,1000,500,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
ILGIN,CenterAna,ST,DomesticCoal,3,2060,2110,500,250,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
KARAPINAR,CenterAna,ST,DomesticCoal,3,2060,2110,1500,750,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
KINIK,CenterAna,ST,DomesticCoal,3,2060,2110,665,332.5,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
MALKARA,Trakia,ST,DomesticCoal,3,2060,2110,1000,500,50,8.6,0.05,0.05,0.03,1.5,40000,4,10,
GEBZE_1_NG,NorthWest,CCGT,Gas,1,2002,2060,815.5,815.5,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
GEBZE_2_NG,NorthWest,CCGT,Gas,1,2002,2060,815.5,815.5,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
ADA_NG,NorthWest,CCGT,Gas,1,2002,2060,818,818,30,6.729219979,0.05,0.05,0.05,,20000,1,8,
ALES_NG,WestAna,CCGT,Gas,1,2017,2060,63,63,30,7.312505132,0.05,0.05,0.05,,20000,1,8,
KIRKLARELI_NG,Trakia,CCGT,Gas,1,2010,2060,82,82,30,9.50125537,0.05,0.05,0.05,,20000,1,8,
AKSA_ANTALYA_NG,WestMed,CCGT,Gas,1,2009,2060,900,900,30,6.993271652,0.05,0.05,0.05,,20000,1,8,
CAMIS_KIRKLARELI_NG,Trakia,CCGT,Gas,1,2005,2060,32.88,32.88,30,7.647117261,0.05,0.05,0.05,,20000,1,8,
CENGIZ_610_NG,CenterBlack,CCGT,Gas,1,2014,2060,610,610,30,6.366172282,0.05,0.05,0.05,,20000,1,8,
COLAKOGLU_1_NG,NorthWest,CCGT,Gas,1,1994,2060,123.4,123.4,30,12.01942277,0.05,0.05,0.05,,20000,1,8,
DELTA_NG,Trakia,CCGT,Gas,1,2009,2060,61,61,30,7.433904642,0.05,0.05,0.05,,20000,1,8,
RWE_DENIZLI_NG,WestMed,CCGT,Gas,1,2013,2060,797.4,797.4,30,6.965755751,0.05,0.05,0.05,,20000,1,8,
ERZIN_NG,EastMed,CCGT,Gas,1,2014,2060,904,904,30,6.889984271,0.05,0.05,0.05,,20000,1,8,
ENTEK_KOSEKOY_NG,NorthWest,CCGT,Gas,1,2009,2060,111.81,111.81,30,6.634442233,0.05,0.05,0.05,,20000,1,8,
EUAS_ESENYURT_NG,Trakia,CCGT,Gas,1,1999,2060,180,180,30,8.492520032,0.05,0.05,0.05,,20000,1,8,
