season,day,hour,Load_Bosnia and Herzegovina,Load_Croatia,PV_Bosnia and Herzegovina,PV_Croatia,Wind_Bosnia and Herzegovina,Wind_Croatia
1,103,14,0.6383,0.8833,0.179,0.396,0.032,0.042
1,103,15,0.6432,0.8898,0.114,0.247,0.023,0.04
1,103,16,0.6544,0.9008,0.043,0.097,0.018,0.036
1,103,17,0.6675,0.9117,0.0,0.01,0.019,0.014
1,103,18,0.6765,0.9166,0.0,0.0,0.018,0.014
1,103,19,0.676,0.9102,0.0,0.0,0.018,0.06
1,103,20,0.6839,0.9033,0.0,0.0,0.018,0.139
1,103,21,0.7028,0.8901,0.0,0.0,0.022,0.255
1,103,22,0.6364,0.8301,0.0,0.0,0.041,0.369
1,103,23,0.5562,0.7652,0.0,0.0,0.071,0.459
1,104,0,0.5187,0.7254,0.0,0.0,0.112,0.515
1,104,1,0.4926,0.6971,0.0,0.0,0.159,0.574
1,104,2,0.4833,0.687,0.0,0.0,0.208,0.613
1,104,3,0.4928,0.6972,0.0,0.0,0.243,0.602
1,104,4,0.5189,0.7256,0.019,0.021,0.279,0.559
1,104,5,0.5563,0.7661,0.105,0.132,0.19,0.326
1,104,6,0.5974,0.8107,0.232,0.303,0.317,0.258
1,104,7,0.6345,0.8509,0.368,0.451,0.402,0.384
1,104,8,0.6614,0.8813,0.48,0.565,0.368,0.409
1,104,9,0.6752,0.8997,0.561,0.641,0.316,0.402
1,104,10,0.6762,0.906,0.599,0.674,0.266,0.359
1,104,11,0.6682,0.9034,0.588,0.667,0.231,0.308
1,104,12,0.6568,0.8971,0.532,0.618,0.207,0.272
1,104,13,0.6476,0.8923,0.43,0.534,0.199,0.258
1,104,14,0.6451,0.893,0.298,0.412,0.204,0.269
1,104,15,0.6505,0.9002,0.168,0.257,0.221,0.315
1,104,16,0.6624,0.9117,0.061,0.1,0.213,0.316
1,104,17,0.676,0.9231,0.0,0.01,0.228,0.445
1,104,18,0.6856,0.9283,0.0,0.0,0.216,0.559
1,104,19,0.6856,0.9222,0.0,0.0,0.253,0.634
1,104,20,0.6913,0.9139,0.0,0.0,0.316,0.697
1,104,21,0.7113,0.9011,0.0,0.0,0.364,0.731
1,104,22,0.6474,0.8426,0.0,0.0,0.394,0.733
1,104,23,0.568,0.7786,0.0,0.0,0.405,0.688
1,105,0,0.5309,0.7353,0.0,0.0,0.394,0.623
1,105,1,0.5053,0.7075,0.0,0.0,0.374,0.61
1,105,2,0.4964,0.6979,0.0,0.0,0.346,0.615
1,105,3,0.5063,0.7086,0.0,0.0,0.319,0.623
1,105,4,0.5328,0.7373,0.022,0.02,0.306,0.599
1,105,5,0.5705,0.7782,0.131,0.131,0.226,0.405
1,105,6,0.6119,0.823,0.293,0.301,0.303,0.285
1,105,7,0.6491,0.8634,0.449,0.449,0.336,0.362
1,105,8,0.6763,0.8941,0.57,0.562,0.281,0.371
1,105,9,0.6901,0.9129,0.648,0.63,0.218,0.254
1,105,10,0.6912,0.9197,0.681,0.662,0.168,0.152
1,105,11,0.6832,0.9176,0.667,0.656,0.132,0.085
1,105,12,0.6717,0.9117,0.599,0.607,0.102,0.044
1,105,13,0.6624,0.9072,0.475,0.523,0.128,0.019
1,105,14,0.6597,0.908,0.352,0.401,0.152,0.008
1,105,15,0.665,0.915,0.206,0.25,0.176,0.014
1,105,16,0.6765,0.9262,0.073,0.097,0.179,0.052
1,105,17,0.6898,0.9368,0.0,0.008,0.181,0.15
1,105,18,0.699,0.9412,0.0,0.0,0.155,0.23
1,105,19,0.6985,0.9341,0.0,0.0,0.18,0.284
1,105,20,0.7093,0.9282,0.0,0.0,0.235,0.337
1,105,21,0.7275,0.9139,0.0,0.0,0.25,0.376
1,105,22,0.659,0.8522,0.0,0.0,0.262,0.39
1,105,23,0.5784,0.7684,0.0,0.0,0.26,0.409
1,106,0,0.5407,0.731,0.0,0.0,0.25,0.403
1,106,1,0.5142,0.7023,0.0,0.0,0.228,0.337
1,106,2,0.5046,0.6918,0.0,0.0,0.2,0.255
1,106,3,0.5135,0.7015,0.0,0.0,0.17,0.199
1,106,4,0.5391,0.7292,0.022,0.02,0.159,0.179
1,106,5,0.5759,0.7691,0.142,0.124,0.107,0.165
1,106,6,0.6162,0.8128,0.315,0.283,0.085,0.076
1,106,7,0.6525,0.8522,0.466,0.43,0.066,0.036
1,106,8,0.6786,0.8818,0.577,0.543,0.04,0.037
1,106,9,0.6914,0.8997,0.648,0.608,0.032,0.05
1,106,10,0.6914,0.9056,0.67,0.641,0.034,0.074
1,106,11,0.6823,0.9027,0.64,0.635,0.045,0.119
1,106,12,0.6697,0.896,0.557,0.571,0.065,0.192
1,106,13,0.6594,0.8907,0.422,0.489,0.083,0.264
1,106,14,0.6556,0.8905,0.28,0.369,0.089,0.266
1,106,15,0.6597,0.8964,0.158,0.225,0.072,0.243
1,106,16,0.6702,0.9064,0.053,0.087,0.053,0.211
1,106,17,0.6824,0.9157,0.0,0.007,0.042,0.194
1,106,18,0.6906,0.9186,0.0,0.0,0.026,0.126
1,106,19,0.6891,0.91,0.0,0.0,0.015,0.083
1,106,20,0.7009,0.9038,0.0,0.0,0.012,0.076
1,106,21,0.7175,0.888,0.0,0.0,0.021,0.084
1,106,22,0.6469,0.8243,0.0,0.0,0.032,0.097
1,106,23,0.5653,0.7574,0.0,0.0,0.044,0.112
1,107,0,0.5267,0.714,0.0,0.0,0.055,0.115
1,107,1,0.4995,0.6845,0.0,0.0,0.069,0.091
1,107,2,0.4891,0.6732,0.0,0.0,0.085,0.058
1,107,3,0.4974,0.6822,0.0,0.0,0.088,0.053
1,107,4,0.5223,0.7093,0.009,0.018,0.091,0.073
1,107,5,0.5585,0.7485,0.054,0.101,0.087,0.082
1,107,6,0.5984,0.7917,0.111,0.201,0.049,0.047
1,107,7,0.6342,0.8306,0.167,0.317,0.04,0.04
1,107,8,0.6599,0.8597,0.224,0.438,0.06,0.042
1,107,9,0.6724,0.8766,0.275,0.539,0.096,0.042
1,107,10,0.6722,0.8815,0.288,0.599,0.13,0.066
1,107,11,0.663,0.8776,0.259,0.596,0.135,0.118
1,107,12,0.6503,0.8699,0.207,0.533,0.103,0.16
1,107,13,0.6399,0.8637,0.169,0.43,0.078,0.173
1,107,14,0.6361,0.8631,0.12,0.281,0.1,0.163
1,107,15,0.6404,0.8689,0.067,0.135,0.147,0.151
1,107,16,0.651,0.8792,0.019,0.039,0.127,0.135
1,107,17,0.6635,0.8893,0.0,0.0,0.071,0.158
1,107,18,0.672,0.8933,0.0,0.0,0.041,0.156
1,107,19,0.6709,0.886,0.0,0.0,0.048,0.133
1,107,20,0.6792,0.879,0.0,0.0,0.072,0.122
1,107,21,0.6974,0.8648,0.0,0.0,0.111,0.144
1,107,22,0.6298,0.8036,0.0,0.0,0.15,0.152
1,107,23,0.5491,0.738,0.0,0.0,0.175,0.146
1,108,0,0.5111,0.7001,0.0,0.0,0.207,0.146
1,108,1,0.4846,0.6713,0.0,0.0,0.222,0.161
1,108,2,0.4749,0.6608,0.0,0.0,0.224,0.193
1,108,3,0.4614,0.6462,0.0,0.0,0.191,0.187
1,108,4,0.488,0.675,0.005,0.016,0.15,0.112
1,108,5,0.5256,0.7158,0.047,0.1,0.1,0.02
1,108,6,0.566,0.7596,0.129,0.197,0.084,0.044
1,108,7,0.6005,0.797,0.246,0.269,0.128,0.157
1,108,8,0.6225,0.8221,0.369,0.278,0.215,0.179
1,108,9,0.629,0.8329,0.394,0.263,0.292,0.188
1,108,10,0.6212,0.83,0.377,0.298,0.343,0.196
1,108,11,0.6038,0.8177,0.313,0.341,0.322,0.234
1,108,12,0.5839,0.8027,0.223,0.343,0.294,0.279
1,108,13,0.5687,0.7919,0.166,0.251,0.235,0.259
1,108,14,0.5635,0.79,0.113,0.161,0.17,0.198
1,108,15,0.5703,0.7986,0.051,0.084,0.158,0.2
1,108,16,0.5869,0.8152,0.014,0.02,0.18,0.172
1,108,17,0.608,0.8344,0.0,0.0,0.214,0.18
1,108,18,0.6263,0.8486,0.0,0.0,0.224,0.213
1,108,19,0.6347,0.8512,0.0,0.0,0.235,0.249
1,108,20,0.6559,0.8552,0.0,0.0,0.248,0.284
1,108,21,0.6786,0.8464,0.0,0.0,0.263,0.35
1,108,22,0.6113,0.7868,0.0,0.0,0.302,0.435
1,108,23,0.5316,0.7221,0.0,0.0,0.337,0.458
1,109,0,0.4938,0.6774,0.0,0.0,0.322,0.405
1,109,1,0.467,0.6484,0.0,0.0,0.265,0.417
1,109,2,0.4574,0.638,0.0,0.0,0.198,0.412
1,109,3,0.4673,0.6487,0.0,0.0,0.172,0.41
1,109,4,0.4943,0.6779,0.003,0.015,0.158,0.411
1,109,5,0.5324,0.7192,0.056,0.094,0.17,0.384
1,109,6,0.5731,0.7634,0.199,0.227,0.26,0.414
1,109,7,0.6079,0.8011,0.394,0.382,0.42,0.515
1,109,8,0.6302,0.8266,0.555,0.521,0.524,0.551
1,109,9,0.6369,0.8377,0.614,0.565,0.548,0.56
1,109,10,0.6292,0.8352,0.615,0.561,0.548,0.555
1,109,11,0.6119,0.8233,0.609,0.52,0.542,0.525
1,109,12,0.5921,0.8087,0.57,0.416,0.548,0.443
1,109,13,0.5769,0.7981,0.49,0.259,0.545,0.346
1,109,14,0.5717,0.7963,0.377,0.147,0.513,0.256
1,109,15,0.5784,0.8049,0.233,0.088,0.432,0.15
1,109,16,0.5949,0.8214,0.076,0.036,0.274,0.077
1,109,17,0.6158,0.8402,0.0,0.0,0.169,0.052
1,109,18,0.6339,0.854,0.0,0.0,0.128,0.051
1,109,19,0.6422,0.856,0.0,0.0,0.123,0.048
1,109,20,0.6672,0.862,0.0,0.0,0.134,0.04
1,109,21,0.6881,0.8521,0.0,0.0,0.159,0.041
1,109,22,0.6181,0.7906,0.0,0.0,0.189,0.056
1,109,23,0.5379,0.725,0.0,0.0,0.2,0.089
1,110,0,0.4997,0.6824,0.0,0.0,0.189,0.126
1,110,1,0.4726,0.653,0.0,0.0,0.172,0.126
1,110,2,0.4627,0.6422,0.0,0.0,0.14,0.099
1,110,3,0.4722,0.6343,0.0,0.0,0.096,0.055
1,110,4,0.5205,0.6867,0.018,0.012,0.066,0.026
1,110,5,0.5576,0.7269,0.136,0.104,0.057,0.01
1,110,6,0.5983,0.7711,0.305,0.268,0.116,0.022
1,110,7,0.635,0.8108,0.463,0.431,0.146,0.026
1,110,8,0.6615,0.8408,0.583,0.565,0.153,0.041
1,110,9,0.6748,0.8587,0.665,0.648,0.143,0.068
1,110,10,0.6753,0.8645,0.707,0.693,0.15,0.119
1,110,11,0.6668,0.8615,0.706,0.679,0.177,0.17
1,110,12,0.6548,0.8546,0.646,0.61,0.172,0.243
1,110,13,0.6452,0.8494,0.549,0.511,0.154,0.289
1,110,14,0.642,0.8495,0.415,0.361,0.157,0.297
1,110,15,0.647,0.8561,0.233,0.208,0.154,0.254
1,110,16,0.6582,0.867,0.067,0.086,0.132,0.168
1,110,17,0.6713,0.8777,0.0,0.003,0.091,0.082
1,110,18,0.6803,0.8822,0.0,0.0,0.05,0.015
1,110,19,0.6798,0.8754,0.0,0.0,0.034,0.008
1,110,20,0.6933,0.8716,0.0,0.0,0.038,0.042
1,110,21,0.7107,0.8574,0.0,0.0,0.052,0.095
1,110,22,0.6405,0.7949,0.0,0.0,0.051,0.145
1,110,23,0.56,0.7293,0.0,0.0,0.046,0.207
1,111,0,0.5225,0.6893,0.0,0.0,0.048,0.255
1,111,1,0.4964,0.661,0.0,0.0,0.053,0.199
1,111,2,0.4871,0.651,0.0,0.0,0.049,0.145
1,111,3,0.4966,0.6612,0.0,0.0,0.048,0.132
1,111,4,0.5227,0.6896,0.016,0.0,0.055,0.19
1,111,5,0.5601,0.7301,0.145,0.03,0.05,0.263
1,111,6,0.6013,0.7747,0.327,0.074,0.028,0.249
1,111,7,0.6383,0.8149,0.482,0.138,0.026,0.253
1,111,8,0.6653,0.8452,0.597,0.213,0.051,0.246
1,111,9,0.679,0.8635,0.662,0.28,0.102,0.159
1,111,10,0.6801,0.8696,0.686,0.346,0.2,0.077
1,111,11,0.6721,0.8668,0.669,0.363,0.326,0.044
1,111,12,0.6606,0.8602,0.606,0.37,0.371,0.041
1,111,13,0.6515,0.8553,0.507,0.355,0.284,0.041
1,111,14,0.6489,0.8558,0.368,0.254,0.173,0.033
1,111,15,0.6544,0.8629,0.202,0.134,0.096,0.03
1,111,16,0.6662,0.8745,0.064,0.034,0.056,0.027
1,111,17,0.6799,0.886,0.0,0.0,0.06,0.017
1,111,18,0.6895,0.8915,0.0,0.0,0.069,0.014
1,111,19,0.6895,0.8856,0.0,0.0,0.07,0.032
1,111,20,0.7068,0.8847,0.0,0.0,0.054,0.101
1,111,21,0.7237,0.8709,0.0,0.0,0.038,0.271
1,111,22,0.6521,0.8079,0.0,0.0,0.029,0.394
1,111,23,0.5719,0.7426,0.0,0.0,0.029,0.432
1,112,0,0.5348,0.6973,0.0,0.0,0.037,0.482
1,112,1,0.5092,0.6695,0.0,0.0,0.028,0.461
1,112,2,0.5004,0.6599,0.0,0.0,0.02,0.427
1,112,3,0.5102,0.6706,0.0,0.0,0.023,0.364
1,112,4,0.5367,0.6993,0.014,0.0,0.041,0.329
1,112,5,0.5744,0.7402,0.111,0.031,0.046,0.362
1,112,6,0.6158,0.785,0.247,0.071,0.068,0.412
1,112,7,0.6531,0.8255,0.405,0.143,0.077,0.553
1,112,8,0.6802,0.8561,0.541,0.24,0.077,0.603
1,112,9,0.6941,0.8746,0.619,0.317,0.073,0.623
1,112,10,0.6952,0.8811,0.683,0.378,0.072,0.644
1,112,11,0.6872,0.8786,0.684,0.404,0.085,0.653
1,112,12,0.6757,0.8723,0.613,0.425,0.109,0.659
1,112,13,0.6664,0.8676,0.52,0.377,0.132,0.667
1,112,14,0.6637,0.8681,0.387,0.297,0.147,0.689
1,112,15,0.6689,0.875,0.221,0.187,0.165,0.722
1,112,16,0.6805,0.8863,0.064,0.081,0.175,0.713
1,112,17,0.6938,0.8972,0.0,0.003,0.206,0.635
1,112,18,0.703,0.9019,0.0,0.0,0.251,0.629
1,112,19,0.7025,0.8953,0.0,0.0,0.289,0.654
1,112,20,0.7252,0.897,0.0,0.0,0.336,0.696
1,112,21,0.7391,0.8812,0.0,0.0,0.385,0.728
1,112,22,0.6636,0.8153,0.0,0.0,0.427,0.733
1,112,23,0.5824,0.7486,0.0,0.0,0.444,0.688
1,113,0,0.5447,0.7051,0.0,0.0,0.465,0.669
1,113,1,0.5182,0.6764,0.0,0.0,0.479,0.663
1,113,2,0.5086,0.6659,0.0,0.0,0.452,0.689
1,113,3,0.5175,0.6756,0.0,0.0,0.416,0.626
1,113,4,0.5431,0.7033,0.016,0.012,0.379,0.634
1,113,5,0.5799,0.7432,0.129,0.098,0.38,0.638
1,113,6,0.6203,0.787,0.296,0.205,0.45,0.779
1,113,7,0.6565,0.8263,0.463,0.301,0.428,0.857
1,113,8,0.6826,0.8556,0.578,0.376,0.365,0.88
1,113,9,0.6954,0.8725,0.632,0.419,0.297,0.877
1,113,10,0.6955,0.877,0.608,0.438,0.252,0.862
1,113,11,0.6864,0.8724,0.524,0.414,0.227,0.843
1,113,12,0.6738,0.864,0.374,0.374,0.221,0.822
1,113,13,0.6634,0.8572,0.286,0.315,0.225,0.791
1,113,14,0.6596,0.8561,0.215,0.222,0.241,0.754
1,113,15,0.6638,0.8616,0.145,0.124,0.291,0.708
1,113,16,0.6742,0.8719,0.057,0.043,0.35,0.652
1,113,17,0.6865,0.8822,0.0,0.0,0.359,0.666
1,113,18,0.6947,0.8866,0.0,0.0,0.376,0.684
1,113,19,0.6932,0.8797,0.0,0.0,0.428,0.613
1,113,20,0.7112,0.8791,0.0,0.0,0.459,0.519
1,113,21,0.7256,0.8638,0.0,0.0,0.468,0.477
1,113,22,0.6513,0.7987,0.0,0.0,0.457,0.45
1,113,23,0.5694,0.7316,0.0,0.0,0.455,0.457
1,114,0,0.5308,0.6907,0.0,0.0,0.447,0.476
1,114,1,0.5036,0.6612,0.0,0.0,0.444,0.471
1,114,2,0.4932,0.6499,0.0,0.0,0.45,0.465
1,114,3,0.5015,0.6589,0.0,0.0,0.449,0.452
1,114,4,0.5264,0.686,0.004,0.007,0.397,0.405
1,114,5,0.5626,0.7252,0.072,0.087,0.383,0.221
1,114,6,0.6025,0.7685,0.199,0.222,0.515,0.391
1,114,7,0.6384,0.7891,0.397,0.359,0.48,0.534
1,114,8,0.6641,0.8179,0.507,0.485,0.359,0.543
1,114,9,0.6766,0.834,0.607,0.579,0.224,0.522
1,114,10,0.6764,0.8377,0.654,0.657,0.128,0.488
1,114,11,0.6671,0.8323,0.635,0.668,0.076,0.439
1,114,12,0.6544,0.8231,0.556,0.597,0.052,0.413
1,114,13,0.6441,0.8158,0.448,0.471,0.049,0.42
1,114,14,0.6403,0.8143,0.323,0.347,0.058,0.446
1,114,15,0.6446,0.8198,0.191,0.206,0.083,0.451
1,114,16,0.6552,0.8304,0.058,0.075,0.119,0.397
1,114,17,0.6677,0.8413,0.0,0.001,0.172,0.421
1,114,18,0.6761,0.8466,0.0,0.0,0.251,0.444
1,114,19,0.675,0.8408,0.0,0.0,0.288,0.461
1,114,20,0.6947,0.8422,0.0,0.0,0.288,0.494
1,114,21,0.7092,0.8277,0.0,0.0,0.297,0.506
1,114,22,0.6346,0.7631,0.0,0.0,0.284,0.465
1,114,23,0.5533,0.6966,0.0,0.0,0.258,0.431
1,115,0,0.5153,0.6571,0.0,0.0,0.244,0.457
1,115,1,0.4888,0.6283,0.0,0.0,0.235,0.489
1,115,2,0.4791,0.6178,0.0,0.0,0.234,0.413
1,115,3,0.4656,0.6032,0.0,0.0,0.229,0.417
1,115,4,0.4922,0.632,0.011,0.008,0.194,0.386
1,115,5,0.5299,0.6728,0.137,0.102,0.117,0.371
1,115,6,0.5702,0.7166,0.337,0.254,0.048,0.459
1,115,7,0.6047,0.754,0.489,0.422,0.018,0.382
1,115,8,0.6267,0.7788,0.586,0.557,0.023,0.226
1,115,9,0.6332,0.7887,0.603,0.65,0.038,0.1
1,115,10,0.6254,0.7843,0.645,0.679,0.055,0.037
1,115,11,0.608,0.7703,0.641,0.689,0.068,0.013
1,115,12,0.5881,0.7537,0.605,0.648,0.07,0.009
1,115,13,0.573,0.7414,0.519,0.558,0.065,0.017
1,115,14,0.5678,0.7386,0.387,0.427,0.055,0.03
1,115,15,0.5745,0.7468,0.218,0.262,0.042,0.039
1,115,16,0.5911,0.7638,0.064,0.088,0.037,0.049
1,115,17,0.6122,0.7839,0.0,0.0,0.048,0.033
1,115,18,0.6305,0.7996,0.0,0.0,0.037,0.005
1,115,19,0.639,0.8044,0.0,0.0,0.024,0.029
1,115,20,0.674,0.8181,0.0,0.0,0.017,0.064
1,115,21,0.6912,0.8082,0.0,0.0,0.015,0.067
1,115,22,0.6162,0.7448,0.0,0.0,0.019,0.089
1,115,23,0.5359,0.6791,0.0,0.0,0.031,0.138
1,116,0,0.498,0.6356,0.0,0.0,0.052,0.188
1,116,1,0.4713,0.6066,0.0,0.0,0.072,0.223
1,116,2,0.4617,0.5962,0.0,0.0,0.089,0.26
1,116,3,0.4716,0.6069,0.0,0.0,0.103,0.305
1,116,4,0.4986,0.6362,0.007,0.008,0.119,0.423
1,116,5,0.5367,0.6774,0.148,0.119,0.085,0.353
1,116,6,0.5774,0.7216,0.343,0.301,0.083,0.278
1,116,7,0.6122,0.7593,0.509,0.461,0.081,0.399
1,116,8,0.6345,0.7845,0.628,0.575,0.09,0.455
1,116,9,0.6412,0.7948,0.701,0.643,0.11,0.489
1,116,10,0.6335,0.791,0.73,0.667,0.134,0.511
1,116,11,0.6162,0.7775,0.717,0.646,0.165,0.533
1,116,12,0.5964,0.7614,0.662,0.591,0.193,0.576
1,116,13,0.5812,0.7494,0.561,0.512,0.208,0.607
1,116,14,0.576,0.7468,0.418,0.385,0.21,0.559
1,116,15,0.5827,0.7551,0.243,0.206,0.201,0.42
1,116,16,0.5992,0.7719,0.065,0.066,0.182,0.307
1,116,17,0.6201,0.7916,0.0,0.0,0.156,0.364
1,116,18,0.6383,0.8067,0.0,0.0,0.117,0.515
1,116,19,0.6465,0.8106,0.0,0.0,0.105,0.639
1,116,20,0.6788,0.8224,0.0,0.0,0.118,0.644
1,116,21,0.6968,0.8124,0.0,0.0,0.177,0.626
1,116,22,0.6228,0.7492,0.0,0.0,0.245,0.575
1,116,23,0.5422,0.6833,0.0,0.0,0.329,0.503
1,117,0,0.5041,0.6319,0.0,0.0,0.39,0.476
1,117,1,0.477,0.6025,0.0,0.0,0.417,0.474
1,117,2,0.4671,0.5918,0.0,0.0,0.409,0.471
1,117,3,0.4765,0.602,0.0,0.0,0.344,0.376
1,117,4,0.5249,0.6545,0.008,0.0,0.294,0.304
1,117,5,0.562,0.6946,0.125,0.021,0.194,0.16
1,117,6,0.6027,0.7388,0.309,0.059,0.27,0.127
1,117,7,0.6394,0.7786,0.468,0.123,0.267,0.072
1,117,8,0.6659,0.808,0.583,0.246,0.225,0.045
1,117,9,0.6792,0.8245,0.66,0.462,0.192,0.041
1,117,10,0.6797,0.8282,0.689,0.545,0.172,0.042
1,117,11,0.6712,0.8226,0.664,0.447,0.153,0.041
1,117,12,0.6593,0.8133,0.6,0.271,0.128,0.03
1,117,13,0.6496,0.8059,0.507,0.264,0.096,0.021
1,117,14,0.6465,0.8046,0.384,0.352,0.064,0.059
1,117,15,0.6514,0.8107,0.222,0.244,0.033,0.19
1,117,16,0.6626,0.8221,0.061,0.085,0.013,0.347
1,117,17,0.6757,0.8342,0.0,0.0,0.021,0.515
1,117,18,0.6848,0.8409,0.0,0.0,0.044,0.606
1,117,19,0.6842,0.8369,0.0,0.0,0.128,0.6
1,117,20,0.7084,0.8421,0.0,0.0,0.213,0.634
1,117,21,0.7217,0.8281,0.0,0.0,0.272,0.622
1,117,22,0.6455,0.7632,0.0,0.0,0.299,0.6
1,117,23,0.5644,0.6971,0.0,0.0,0.318,0.584
1,118,0,0.5269,0.6557,0.0,0.0,0.325,0.591
1,118,1,0.5009,0.6274,0.0,0.0,0.331,0.53
1,118,2,0.4916,0.6174,0.0,0.0,0.351,0.538
1,118,3,0.501,0.6276,0.0,0.0,0.382,0.634
1,118,4,0.5272,0.656,0.007,0.005,0.402,0.657
1,118,5,0.5646,0.6965,0.137,0.109,0.348,0.683
1,118,6,0.6057,0.7411,0.325,0.285,0.367,0.769
1,118,7,0.6428,0.7813,0.487,0.448,0.34,0.795
1,118,8,0.6698,0.8111,0.606,0.575,0.282,0.795
1,118,9,0.6835,0.8278,0.679,0.666,0.211,0.762
1,118,10,0.6846,0.8316,0.699,0.704,0.142,0.688
1,118,11,0.6766,0.8079,0.67,0.696,0.086,0.583
1,118,12,0.6651,0.7986,0.612,0.645,0.05,0.48
1,118,13,0.656,0.7914,0.509,0.554,0.036,0.412
1,118,14,0.6534,0.7904,0.343,0.421,0.05,0.388
1,118,15,0.6589,0.7969,0.185,0.252,0.085,0.405
1,118,16,0.6707,0.8091,0.051,0.081,0.123,0.42
1,118,17,0.6844,0.8221,0.0,0.0,0.199,0.494
1,118,18,0.694,0.8299,0.0,0.0,0.255,0.519
1,118,19,0.6944,0.828,0.0,0.0,0.297,0.491
1,118,20,0.7266,0.8381,0.0,0.0,0.315,0.457
1,118,21,0.7368,0.8233,0.0,0.0,0.321,0.417
1,118,22,0.6572,0.7568,0.0,0.0,0.314,0.362
1,118,23,0.5764,0.6908,0.0,0.0,0.293,0.354
1,119,0,0.5394,0.6478,0.0,0.0,0.248,0.358
1,119,1,0.5138,0.62,0.0,0.0,0.18,0.366
1,119,2,0.5049,0.6104,0.0,0.0,0.132,0.364
1,119,3,0.5148,0.621,0.0,0.0,0.117,0.341
1,119,4,0.5413,0.6498,0.006,0.004,0.116,0.3
1,119,5,0.579,0.6906,0.133,0.116,0.078,0.197
1,119,6,0.6203,0.7355,0.32,0.296,0.032,0.123
1,119,7,0.6576,0.7759,0.482,0.461,0.036,0.044
1,119,8,0.6848,0.8058,0.602,0.586,0.038,0.01
1,119,9,0.6986,0.8224,0.677,0.659,0.049,0.024
1,119,10,0.6997,0.8259,0.702,0.694,0.066,0.061
1,119,11,0.6917,0.8199,0.688,0.686,0.085,0.12
1,119,12,0.6802,0.8101,0.632,0.634,0.103,0.193
1,119,13,0.671,0.8023,0.508,0.545,0.113,0.255
1,119,14,0.6683,0.8009,0.382,0.415,0.114,0.281
1,119,15,0.6735,0.8071,0.206,0.249,0.11,0.254
1,119,16,0.6851,0.8191,0.056,0.08,0.119,0.184
1,119,17,0.6984,0.832,0.0,0.0,0.096,0.134
1,119,18,0.7076,0.8397,0.0,0.0,0.048,0.065
1,119,19,0.7075,0.8377,0.0,0.0,0.042,0.025
1,119,20,0.7385,0.8474,0.0,0.0,0.048,0.03
1,119,21,0.7485,0.8325,0.0,0.0,0.045,0.053
1,119,22,0.6685,0.7658,0.0,0.0,0.031,0.09
1,119,23,0.5871,0.6991,0.0,0.0,0.023,0.152
1,120,0,0.5493,0.6511,0.0,0.0,0.033,0.208
1,120,1,0.5229,0.6224,0.0,0.0,0.051,0.236
1,120,2,0.5132,0.6119,0.0,0.0,0.067,0.23
1,120,3,0.5222,0.6216,0.0,0.0,0.07,0.212
1,120,4,0.5478,0.6494,0.004,0.003,0.066,0.199
1,120,5,0.5845,0.6892,0.135,0.123,0.059,0.185
1,120,6,0.6249,0.733,0.326,0.314,0.037,0.125
1,120,7,0.6612,0.7723,0.491,0.475,0.029,0.22
1,120,8,0.6873,0.8008,0.612,0.594,0.037,0.296
1,120,9,0.7001,0.8154,0.686,0.669,0.05,0.34
1,120,10,0.7001,0.8165,0.717,0.699,0.062,0.371
1,120,11,0.691,0.8078,0.705,0.689,0.068,0.383
1,120,12,0.6784,0.7953,0.652,0.639,0.076,0.364
1,120,13,0.6681,0.7851,0.554,0.548,0.087,0.312
1,120,14,0.6643,0.7817,0.412,0.416,0.102,0.243
1,120,15,0.6685,0.7864,0.233,0.249,0.111,0.176
1,120,16,0.6789,0.7975,0.058,0.077,0.14,0.136
1,120,17,0.6912,0.8101,0.0,0.0,0.169,0.144
1,120,18,0.6994,0.8179,0.0,0.0,0.155,0.124
1,120,19,0.698,0.8159,0.0,0.0,0.156,0.084
1,120,20,0.7258,0.825,0.0,0.0,0.194,0.053
1,120,21,0.736,0.8109,0.0,0.0,0.236,0.037
1,120,22,0.6564,0.7448,0.0,0.0,0.261,0.029
1,120,23,0.5741,0.6776,0.0,0.0,0.28,0.022
1,121,0,0.5355,0.6359,0.0,0.0,0.314,0.021
1,121,1,0.5083,0.6064,0.0,0.0,0.356,0.025
1,121,2,0.4979,0.5951,0.0,0.0,0.395,0.037
1,121,3,0.5062,0.6041,0.0,0.0,0.41,0.054
1,121,4,0.5312,0.6311,0.003,0.002,0.425,0.091
1,121,5,0.5674,0.6704,0.136,0.117,0.351,0.141
1,121,6,0.6073,0.7136,0.328,0.3,0.239,0.077
1,121,7,0.6431,0.7525,0.491,0.458,0.235,0.108
1,121,8,0.6688,0.7806,0.609,0.577,0.153,0.111
1,121,9,0.6813,0.795,0.683,0.653,0.108,0.094
1,121,10,0.6811,0.796,0.714,0.686,0.083,0.071
1,121,11,0.6719,0.7874,0.703,0.678,0.07,0.052
1,121,12,0.6592,0.7751,0.649,0.631,0.054,0.039
1,121,13,0.6488,0.7651,0.552,0.542,0.057,0.036
1,121,14,0.645,0.7618,0.412,0.412,0.076,0.044
1,121,15,0.6493,0.7667,0.233,0.246,0.096,0.08
1,121,16,0.6599,0.7779,0.057,0.075,0.116,0.108
1,121,17,0.6724,0.7906,0.0,0.0,0.133,0.174
1,121,18,0.6809,0.7986,0.0,0.0,0.157,0.31
