z,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
BAHRAIN,Q3,d3,2025,4026.63374368573,3951.82851566374,3839.55040142828,3721.1876514207,3551.83632825586,3385.97519114757,3489.03078152947,3663.8230470917,3854.23354389594,4037.71239064748,4153.79176255579,4264.36273075232,4411.7872528178,4470.17970522841,4498.42631973752,4396.96450290788,4192.43023036774,4037.21205256581,4195.56437059838,4168.09637209275,4083.81376636287,4058.45206000626,4052.02918069953,4067.31479018312
BAHRAIN,Q3,d3,2026,4181.78445023669,4104.0968930236,3987.49257733484,3864.56917804501,3688.69255878501,3516.44060635807,3623.46704402323,3804.99425128314,4002.7414777217,4193.28996987005,4313.84200994586,4428.67340134741,4581.77835531144,4642.42073429234,4671.75572248471,4566.38446825125,4353.96926118404,4192.7703532019,4357.22416334689,4328.69779210438,4241.167683209,4214.82876191033,4208.15840187255,4224.03298300402
BAHRAIN,Q3,d3,2027,4342.91328722503,4262.23234144991,4141.13513092203,4013.4753554268,3830.82201310705,3651.93300009179,3763.08328623197,3951.60494003393,4156.97158851418,4354.86212741197,4480.05917256758,4599.31514605041,4758.31940531411,4821.29840305518,4851.76370118743,4742.33237454978,4521.73257172431,4354.32248933181,4525.11288891183,4495.4873646459,4404.58462265199,4377.23083322539,4370.30345674692,4386.78970326331
BAHRAIN,Q3,d3,2028,4510.25059870987,4426.46092575989,4300.6977041243,4168.1190545454,3978.42787443888,3792.64606745967,3908.07909857387,4103.86470277444,4317.14435815871,4522.6598410877,4652.6808685696,4776.53190823527,4941.66277963697,5007.06842867523,5038.70758885488,4925.05975067747,4695.95999045532,4522.0994101481,4699.47055504884,4668.70352616282,4574.29819974094,4545.89043818116,4538.69614213076,4555.81762218419
BAHRAIN,Q3,d3,2029,4684.03560416488,4597.01742130131,4466.40840192574,4328.72134853734,4131.72115487422,3938.78096686214,4058.66176190937,4261.99120465048,4483.48876395454,4696.92298854549,4831.95387179387,4960.57703068725,5132.07057945228,5199.99638137919,5232.85463382524,5114.82781719745,4876.90058670316,4696.34096357431,4880.54641728106,4848.59390032387,4750.55103097436,4721.04868655502,4713.57718622273,4731.35837607262
BAHRAIN,Q3,d3,2030,4862.47351253366,4774.73377276114,4644.30421123859,4504.92858538559,4299.94614641058,4100.36699332128,4225.92095417379,4437.17942296862,4663.47911544045,4873.22037948869,5001.72094863377,5120.48875469091,5274.32436027286,5332.57431079551,5359.72507606106,5255.84220754383,5034.78775879662,4859.79469790296,5036.75274966633,5007.05838361903,4913.66688056305,4887.42222368783,4884.40713045879,4904.99124393049
BAHRAIN,Q3,d3,2031,5049.83006122349,4958.70961104003,4823.254452477,4678.50852770844,4465.62788585183,4258.35872453589,4388.75042007611,4608.14891420843,4843.16818720688,5060.99101699499,5194.44285694445,5317.78691954694,5477.54998325347,5538.04436958912,5566.24128423961,5458.35569248632,5228.78376832601,5047.04802886574,5230.82447249404,5199.98594927574,5102.99596704153,5075.74007415217,5072.60880600517,5093.98604841587
BAHRAIN,Q3,d3,2032,5244.40566750746,5149.77424435572,5009.09984687136,4858.77669955718,4637.69352821875,4422.43805404909,4557.8538876111,4785.70605137111,5029.78088009672,5255.99666740115,5394.59055616277,5522.68720359909,5688.60611702841,5751.4314198019,5780.71479314445,5668.67224874717,5430.25466130955,5241.51644032807,5432.37399609403,5400.34723004788,5299.62011520369,5271.31402224433,5268.06210282972,5290.26303432545
BAHRAIN,Q3,d3,2033,5446.47848975746,5348.20081191794,5202.10607239289,5045.9908059039,4816.38905243878,4592.83954383931,4733.47310108633,4970.10466382991,5223.58396898387,5458.51610385488,5602.45017032666,5735.48252501167,5907.79447994597,5973.04051197747,6003.45220648193,5887.09253740097,5639.48845337594,5443.47793741994,5641.68944850257,5608.428655302,5503.8204119441,5474.4236535302,5471.04643401953,5494.102792263
BAHRAIN,Q3,d3,2034,5656.3374040989,5554.27297729595,5402.54904388253,5240.41848138179,5001.96991528284,4769.80679382058,4915.85911948822,5161.60836128803,5424.85450787682,5668.83884094537,5818.31884815359,5956.47708841384,6135.42841590025,6203.18845059842,6234.77194174249,6113.92880433013,5856.78425771855,5653.22123712025,5859.07005965175,5824.52769084883,5715.88877475007,5685.35932632051,5681.8519787608,5705.79672430236
