country,zone,attribute,resolution,year,RETRADE_P1,baseline
Burundi,Burundi,Generation: GWh,,2030.0,2542.5,2544.1
Somalia,SomaliaROC,Generation: GWh,,2036.0,1205.9,1202.8
Somalia,SomaliaROC,Unmet demand: GWh,,2024.0,123.0,123.0
SouthSudan,SouthSudan,Unmet demand: GWh,,2030.0,0.0,0.0
Somalia,Mogadishu,Unmet demand: GWh,,2024.0,131.0,131.0
Somalia,Mogadishu,Unmet demand: GWh,,2036.0,0.0,
Somalia,Somaliland,Unmet demand: GWh,,2036.0,0.0,0.1
DRC,Drc_E,Unmet demand: GWh,,2024.0,1.9,1.9
Libya,Libya,Unmet demand: GWh,,2024.0,257.5,257.5
Sudan,Sudan,Unmet demand: GWh,,2024.0,291.9,291.9
Somalia,SomaliaROC,Unmet demand: GWh,,2036.0,0.0,
Somalia,Somaliland,Unmet demand: GWh,,2024.0,133.0,133.0
SouthSudan,SouthSudan,Unmet demand: GWh,,2024.0,2179.9,2179.9
Burundi,Burundi,Unmet demand: GWh,,2024.0,31.1,31.1
DRC,,Peak demand: MW,,2036.0,169.1,169.1
Libya,,Peak demand: MW,,2036.0,17748.8,17748.8
Libya,,Peak demand: MW,,2030.0,13294.6,13294.6
Somalia,,Peak demand: MW,,2024.0,67.0,67.0
Libya,,Peak demand: MW,,2024.0,9404.2,9404.2
DRC,,Peak demand: MW,,2024.0,103.1,103.1
DRC,,Peak demand: MW,,2030.0,135.4,135.4
Rwanda,,Peak demand: MW,,2030.0,397.0,397.0
Rwanda,,Peak demand: MW,,2024.0,224.0,224.0
Burundi,,Peak demand: MW,,2036.0,517.4,517.4
Rwanda,,Peak demand: MW,,2036.0,704.0,704.0
SouthSudan,,Peak demand: MW,,2030.0,799.8,799.8
SouthSudan,,Peak demand: MW,,2024.0,551.1,551.1
Djibouti,,Peak demand: MW,,2036.0,354.0,354.0
Kenya,,Peak demand: MW,,2024.0,2268.0,2268.0
Kenya,,Peak demand: MW,,2036.0,4333.0,4333.0
Kenya,,Peak demand: MW,,2030.0,3099.0,3099.0
SouthSudan,,Peak demand: MW,,2036.0,1067.7,1067.7
Sudan,,Peak demand: MW,,2024.0,5141.5,5141.5
Sudan,,Peak demand: MW,,2030.0,7007.7,7007.7
Somalia,,Peak demand: MW,,2030.0,202.0,202.0
Somalia,,Peak demand: MW,,2036.0,811.0,811.0
Uganda,,Peak demand: MW,,2024.0,1025.0,1025.0
Tanzania,,Peak demand: MW,,2030.0,4355.4,4355.4
Tanzania,,Peak demand: MW,,2024.0,2084.8,2084.8
Uganda,,Peak demand: MW,,2030.0,1644.0,1644.0
Tanzania,,Peak demand: MW,,2036.0,8237.4,8237.4
Burundi,,Peak demand: MW,,2030.0,387.5,387.5
Burundi,,Peak demand: MW,,2024.0,185.6,185.6
Egypt,,Peak demand: MW,,2024.0,33650.0,33650.0
Ethiopia,,Peak demand: MW,,2024.0,3275.0,3275.0
Egypt,,Peak demand: MW,,2036.0,49535.0,49535.0
Ethiopia,,Peak demand: MW,,2036.0,10336.0,10336.0
Ethiopia,,Peak demand: MW,,2030.0,6260.0,6260.0
Egypt,,Peak demand: MW,,2030.0,42187.0,42187.0
Sudan,,Peak demand: MW,,2036.0,9551.5,9551.5
Djibouti,,Peak demand: MW,,2030.0,229.8,229.8
Djibouti,,Peak demand: MW,,2024.0,153.2,153.2
Uganda,,Peak demand: MW,,2036.0,2293.0,2293.0
Uganda,,Firm Capacity: MW,,2036.0,2301.2,2206.4
Uganda,,Firm Capacity: MW,,2030.0,1782.6,1741.2
Uganda,,Firm Capacity: MW,,2024.0,1506.0,1506.0
Ethiopia,,Firm Capacity: MW,,2036.0,12420.2,14405.0
Ethiopia,,Firm Capacity: MW,,2030.0,11417.1,11417.2
Ethiopia,,Firm Capacity: MW,,2024.0,3820.0,3820.0
Egypt,,Firm Capacity: MW,,2024.0,49847.5,49847.5
Egypt,,Firm Capacity: MW,,2030.0,49380.6,49380.6
Djibouti,,Firm Capacity: MW,,2030.0,177.6,174.6
Egypt,,Firm Capacity: MW,,2036.0,54488.5,54488.5
Djibouti,,Firm Capacity: MW,,2024.0,114.4,114.4
Djibouti,,Firm Capacity: MW,,2036.0,389.4,219.2
DRC,,Firm Capacity: MW,,2030.0,131.0,102.7
Kenya,,Firm Capacity: MW,,2030.0,3408.9,3408.9
Kenya,,Firm Capacity: MW,,2036.0,3434.2,3170.4
Kenya,,Firm Capacity: MW,,2024.0,2889.8,2889.8
DRC,,Firm Capacity: MW,,2024.0,63.2,63.2
Libya,,Firm Capacity: MW,,2036.0,19523.7,19523.7
Libya,,Firm Capacity: MW,,2030.0,14624.0,14624.0
DRC,,Firm Capacity: MW,,2036.0,132.2,103.2
Burundi,,Firm Capacity: MW,,2030.0,402.8,410.3
Burundi,,Firm Capacity: MW,,2024.0,119.0,119.0
Burundi,,Firm Capacity: MW,,2036.0,512.8,995.0
Libya,,Firm Capacity: MW,,2024.0,8389.0,8389.0
Somalia,,Firm Capacity: MW,,2036.0,892.1,892.1
Somalia,,Firm Capacity: MW,,2030.0,222.2,222.2
SouthSudan,,Firm Capacity: MW,,2024.0,91.0,91.0
SouthSudan,,Firm Capacity: MW,,2036.0,1174.5,936.3
SouthSudan,,Firm Capacity: MW,,2030.0,809.0,808.8
Rwanda,,Firm Capacity: MW,,2024.0,311.6,311.6
Rwanda,,Firm Capacity: MW,,2030.0,374.2,374.1
Rwanda,,Firm Capacity: MW,,2036.0,632.7,487.9
Tanzania,,Firm Capacity: MW,,2036.0,9061.1,9061.1
Tanzania,,Firm Capacity: MW,,2024.0,2122.4,2122.4
Sudan,,Firm Capacity: MW,,2030.0,6981.5,6981.5
Sudan,,Firm Capacity: MW,,2024.0,3555.0,3555.0
Sudan,,Firm Capacity: MW,,2036.0,10225.7,8141.1
Tanzania,,Firm Capacity: MW,,2030.0,5786.1,5763.3
Kenya,,Planning Reserve: MW,,2036.0,0.8,0.7
Kenya,,Planning Reserve: MW,,2024.0,1.3,1.3
Burundi,,Planning Reserve: MW,,2036.0,1.0,1.9
Libya,,Planning Reserve: MW,,2030.0,1.1,1.1
Burundi,,Planning Reserve: MW,,2030.0,1.0,1.1
Burundi,,Planning Reserve: MW,,2024.0,0.6,0.6
Libya,,Planning Reserve: MW,,2024.0,0.9,0.9
DRC,,Planning Reserve: MW,,2024.0,0.6,0.6
DRC,,Planning Reserve: MW,,2030.0,1.0,0.8
Libya,,Planning Reserve: MW,,2036.0,1.1,1.1
SouthSudan,,Planning Reserve: MW,,2030.0,1.0,1.0
Somalia,,Planning Reserve: MW,,2030.0,1.1,1.1
Kenya,,Planning Reserve: MW,,2030.0,1.1,1.1
DRC,,Planning Reserve: MW,,2036.0,0.8,0.6
Djibouti,,Planning Reserve: MW,,2030.0,0.8,0.8
Djibouti,,Planning Reserve: MW,,2024.0,0.7,0.7
Ethiopia,,Planning Reserve: MW,,2036.0,1.2,1.4
Djibouti,,Planning Reserve: MW,,2036.0,1.1,0.6
Egypt,,Planning Reserve: MW,,2024.0,1.5,1.5
Ethiopia,,Planning Reserve: MW,,2030.0,1.8,1.8
Egypt,,Planning Reserve: MW,,2030.0,1.2,1.2
Ethiopia,,Planning Reserve: MW,,2024.0,1.2,1.2
Egypt,,Planning Reserve: MW,,2036.0,1.1,1.1
Tanzania,,Planning Reserve: MW,,2024.0,1.0,1.0
Tanzania,,Planning Reserve: MW,,2030.0,1.3,1.3
Tanzania,,Planning Reserve: MW,,2036.0,1.1,1.1
Uganda,,Planning Reserve: MW,,2036.0,1.0,1.0
Uganda,,Planning Reserve: MW,,2024.0,1.5,1.5
Uganda,,Planning Reserve: MW,,2030.0,1.1,1.1
Sudan,,Planning Reserve: MW,,2036.0,1.1,0.9
SouthSudan,,Planning Reserve: MW,,2024.0,0.2,0.2
Somalia,,Planning Reserve: MW,,2036.0,1.1,1.1
Rwanda,,Planning Reserve: MW,,2024.0,1.4,1.4
Rwanda,,Planning Reserve: MW,,2030.0,0.9,0.9
Rwanda,,Planning Reserve: MW,,2036.0,0.9,0.7
SouthSudan,,Planning Reserve: MW,,2036.0,1.1,0.9
Sudan,,Planning Reserve: MW,,2024.0,0.7,0.7
Sudan,,Planning Reserve: MW,,2030.0,1.0,1.0
Libya,Libya,Spinning Reserve: GWh,,2030.0,8067.5,8067.4
Djibouti,Djibouti,Spinning Reserve: GWh,,2036.0,179.3,117.9
Tanzania,Tanzania,Spinning Reserve: GWh,,2030.0,2892.0,2982.9
DRC,Drc_E,Spinning Reserve: GWh,,2036.0,262.9,262.8
Rwanda,Rwanda,Spinning Reserve: GWh,,2024.0,617.1,616.9
Rwanda,Rwanda,Spinning Reserve: GWh,,2030.0,617.2,616.9
Somalia,Somaliland,Spinning Reserve: GWh,,2036.0,209.2,215.4
Burundi,Burundi,Spinning Reserve: GWh,,2036.0,177.9,177.7
Rwanda,Rwanda,Spinning Reserve: GWh,,2036.0,617.1,616.8
Burundi,Burundi,Spinning Reserve: GWh,,2024.0,173.5,173.5
Uganda,Uganda,Spinning Reserve: GWh,,2030.0,458.2,457.7
Uganda,Uganda,Spinning Reserve: GWh,,2036.0,458.2,457.8
DRC,Drc_E,Spinning Reserve: GWh,,2024.0,234.1,234.1
Libya,Libya,Spinning Reserve: GWh,,2036.0,8067.5,8067.4
Sudan,Sudan,Spinning Reserve: GWh,,2030.0,6192.7,6192.6
Libya,Libya,Spinning Reserve: GWh,,2024.0,7505.1,7505.1
Somalia,Mogadishu,Spinning Reserve: GWh,,2036.0,31.8,3.0
SouthSudan,SouthSudan,Spinning Reserve: GWh,,2036.0,111.3,111.2
SouthSudan,SouthSudan,Spinning Reserve: GWh,,2030.0,110.9,110.8
SouthSudan,SouthSudan,Spinning Reserve: GWh,,2024.0,105.2,105.2
Ethiopia,Ethiopia,Spinning Reserve: GWh,,2030.0,3679.6,3679.3
Egypt,Egypt,Spinning Reserve: GWh,,2036.0,7093.6,7093.2
Egypt,Egypt,Spinning Reserve: GWh,,2030.0,7093.7,7093.2
Uganda,Uganda,Spinning Reserve: GWh,,2024.0,454.8,454.6
Djibouti,Djibouti,Spinning Reserve: GWh,,2024.0,117.6,117.5
Djibouti,Djibouti,Spinning Reserve: GWh,,2030.0,120.0,120.1
Tanzania,Tanzania,Spinning Reserve: GWh,,2024.0,2891.1,2890.9
Tanzania,Tanzania,Spinning Reserve: GWh,,2036.0,2892.0,2982.9
DRC,Drc_E,Spinning Reserve: GWh,,2030.0,262.9,262.8
Sudan,Sudan,Spinning Reserve: GWh,,2024.0,4530.3,4530.2
Somalia,Mogadishu,Spinning Reserve: GWh,,2030.0,3.2,2.8
Sudan,Sudan,Spinning Reserve: GWh,,2036.0,6301.0,6307.2
Burundi,Burundi,Spinning Reserve: GWh,,2030.0,177.8,177.7
Somalia,Somaliland,Spinning Reserve: GWh,,2030.0,191.2,191.9
Somalia,SomaliaROC,Spinning Reserve: GWh,,2030.0,3.2,2.8
Somalia,SomaliaROC,Spinning Reserve: GWh,,2036.0,24.2,3.1
Ethiopia,Ethiopia,Spinning Reserve: GWh,,2024.0,3913.3,3913.1
Kenya,Kenya,Spinning Reserve: GWh,,2036.0,1830.8,1830.4
Kenya,Kenya,Spinning Reserve: GWh,,2024.0,1830.6,1830.4
Ethiopia,Ethiopia,Spinning Reserve: GWh,,2036.0,3991.0,3990.7
Egypt,Egypt,Spinning Reserve: GWh,,2024.0,7093.8,7093.3
Kenya,Kenya,Spinning Reserve: GWh,,2030.0,1830.8,1830.4
,,Average Cost: $/MWh,,2024.0,40.9,40.9
,,Average Cost: $/MWh,,2030.0,38.0,38.0
,,Average Cost: $/MWh,,2036.0,37.5,35.7
Burundi,,Capex: $m,,2024.0,0.0,0.0
Burundi,,Capex: $m,,2030.0,194.0,199.1
DRC,,Capex: $m,,2036.0,0.1,0.1
Kenya,,Capex: $m,,2024.0,0.0,0.0
Kenya,,Capex: $m,,2030.0,33.3,33.3
Kenya,,Capex: $m,,2036.0,27.0,26.9
Egypt,,Capex: $m,,2030.0,0.0,0.0
Somalia,,Capex: $m,,2030.0,111.4,111.4
SouthSudan,,Capex: $m,,2024.0,0.0,0.0
SouthSudan,,Capex: $m,,2030.0,111.6,111.4
Somalia,,Capex: $m,,2036.0,437.4,354.9
Rwanda,,Capex: $m,,2024.0,0.0,0.0
Rwanda,,Capex: $m,,2036.0,0.2,0.1
Tanzania,,Capex: $m,,2030.0,1.2,182.0
Tanzania,,Capex: $m,,2024.0,0.0,0.0
Tanzania,,Capex: $m,,2036.0,451.5,216.5
Uganda,,Capex: $m,,2024.0,0.0,0.0
Uganda,,Capex: $m,,2036.0,0.1,0.1
Uganda,,Capex: $m,,2030.0,6.6,6.5
Sudan,,Capex: $m,,2024.0,0.0,0.0
Sudan,,Capex: $m,,2036.0,180.8,23.0
Sudan,,Capex: $m,,2030.0,419.3,419.3
Ethiopia,,Capex: $m,,2030.0,922.5,922.5
Djibouti,,Capex: $m,,2036.0,259.9,46.5
Libya,,Capex: $m,,2030.0,3527.0,3527.0
Djibouti,,Capex: $m,,2030.0,99.7,99.2
Djibouti,,Capex: $m,,2024.0,0.0,0.0
Egypt,,Capex: $m,,2024.0,0.0,0.0
Ethiopia,,Capex: $m,,2024.0,0.0,0.0
