,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m2,d7,0.226094386,0.227329874,0.22238792,0.226094386,0.223623409,0.223623409,0.22238792,0.226094386,0.129726287,0,0,0,0,0,0,0,0,0,0.226094386,0.224858897,0.228565363,0.228565363,0.227329874,0.226094386
Liberia,HydroMC,m2,d8,0.224858897,0.224858897,0.227329874,0.223623409,0.226094386,0.226094386,0.227329874,0.227329874,0.158142521,0,0,0,0,0,0,0,0,0.227329874,0.228565363,0.227329874,0.226094386,0.229800851,0.229800851,0.227329874
Liberia,HydroMC,m2,d9,0.22238792,0.224858897,0.228565363,0.228565363,0.223623409,0.227329874,0.223623409,0.227329874,0.223623409,0.07165833,0,0,0,0,0,0,0,0,0.228565363,0.229800851,0.228565363,0.226094386,0.224858897,0.228565363
Liberia,HydroMC,m2,d10,0.228565363,0.228565363,0.228565363,0.224858897,0.224858897,0.226094386,0.227329874,0.226094386,0.223623409,0,0,0,0,0,0,0,0,0,0.229800851,0.226094386,0.228565363,0.224858897,0.228565363,0.226094386
Liberia,HydroMC,m2,d11,0.227329874,0.227329874,0.223623409,0.227329874,0.228565363,0.223623409,0.227329874,0.227329874,0.226094386,0,0,0,0,0,0,0,0,0,0.229800851,0.228565363,0.227329874,0.223623409,0.227329874,0.227329874
Liberia,HydroMC,m2,d12,0.226094386,0.22238792,0.22238792,0.224858897,0.22238792,0.22238792,0.226094386,0.226094386,0.224858897,0,0,0,0,0,0,0,0,0.09513261,0.227329874,0.224858897,0.226094386,0.227329874,0.227329874,0.227329874
Liberia,HydroMC,m2,d13,0.224858897,0.224858897,0.223623409,0.223623409,0.223623409,0.22238792,0.226094386,0.226094386,0.224858897,0,0,0,0,0,0,0,0,0.226094386,0.224858897,0.223623409,0.227329874,0.224858897,0.22238792,0.191500709
Liberia,HydroMC,m2,d14,0,0,0,0,0,0.226094386,0.224858897,0.224858897,0.228565363,0.224858897,0,0,0.137139218,0.360762626,0.224858897,0.223623409,0.228565363,0.223623409,0.223623409,0.227329874,0.224858897,0.22238792,0.22238792,0.211268524
Liberia,HydroMC,m2,d15,0,0,0,0,0,0.227329874,0.224858897,0.224858897,0.223623409,0.228565363,0.223623409,0.227329874,0.223623409,0.227329874,0.223623409,0.227329874,0.224858897,0.227329874,0.226094386,0.22238792,0.226094386,0.224858897,0.223623409,0.223623409
Liberia,HydroMC,m2,d16,0,0,0,0,0,0.231036339,0.226094386,0.223623409,0.228565363,0.224858897,0.228565363,0.223623409,0.228565363,0.228565363,0.224488251,0.230047949,0.227824069,0.229059558,0.229430204,0.230047949,0.226217934,0.229800851,0.225229544,0.22560019
