z,y,tech,f,value,techfuel
Kenya,2026,CSPPlant,CSP,0.0,CSP
Kenya,2026,OffshoreWind,Wind,0.0,Offshore Wind
Kenya,2026,OnshoreWind,Wind,0.0,Onshore Wind
Kenya,2026,PV,Solar,0.0,PV
Kenya,2026,pvwsto,Solar,0.0,PV+Storage
Kenya,2026,STOPV,Solar,0.0,Solar Thermal
Kenya,2026,Storage,Battery,0.0,Battery
Kenya,2026,Storage,Water,0.0,PSH
Kenya,2026,Storage,Pumped,0.0,PSH
Kenya,2026,ImportTransmission,Import,0.0,Imports
Kenya,2026,ST,Peat,0.0,Peat
Kenya,2026,ST,Waste,0.0,Waste
Kenya,2026,Methane,Methane,0.0,Methane
Kenya,2026,CSPPlant,Solar,0.0,Solar
Kenya,2026,RPV,Solar,98.0,Solar
Libya,2026,Nuclear,Uranium,0.0,Nuclear
Libya,2026,CCGT,Gas,0.0,Gas
Libya,2026,CCGT,LNG,0.0,Gas
Libya,2026,ICE,Gas,0.0,Gas
Libya,2026,OCGT,Gas,0.0,Gas
Libya,2026,OCGT,LNG,0.0,Gas
Libya,2026,ST,Gas,0.0,Gas
Libya,2026,CCGT_CCS,Gas,0.0,Gas
Libya,2026,OCGT_CCS,Gas,0.0,Gas
Libya,2026,ST,Coal,0.0,Coal
Libya,2026,ST,DomesticCoal,0.0,Coal
Libya,2026,ST,ImportedCoal,0.0,Coal
Libya,2026,ST,Lignite,0.0,Coal
Libya,2026,ST,Geothermal,0.0,Geothermal
Libya,2026,Geothermal,Geothermal,0.0,Geothermal
Libya,2026,CCGT,LFO,0.0,Diesel
Libya,2026,ICE,Diesel,0.0,Diesel
Libya,2026,ICE,HFO,0.0,Diesel
Libya,2026,OCGT,LFO,0.0,Diesel
Libya,2026,OCGT,Diesel,0.0,Diesel
Libya,2026,OCGT,HFO,0.0,Diesel
Libya,2026,ST,HFO,0.0,Diesel
Libya,2026,BiomassPlant,Biomass,0.0,Biomass
Libya,2026,ST,Biomass,0.0,Biomass
Libya,2026,ReservoirHydro,Water,0.0,Reservoir
Libya,2026,ROR,Water,0.0,ROR
Libya,2026,CSPPlant,CSP,0.0,CSP
Libya,2026,OffshoreWind,Wind,0.0,Offshore Wind
Libya,2026,OnshoreWind,Wind,28.0,Onshore Wind
Libya,2026,PV,Solar,15.0,PV
Libya,2026,pvwsto,Solar,0.0,PV+Storage
Libya,2026,STOPV,Solar,0.0,Solar Thermal
Libya,2026,Storage,Battery,0.0,Battery
Libya,2026,Storage,Water,0.0,PSH
Libya,2026,Storage,Pumped,0.0,PSH
Libya,2026,ImportTransmission,Import,0.0,Imports
Libya,2026,ST,Peat,0.0,Peat
