gen,zone,tech,fuel,StYr,RetrYr,Capacity,UnitSize,Status,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life
Wind_Ex_ME,Montenegro,OnshoreWind,Wind,2018,2044,118,,1,,,,,,,,,,,0,28180,,0,
Wind_Com_ME,Montenegro,OnshoreWind,Wind,2025,2060,0,,2,,,,5000,,,,,,,1.26,38000,,0,30
Wind_New_ME,Montenegro,OnshoreWind,Wind,2026,2060,200,,3,,,,4000,,,,,,,1.26,38000,,0,30
PV_Ex_ME,Montenegro,PV,Solar,2020,2044,,,1,,,,,,,,,,,0,10000,,0,
PV_Com_ME,Montenegro,PV,Solar,2030,2060,,,2,,,,5000,,,,,,,0.9,10000,,0,25
PV_New_ME,Montenegro,PV,Solar,2026,2060,,,3,,,,4400,,,,,,,0.9,10000,,0,25
TPP_Bitola,N_Macedonia,ST,Coal,1982,2041,,,1,,,,,,10.7,0.6,0.6,0,,0,34800,6,0,
TPP_Oslomej,N_Macedonia,ST,Coal,1980,2028,,,1,,,,,,10.7,0.6,0.6,0,,0,34800,6,0,
TPP_Negotino,N_Macedonia,ST,Diesel,2020,2051,,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
Coal_SubNew_NM,N_Macedonia,ST,Coal,2026,2051,,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_NM,N_Macedonia,ST,Coal,2026,2051,,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_NM,N_Macedonia,ST,Coal,2028,2061,,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_NM,N_Macedonia,ST,Coal,2045,2080,,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
Biomass_Exist_NM,N_Macedonia,BiomassPlant,Biomass,2020,2060,,,1,,,,10000,,9.75,1,1,0,,0,77500,3.5,0,40
Biomass_New_NM,N_Macedonia,BiomassPlant,Biomass,2026,2060,,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_NM,N_Macedonia,BiomassPlant,Coal,2045,2080,,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
TE_TO_CCPP_Skopje,N_Macedonia,CCGT,Gas,2020,2060,,,1,,,,10000,,8.5,1,1,0,,0,135000,3.5,0,40
TE_TO_CCPP_ESM,N_Macedonia,CCGT,Gas,2020,2060,,,1,,,,10000,,8.5,1,1,0,,0,135000,3.5,0,40
CCGT_New_NM,N_Macedonia,CCGT,Gas,2026,2060,,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_NM,N_Macedonia,OCGT,Gas,2026,2060,,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_NM,N_Macedonia,CCGT,Gas,2045,2080,,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_NM,N_Macedonia,CCGT,Gas,2026,2060,,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
RoR_Ex_NM,N_Macedonia,ROR,Water,1960,2051,,,1,,,,120,,,1,1,0,,0,15000,,0,
RoR_Com_NM,N_Macedonia,ROR,Water,2030,2051,,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
RoR_New_NM,N_Macedonia,ROR,Water,2026,2051,,,3,,,,320,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_NM,N_Macedonia,ReservoirHydro,Pumped,1955,2051,,,1,,,,1465,,,1,1,0,,0,15000,,0,
HySto_Com_NM,N_Macedonia,ReservoirHydro,Pumped,2035,2051,,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
HySto_New_NM,N_Macedonia,ReservoirHydro,Pumped,2026,2051,,,3,,,,800,,,1,1,0,,2.65,60000,,0,30
Wind_Ex_NM,N_Macedonia,OnshoreWind,Wind,2018,2044,,,1,,,,135,,,,,,,0,28180,,0,
Wind_Com_NM,N_Macedonia,OnshoreWind,Wind,2025,2060,,,2,,,,5000,,,,,,,1.26,38000,,0,30
Wind_New_NM,N_Macedonia,OnshoreWind,Wind,2025,2060,,,3,,,,4000,,,,,,,1.26,38000,,0,30
PV_Ex_NM,N_Macedonia,PV,Solar,2020,2044,,,1,,,,,,,,,,,0,10000,,0,
PV_Com_NM,N_Macedonia,PV,Solar,2025,2060,,,2,,,,0,,,,,,,0.9,10000,,0,25
PV_New_NM,N_Macedonia,PV,Solar,2025,2060,,,3,,,,10000,,,,,,,0.9,10000,,0,25
PHP__Cebren,N_Macedonia,Storage,Pumped,2030,2060,,,2,,,,1000,,,1,1,0,,1.23,35872,,0,40
DummyGenImports,Serbia,ImportTransmission,Import,2050,2061,,,3,,,,0,,,,,,,999.9,9999999,999,,5
CHP_Kos,Serbia,CHP,Coal,2030,2051,,,2,,,,5000,,8,0.7,0.7,,,2,34800,4,,40
BESS2027_Mon,Montenegro,Storage,Battery,2030,2050,,,2,,,,5000,,,1,1,0,,0.57,14000,,0,20
PHP__Serbia,Serbia,Storage,Pumped,2030,2060,,,2,,,,1000,,,1,1,0,,1.23,35872,,0,40
BESS2028_Ser,Serbia,Storage,Battery,2030,2050,,,2,,,,5000,,,1,1,0,,0.57,14000,,0,20
Wind_NewH_AL,Albania,OnshoreWind,Wind,2026,2060,,,3,,,,3500,,,,,,,1.26,38000,,0,30
Wind_NewL_AL,Albania,OnshoreWind,Wind,2026,2060,,,3,,,,2000,,,,,,,1.26,38000,,0,30
Wind_NewH_BiH,BiH,OnshoreWind,Wind,2026,2060,,,3,,,,2200,,,,,,,1.26,38000,,0,30
Wind_NewL_BiH,BiH,OnshoreWind,Wind,2026,2060,,,3,,,,2900,,,,,,,1.26,38000,,0,30
Wind_NewH_NM,N_Macedonia,OnshoreWind,Wind,2026,2060,,,3,,,,400,,,,,,,1.26,38000,,0,30
Wind_NewL_NM,N_Macedonia,OnshoreWind,Wind,2026,2060,,,3,,,,2000,,,,,,,1.26,38000,,0,30
Wind_NewH_ME,Montenegro,OnshoreWind,Wind,2026,2060,,,3,,,,200,,,,,,,1.26,38000,,0,30
Wind_NewL_ME,Montenegro,OnshoreWind,Wind,2026,2060,,,3,,,,1000,,,,,,,1.26,38000,,0,30
Wind_NewH_Ser,Serbia,OnshoreWind,Wind,2025,2060,,,3,,,,1400,,,,,,,1.26,38000,,0,30
Wind_NewL_Ser,Serbia,OnshoreWind,Wind,2025,2060,,,3,,,,13800,,,,,,,1.26,38000,,0,30
Wind_NewH_Kos,Kosovo,OnshoreWind,Wind,2026,2060,,,3,,,,800,,,,,,,1.7,38000,,0,30
Wind_NewL_Kos,Kosovo,OnshoreWind,Wind,2026,2060,,,3,,,,700,,,,,,,1.7,38000,,0,30
PV_NewH_Alb,Albania,PV,Solar,2026,2060,,,3,,,,3400,,,,,,,0.9,10000,,0,25
PV_NewL_Alb,Albania,PV,Solar,2026,2060,,,3,,,,800,,,,,,,0.9,10000,,0,25
PV_NewH_RS,Serbia,PV,Solar,2025,2060,,,3,,,,1100,,,,,,,0.9,10000,,0,25
PV_NewL_BiH,BiH,PV,Solar,2026,2060,,,3,,,,5200,,,,,,,0.9,10000,,0,25
