zone,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
N_Macedonia,ROR,m1,d5,0,0,0,0,0,0,0.15,0.44,0.61,0.7,0.73,0.71,0.61,0.45,0.18,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d6,0,0,0,0,0,0,0.12,0.27,0.37,0.38,0.39,0.37,0.29,0.19,0.08,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d7,0,0,0,0,0,0,0.06,0.18,0.26,0.26,0.24,0.22,0.17,0.11,0.04,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d1,0,0,0,0,0,0,0.12,0.35,0.48,0.5,0.5,0.46,0.36,0.17,0.05,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d2,0,0,0,0,0,0,0.23,0.47,0.63,0.71,0.74,0.69,0.48,0.22,0.08,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d3,0,0,0,0,0,0,0,0.01,0.03,0.05,0.06,0.05,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d4,0,0,0,0,0,0,0.07,0.25,0.45,0.6,0.49,0.48,0.45,0.36,0.18,0.03,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d5,0,0,0,0,0,0,0.03,0.06,0.1,0.12,0.15,0.16,0.16,0.11,0.05,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d6,0,0,0,0,0,0.02,0.29,0.5,0.65,0.73,0.76,0.73,0.66,0.52,0.31,0.07,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m2,d7,0,0,0,0,0,0.02,0.28,0.5,0.65,0.73,0.76,0.74,0.65,0.49,0.26,0.04,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d1,0,0,0,0,0,0,0.05,0.2,0.55,0.69,0.7,0.62,0.5,0.36,0.21,0.06,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d2,0,0,0,0,0,0.02,0.04,0.07,0.11,0.16,0.24,0.31,0.25,0.16,0.11,0.06,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d3,0,0,0,0,0,0.01,0.04,0.07,0.11,0.21,0.35,0.38,0.16,0.08,0.04,0.01,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d4,0,0,0,0,0,0.05,0.13,0.33,0.5,0.62,0.7,0.61,0.48,0.35,0.24,0.12,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d5,0,0,0,0,0,0.09,0.27,0.45,0.62,0.73,0.75,0.73,0.66,0.54,0.37,0.16,0.01,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d6,0,0,0,0,0,0.13,0.35,0.54,0.68,0.76,0.78,0.76,0.69,0.57,0.39,0.17,0.01,0,0,0,0,0,0,0
N_Macedonia,ROR,m3,d7,0,0,0,0,0,0.15,0.37,0.55,0.67,0.71,0.68,0.62,0.55,0.48,0.32,0.15,0.01,0,0,0,0,0,0,0
