z,tech,fuel,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
SIBC,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBC,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBC,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
SIBC,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
SIBC,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBC,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBC,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBC,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBC,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBC,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBC,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBC,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
SIBC,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
SIBCS,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
SIBCS,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBCS,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBCS,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBCS,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
SIBCS,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBCS,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBCS,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBCS,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBCS,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBCS,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
SIBCS,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
SIBCS,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBCS,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBCS,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
SIBCS,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBCS,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBCS,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBCS,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBCS,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBCS,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
SIBCS,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
