g,dry,wet
Kokumno,0.25,0.7
KOMPIENGA,0.1,0.1
KOMSILGA,0.85,0.85
Korafindi,0.415,0.467
KORHOGO_IPP,1,1
KOSSODO1,0.85,0.85
KOSSODO2,0.85,0.85
Kossou,0.115,0.081
Koukoutamba,0.188,0.157
Koukoutamba + Boureya,0.31,0.57
Kounoune_IPP,0.85,0.85
Kouravel,0.217,0.458
Kpessi,0.182,0.298
Kpong,0.48,0.52
KTPP1_IPP,0.85,0.85
Kulpawn,0.169,0.169
Lawra,1,1
Loc. AKSA Sirakoro - 30 MW,0.85,0.85
Loc. BDK Kati,0.85,0.85
Lome1,0.85,0.85
Lome2,0.85,0.85
Louga 1,0.23,0.7
Louga 2,0.23,0.7
Mabon,0.195,0.297
MALBAZA,0.85,0.85
Malicounda - Dual,0.87,0.87
Malicounda_IPP_HFO,0.87,0.87
Mambila,0.43,0.43
MANANTALI_mali,0.45,0.45
Manantali_MAU,0.31,0.57
MANANTALI_Sen,0.375,0.531
MARADI,0.85,0.85
MariaGleta,0.85,0.85
MariaGleta2_IPP,0.85,0.85
MariaGleta3,0.85,0.85
Mboro_IPP_AESA,1,1
Mboro_IPP_AESA - Ext,1,1
Meinenergy_IPP,1,1
Morisanako,0.334,0.347
MountCoffeeReservoir,0.4,0.72
MTCoffee_ext,0.4,0.72
Nagreongo,1,1
Nangbeto,0.22,0.28
Natitingou,0.85,0.85
Navrongo,1,1
N'dieliesso,0.25,0.7
New_HFO,0.85,0.85
Niagara,0.178,0.155
NIAMEY,0.85,0.85
NIOFILA,0.095,0.364
Nouadhibou_New_Plant,0.85,0.85
Nouakchott_Dual_Power,0.85,0.85
Nouakchott_Est_Solar,1,1
Nouakchott_Wharf_Plant,0.85,0.85
Nouakchott_Wind_Plant,1,1
Nouakchott_Zayed_Solar,1,1
Nzebela,0.388,0.426
OFSHORE_WIND_GHA,0.85,1
OFSHORE_WIND_COT,0.85,1
OFSHORE_WIND_GAM,0.85,1
OFSHORE_WIND_GBI,0.85,1
OFSHORE_WIND_LIB,0.85,1
OFSHORE_WIND_MAU,0.85,1
OFSHORE_WIND_NGA,0.85,1
OFSHORE_WIND_SIL,0.85,1
OFSHORE_WIND_TOG,0.85,1
OKPAI TTP,0.85,0.85
Olorunsogo I TPP,0.85,0.85
Olorunsogo NIPP,0.85,0.85
Omoku TPP,0.85,0.85
OMOTOSHO TTP,0.85,0.85
ONSHORE_WIND_BEN,1,1
ONSHORE_WIND_GHA,1,1
Ouaga NO,1,1
OUAGAI,0.85,0.85
OUAGAII,0.85,0.85
Ouaga-NordOuest,0.85,0.85
OUAHIGOUYA,0.85,0.85
Ouessa,0.155,0.231
Oulougbe,0.348,0.489
Pa_PV,1,1
Parakou1,0.85,0.85
POROPOWER_IPP,1,1
Porto-Novo,0.85,0.85
Poudalde,0.323,0.558
Powership1_IPP,0.85,0.85
Powership2_IPP,0.85,0.85
Projet BESS 2030,1,1
Projets types de 100 MW,0.85,0.85
Projets types de 40 MW,0.85,0.85
PV_Akuo,1,1
PV_CAND_Benin,1,1
PV_CAND_Burkina,1,1
PV_CAND_Gambia,1,1
PV_CAND_Ghana,1,1
PV_CAND_Guinea,1,1
PV_CAND_GuineaBissau,1,1
PV_CAND_IvoryCoast,1,1
PV_CAND_Liberia,1,1
PV_CAND_Mali,1,1
PV_CAND_Mauritania_grid,1,1
PV_CAND_Niger,1,1
PV_CAND_Nigeria,1,1
PV_CAND_SierraLeone,1,1
PV_CAND_Togo,1,1
Pwalugu,0.44,0.44
Rehab Arafat 4 gr,0.85,0.85
Rehab Wharf,0.85,0.85
RemainingNigerCapacity,0.85,0.85
Reserve Akjoujt,0.85,0.85
Respite_PV,1,1
Respite_PV_SR,1,1
RIVERS IPP TTP,0.85,0.85
SALKADAMNAphase1,0.85,0.85
SALKADAMNAphase2,0.85,0.85
SALKADAMNAphase3,0.85,0.85
Saltinho,0.03,0.49
Sambangalou_SEN_IPP,0.341,0.483
Samendini,0.22,0.22
SanPedroI1,0.85,0.85
SanPedroI2,0.85,0.85
Sapele TPP,0.85,0.85
Sarakawa,0.181,0.297
SELINGUE,0.14,0.5
Sendou1,0.92,0.92
SES Darsalam - 10 MW,0.85,0.85
SES(Lafia_Badala),0.85,0.85
SHIRORO_North,0.32,0.7
Singrobo,0.239,0.623
SNIM Zouerate,0.85,0.85
Sokode,0.85,0.85
Sokode PV,1,1
Solaire IPP 1,1,1
Solaire IPP 2,1,1
Solaire IPP 3,1,1
Solaire IPP 4,1,1
Solaire SNIM (15 MWc),1,1
Solaire_Pobe,1,1
Solaire_Pobe_ext,1,1
Solar Kiffa 50 MWc,1,1
Solar Nema 50 MWc,1,1
Solar Yekepa / Buchanan,1,1
SOLEN_GloDjigb,1,1
Songon1,0.85,0.85
Songon2,0.85,0.85
Songon3,0.85,0.85
SONICHAR Phase I,0.85,0.85
SONICHAR Phase II,0.85,0.85
SONICHAR2,0.85,0.85
Sotuba,0.596,0.421
Souapiti,0.484,0.54
Soubre,0.405,0.565
SP2_150,0.42,0.79
SP2_161,0.42,0.83
Storage_CAND_2026_Senegal,1,1
Storage_CAND_2027_Benin,1,1
Storage_CAND_2027_Burkina,1,1
Storage_CAND_2027_Gambia,1,1
Storage_CAND_2027_Ghana,1,1
Storage_CAND_2027_Guinea,1,1
Storage_CAND_2027_GuineaBissau,1,1
Storage_CAND_2027_IvoryCoast,1,1
Storage_CAND_2027_Liberia,1,1
Storage_CAND_2027_Mali,1,1
Storage_CAND_2027_Mauritania_grid,1,1
Storage_CAND_2027_Niger,1,1
Storage_CAND_2027_Nigeria,1,1
Storage_CAND_2027_SierraLeone,1,1
Storage_CAND_2027_Togo,1,1
Storage_Pobe,1,1
Sunbird Bioenergy,0.85,0.85
SUNSONASOGLI_IPP,0.85,0.85
SUNSONASOGLI2_IPP,0.85,0.85
Taabo,0.202,0.548
TAHOUA1,0.85,0.85
TAHOUA2,0.85,0.85
TAPCO_IPP,0.85,0.85
TAPCO_T3,0.85,0.85
Tayaboui,0.177,0.684
Te_IPP,0.85,0.85
Tetetou,0.3,0.37
Tiassale,0.148,0.594
Tiboto/Cavally,0.21,0.661
TICO,0.85,0.85
Tiopo,0.585,0.366
Titira,0.12,0.3
Tobene - Dual,0.976,0.976
Tobene_IPP,0.976,0.976
TOURNI,0.03,0.15
TRANSAMADI,0.85,0.85
TT1PP,0.85,0.85
TT2PP,0.85,0.85
Vossa,0.348,0.489
Vridi,0.85,0.85
Water_Kaleta_viaGuinea,0.46,0.46
Water_Koukoutamba,0.29,0.29
Water_Souapiti_viaGuinea,0.51,0.51
Wawa,0.185,0.303
Wind 120 MW,1,1
WIND_CAND_BUR,1,1
WIND_CAND_COT,1,1
WIND_CAND_GAM,1,1
WIND_CAND_GBI,1,1
WIND_CAND_MAL,1,1
WIND_CAND_MAU,1,1
WIND_CAND_NGA,1,1
WIND_CAND_NGR,1,1
WIND_CAND_TOG,1,1
Winneba (BXC solar)_IPP,1,1
WND_CAND_22_SIL,1,1
Yeripao,0.469,0.522
Zagtouli,1,1
Zano,1,1
Ziga,1,1
Ziga/Gaoua,1,1
Zina Solaire,1,1
ZINDER,0.85,0.85
