g,z,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,UnitSize
BUMBUNA-I_HY,SierraLeone,ReservoirHydro,Water,1,2010,2060,50,,,,50,50,,1,1,,0.2,,20844.5942,,50
BEKONGOR-III_HY,SierraLeone,ReservoirHydro,Water,3,2025,2075,160,,,,160,50,,1,1,,0.15,4.06,44660,,160
BUMBUNA-II_HY,SierraLeone,ReservoirHydro,Water,3,2025,2077,143,,,,143,50,,1,1,,0.2,4,44000,,143
Nangbeto,Togo,ReservoirHydro,Water,1,1990,2060,65.6,,,,65.6,,,1,1,,0.08,,17800.61479,,65.6
Sarakawa,Togo,ReservoirHydro,Water,2,2027,2072,24.2,,,,24.2,50,,1,1,,0.15,3.099173554,34090.90909,,24.2
Adjarala,Togo,ReservoirHydro,Water,3,2050,2096,147,,,,147,50,,1,1,,0.1,2.8,42000,,147
Baghan,Togo,ReservoirHydro,Water,3,2050,2072,5.8,,,,5.8,50,,1,1,,0.15,4,44000,,5.8
Kpessi,Togo,ReservoirHydro,Water,3,2050,2072,15.9,,,,15.9,50,,1,1,,0.15,4,44000,,15.9
T\xe9t\xe9tou,Togo,ReservoirHydro,Water,3,2050,2072,60,,,,60,50,,1,1,,0.1,3.283333,42683.329,,60
Titira,Togo,ReservoirHydro,Water,3,2050,2072,23.8,,,,23.8,50,,1,1,,0.15,2.772,41580,,23.8
Wawa,Togo,ReservoirHydro,Water,3,2050,2072,8.4,,,,8.4,50,,1,1,,0.15,3.214285714,35357.14286,,8.4
JEBBA_North,Nigeria,ReservoirHydro,Water,1,1985,2060,404.4,,,,404.4,,,1,1,,0.2,,19810.05858,,404.4
KAINJI_North,Nigeria,ReservoirHydro,Water,1,1968,2060,582,,,,582,,,1,1,,0.15,,18762.04652,,582
SHIRORO_North,Nigeria,ReservoirHydro,Water,1,1990,2060,427.5,,,,427.5,,,1,1,,0.2,,20423.09861,,427.5
Dadin Mando,Nigeria,ReservoirHydro,Water,1,2023,2060,27.6,,,,27.6,,,1,1,,0.183333333,,19665.06791,,27.6
KAINJI_North_Part2,Nigeria,ReservoirHydro,Water,1,2026,2060,372,,,,372,,,1,1,,0.15,,18762.04652,,372
Gurara,Nigeria,ReservoirHydro,Water,3,2025,2087,30,,,,30,50,,1,1,,0.15,1.901639344,41836.06557,,30
Mabon,Nigeria,ReservoirHydro,Water,3,2025,2072,39,,,,39,50,,1,1,,0.15,2.772,41580,,39
Mambila,Nigeria,ReservoirHydro,Water,3,2030,2100,3050,,,,300,50,,1,1,,0.15,1.901639344,41836.06557,,300
Manantali_MAU,Mauritania_grid,ReservoirHydro,Water,1,2002,2060,30,,,,30,,,1,1,,0.07,,20655.51171,,30
Gourbassi_MAU,Mauritania_grid,ReservoirHydro,Water,3,2033,2071,4.5,,,,4.5,60,,1,1,,0.07,19,46000,,4.5
Kpong,Ghana,ROR,Water,1,1982,2060,160,,,,160,,,1,1,,0.1,,19855.15306,,160
Hemang,Ghana,ROR,Water,3,2025,2072,93,,,,93,50,,1,1,,0.05,3.333333333,36666.66667,,93
Saltinho,GuineaBissau,ROR,Water,2,2032,2072,25,,,,25,50,,1,1,,0.07,4,44000,,25
Ayam\xe92,IvoryCoast,ROR,Water,1,1965,2060,30.4,,,,30.4,,,1,1,,0.14,,19670.16814,,30.4
Faye,IvoryCoast,ROR,Water,1,1990,2060,5,,,,5,,,1,1,,0.15,,16359.41374,,5
MountCoffeeReservoir,Liberia,ROR,Water,1,2017,2034,88,,,,88,,,1,1,,0.15,,6000,1.124821429,
MTCoffee_ext,Liberia,ROR,Water,2,2028,2034,60,,,,60,,,1,1,,0.15,,6000,1.124821429,
SP2_150,Liberia,ROR,Water,2,2032,2080,150,,,,150,50,,1,1,,0.15,3.88,7431.818182,1.124821429,
Sotuba,Mali,ROR,Water,1,2013,2083,5.7,,,,5.7,,,1,1,,0.2,,21179.92291,,5.7
FELOU_MAL,Mali,ROR,Water,1,2013,2083,60,,,,60,,,1,1,,0.2,,21179.92291,,60
Gouina_mali,Mali,ROR,Water,1,2022,2092,49,,,,49,50,,1,1,,0.1,,45000,,49
FELOU_SEN,Senegal,ROR,Water,1,2013,2083,15,,,,15,30,,1,1,,0.4,3,22667,,15
Gouina_SEN,Senegal,ROR,Water,1,2021,2092,45.99,,,,45.99,50,,1,1,,0.4,3,45000,,45.99
Felou_MAU,Mauritania_grid,ROR,Water,1,2013,2063,18.45,,,,18.45,,,1,1,,0.07,,22478.39732,,18.45
Gouina_Water,Mauritania_grid,ROR,Water,1,2022,2072,46.2,,,,46.2,60,,1,1,,0.07,3,45000,,46.2
Koukoutamba + Boureya,Mauritania_grid,ROR,Water,3,2033,2050,103,,,,103,60,,1,1,,0.07,3.5,45000,,103
SanPedroI1,IvoryCoast,ST,Coal,3,2051,2051,250,,,,250,30,8.6,0.614,0.814,0.02,0.05,2.5,32000,5,250
SanPedroI2,IvoryCoast,ST,Coal,3,2051,2054,250,,,,250,30,8.6,0.614,0.814,0.02,0.05,2.5,32000,5,250
SONICHAR Phase I,Niger,ST,Coal,1,1981,2050,25,,,,32,,10.1075,0.6,0.6,,0.1,,32100,4.61,32
SONICHAR Phase II,Niger,ST,Coal,1,1981,2050,25,,,,32,,10.1075,0.6,0.6,,0.1,,32100,4.61,32
SONICHAR2,Niger,ST,Coal,2,2018,2068,,,,8.6,,30,8.6,0.6,0.6,,0.1,2,32100,4.61,
SALKADAMNAphase1,Niger,ST,Coal,3,2051,2054,200,,,,200,30,8.6,0.614,0.814,,0.1,2.5,32000,5,200
SALKADAMNAphase2,Niger,ST,Coal,3,2051,2054,200,,,,200,30,8.6,0.614,0.814,,0.1,2.5,32000,5,200
SALKADAMNAphase3,Niger,ST,Coal,3,2051,2054,200,,,,200,30,8.6,0.614,0.814,,0.1,2.5,32000,5,200
Sendou1,Senegal,ST,Coal,1,2018,2050,125,,,,125,30,11.5,0.6,0.6,,,,32100,2.1,125
