z,tech,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Burkina,PV,dry,3,0,0,0,0,0,0,0,0.054,0.183,0.382,0.567,0.657,0.671,0.623,0.544,0.41,0.249,0.058,0,0,0,0,0,0
Burkina,PV,dry,4,0,0,0,0,0,0,0.001,0.118,0.294,0.423,0.526,0.536,0.558,0.53,0.487,0.374,0.233,0.069,0,0,0,0,0,0
Burkina,PV,wet,1,0,0,0,0,0,0,0.009,0.097,0.199,0.301,0.378,0.436,0.414,0.373,0.333,0.252,0.148,0.052,0,0,0,0,0,0
Burkina,PV,wet,2,0,0,0,0,0,0,0.02,0.12,0.228,0.316,0.387,0.421,0.442,0.413,0.37,0.284,0.183,0.065,0,0,0,0,0,0
Burkina,PV,wet,3,0,0,0,0,0,0,0,0.214,0.462,0.625,0.717,0.767,0.769,0.733,0.651,0.518,0.318,0.073,0,0,0,0,0,0
Burkina,PV,wet,4,0,0,0,0,0,0,0.004,0.063,0.165,0.28,0.386,0.454,0.469,0.439,0.375,0.279,0.167,0.059,0,0,0,0,0,0
IvoryCoast,PV,dry,1,0,0,0,0,0,0,0.005,0.119,0.282,0.412,0.513,0.563,0.57,0.547,0.492,0.382,0.22,0.077,0,0,0,0,0,0
IvoryCoast,PV,dry,2,0,0,0,0,0,0,0,0.135,0.346,0.505,0.607,0.66,0.681,0.658,0.587,0.455,0.291,0.071,0,0,0,0,0,0
IvoryCoast,PV,dry,3,0,0,0,0,0,0,0,0.079,0.241,0.394,0.522,0.593,0.605,0.529,0.408,0.219,0.117,0.028,0,0,0,0,0,0
IvoryCoast,PV,dry,4,0,0,0,0,0,0,0,0.099,0.287,0.425,0.525,0.609,0.648,0.633,0.573,0.462,0.307,0.109,0,0,0,0,0,0
IvoryCoast,PV,wet,1,0,0,0,0,0,0,0,0.041,0.096,0.161,0.204,0.249,0.266,0.251,0.241,0.193,0.136,0.066,0,0,0,0,0,0
IvoryCoast,PV,wet,2,0,0,0,0,0,0,0.008,0.1,0.236,0.346,0.416,0.458,0.453,0.406,0.335,0.241,0.138,0.053,0,0,0,0,0,0
IvoryCoast,PV,wet,3,0,0,0,0,0,0,0,0.169,0.421,0.593,0.695,0.751,0.769,0.74,0.667,0.553,0.373,0.128,0,0,0,0,0,0
IvoryCoast,PV,wet,4,0,0,0,0,0,0,0,0.054,0.139,0.221,0.287,0.332,0.338,0.329,0.344,0.305,0.195,0.078,0,0,0,0,0,0
Gambia,PV,dry,1,0,0,0,0,0,0,0,0.033,0.19,0.367,0.511,0.606,0.658,0.658,0.612,0.519,0.385,0.218,0.057,0,0,0,0,0
Gambia,PV,dry,2,0,0,0,0,0,0,0,0.007,0.155,0.348,0.49,0.592,0.654,0.665,0.625,0.516,0.337,0.142,0.012,0,0,0,0,0
Gambia,PV,dry,3,0,0,0,0,0,0,0,0.002,0.136,0.338,0.53,0.646,0.718,0.694,0.638,0.526,0.376,0.188,0.022,0,0,0,0,0
Gambia,PV,dry,4,0,0,0,0,0,0,0,0,0.063,0.192,0.329,0.452,0.538,0.582,0.563,0.468,0.343,0.191,0.029,0,0,0,0,0
