z,g,uni,y,value
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2029,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2030,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2031,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2032,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2033,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2034,61.565999999999995
South_Africa,Ingula_HY_ZAF,Fixed O&M: $m,2035,61.565999999999995
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2026,0.0007258151249999818
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2027,0.1288985576925
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2028,0.540721822932789
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2029,0.8043537483150004
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2030,0.4517210834100003
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2031,0.16807372311775043
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2032,0.014696399999999998
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2033,0.4063331949293488
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2034,0.5782404880419375
South_Africa,Ingula_HY_ZAF,Variable Cost: $m,2035,0.7102426880164401
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2025,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2026,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2027,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2028,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2029,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2030,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2031,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2032,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2033,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2034,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Fixed O&M: $m,2035,0.36
South_Africa,JohannesburgLandfillGas_TH_ZAF,Variable Cost: $m,2025,2.439309599999999
South_Africa,JohannesburgLandfillGas_TH_ZAF,Variable Cost: $m,2026,2.4727247999999977
South_Africa,JohannesburgLandfillGas_TH_ZAF,Variable Cost: $m,2033,0.0620568
South_Africa,JohannesburgLandfillGas_TH_ZAF,Variable Cost: $m,2034,0.0943488
South_Africa,JohannesburgLandfillGas_TH_ZAF,Variable Cost: $m,2035,0.0943488
South_Africa,KelvinB_TH_ZAF,Fixed O&M: $m,2025,18.9
South_Africa,KelvinB_TH_ZAF,Fixed O&M: $m,2026,18.9
South_Africa,KelvinB_TH_ZAF,Variable Cost: $m,2025,68.8604403248515
South_Africa,KelvinB_TH_ZAF,Variable Cost: $m,2026,34.64887235580654
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2025,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2026,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2027,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2028,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2029,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2030,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2031,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2032,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2033,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2034,172.79999999999998
South_Africa,Kendal_TH_ZAF,Fixed O&M: $m,2035,172.79999999999998
