z,y,tech,f,value
Angola,2028,OnshoreWind,Battery,0.0
Angola,2028,OnshoreWind,Biomass,0.0
Angola,2028,OnshoreWind,CSP,0.0
Angola,2028,OnshoreWind,Coal,0.0
Angola,2028,OnshoreWind,Diesel,0.0
Angola,2028,OnshoreWind,Gas,0.0
Angola,2028,OnshoreWind,Geothermal,0.0
Angola,2028,OnshoreWind,HFO,0.0
Angola,2028,OnshoreWind,LNG,0.0
Angola,2028,OnshoreWind,Solar,0.0
Angola,2028,OnshoreWind,Uranium,0.0
Angola,2028,OnshoreWind,Water,0.0
Angola,2028,OnshoreWind,Wind,0.0
Angola,2028,PV,Battery,0.0
Angola,2028,PV,Biomass,0.0
Angola,2028,PV,CSP,0.0
Angola,2028,PV,Coal,0.0
Angola,2028,PV,Diesel,0.0
Angola,2028,PV,Gas,0.0
Angola,2028,PV,Geothermal,0.0
Angola,2028,PV,HFO,0.0
Angola,2028,PV,LNG,0.0
Angola,2028,PV,Solar,552.5739476480609
Angola,2028,PV,Uranium,0.0
Angola,2028,PV,Water,0.0
Angola,2028,PV,Wind,0.0
Angola,2028,ROR,Battery,0.0
Angola,2028,ROR,Biomass,0.0
Angola,2028,ROR,CSP,0.0
Angola,2028,ROR,Coal,0.0
Angola,2028,ROR,Diesel,0.0
Angola,2028,ROR,Gas,0.0
Angola,2028,ROR,Geothermal,0.0
Angola,2028,ROR,HFO,0.0
Angola,2028,ROR,LNG,0.0
Angola,2028,ROR,Solar,0.0
Angola,2028,ROR,Uranium,0.0
Angola,2028,ROR,Water,0.0
Angola,2028,ROR,Wind,0.0
Angola,2028,ReservoirHydro,Battery,0.0
Angola,2028,ReservoirHydro,Biomass,0.0
Angola,2028,ReservoirHydro,CSP,0.0
Angola,2028,ReservoirHydro,Coal,0.0
Angola,2028,ReservoirHydro,Diesel,0.0
Angola,2028,ReservoirHydro,Gas,0.0
Angola,2028,ReservoirHydro,Geothermal,0.0
Angola,2028,ReservoirHydro,HFO,0.0
Angola,2028,ReservoirHydro,LNG,0.0
Angola,2028,ReservoirHydro,Solar,0.0
Angola,2028,ReservoirHydro,Uranium,0.0
Angola,2028,ReservoirHydro,Water,3743.0
Angola,2028,ReservoirHydro,Wind,0.0
Angola,2028,STOPV,Battery,0.0
Angola,2028,STOPV,Biomass,0.0
Angola,2028,STOPV,CSP,0.0
Angola,2028,STOPV,Coal,0.0
Angola,2028,STOPV,Diesel,0.0
Angola,2028,STOPV,Gas,0.0
Angola,2028,STOPV,Geothermal,0.0
Angola,2028,STOPV,HFO,0.0
Angola,2028,STOPV,LNG,0.0
Angola,2028,STOPV,Solar,0.0
Angola,2028,STOPV,Uranium,0.0
Angola,2028,STOPV,Water,0.0
Angola,2028,STOPV,Wind,0.0
Angola,2028,pvwsto,Battery,0.0
Angola,2028,pvwsto,Biomass,0.0
Angola,2028,pvwsto,CSP,0.0
Angola,2028,pvwsto,Coal,0.0
Angola,2028,pvwsto,Diesel,0.0
Angola,2028,pvwsto,Gas,0.0
Angola,2028,pvwsto,Geothermal,0.0
Angola,2028,pvwsto,HFO,0.0
Angola,2028,pvwsto,LNG,0.0
Angola,2028,pvwsto,Solar,0.0
Angola,2028,pvwsto,Uranium,0.0
Angola,2028,pvwsto,Water,0.0
Angola,2028,pvwsto,Wind,0.0
Angola,2029,BiomassPlant,Battery,0.0
Angola,2029,BiomassPlant,Biomass,0.0
Angola,2029,BiomassPlant,CSP,0.0
Angola,2029,BiomassPlant,Coal,0.0
Angola,2029,BiomassPlant,Diesel,0.0
Angola,2029,BiomassPlant,Gas,0.0
Angola,2029,BiomassPlant,Geothermal,0.0
Angola,2029,BiomassPlant,HFO,0.0
Angola,2029,BiomassPlant,LNG,0.0
Angola,2029,BiomassPlant,Solar,0.0
Angola,2029,BiomassPlant,Uranium,0.0
Angola,2029,BiomassPlant,Water,0.0
Angola,2029,BiomassPlant,Wind,0.0
Angola,2029,CSPPlant,Battery,0.0
Angola,2029,CSPPlant,Biomass,0.0
Angola,2029,CSPPlant,CSP,0.0
Angola,2029,CSPPlant,Coal,0.0
Angola,2029,CSPPlant,Diesel,0.0
Angola,2029,CSPPlant,Gas,0.0
Angola,2029,CSPPlant,Geothermal,0.0
Angola,2029,CSPPlant,HFO,0.0
Angola,2029,CSPPlant,LNG,0.0
Angola,2029,CSPPlant,Solar,0.0
Angola,2029,CSPPlant,Uranium,0.0
Angola,2029,CSPPlant,Water,0.0
Angola,2029,CSPPlant,Wind,0.0
Angola,2029,OffshoreWind,Battery,0.0
