Market,Quarter,DayType,Year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SAPP,Q4,d1,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2032,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2033,3.46,3.46,3.46,3.46,3.46,3.46,5.3,10.04,10.04,10.04,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,10.04,10.04,5.3,5.3,3.46,3.46
SAPP,Q3,d2,2033,3.46,3.46,3.46,3.46,3.46,3.46,5.3,10.04,10.04,10.04,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,10.04,10.04,5.3,5.3,3.46,3.46
SAPP,Q3,d3,2033,3.46,3.46,3.46,3.46,3.46,3.46,5.3,10.04,10.04,10.04,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,10.04,10.04,5.3,5.3,3.46,3.46
SAPP,Q3,d4,2033,3.46,3.46,3.46,3.46,3.46,3.46,5.3,10.04,10.04,10.04,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,10.04,10.04,5.3,5.3,3.46,3.46
SAPP,Q4,d1,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2033,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2034,3.06,3.06,3.06,3.06,3.06,3.06,4.69,8.89,8.89,8.89,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,8.89,8.89,4.69,4.69,3.06,3.06
SAPP,Q3,d2,2034,3.06,3.06,3.06,3.06,3.06,3.06,4.69,8.89,8.89,8.89,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,8.89,8.89,4.69,4.69,3.06,3.06
SAPP,Q3,d3,2034,3.06,3.06,3.06,3.06,3.06,3.06,4.69,8.89,8.89,8.89,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,8.89,8.89,4.69,4.69,3.06,3.06
SAPP,Q3,d4,2034,3.06,3.06,3.06,3.06,3.06,3.06,4.69,8.89,8.89,8.89,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,8.89,8.89,4.69,4.69,3.06,3.06
SAPP,Q4,d1,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2034,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d1,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d2,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d3,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q1,d4,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d1,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d2,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d3,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q2,d4,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d1,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d2,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d3,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q3,d4,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d1,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d2,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d3,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
SAPP,Q4,d4,2035,2.79,2.79,2.79,2.79,2.79,2.79,4.27,8.1,8.1,8.1,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,8.1,8.1,4.27,4.27,2.79,2.79
