Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Mozambique_Central,Q4,d3,0.65,0.62,0.6,0.59,0.59,0.58,0.65,0.71,0.77,0.81,0.81,0.79,0.77,0.76,0.77,0.78,0.78,0.8,0.85,0.88,0.86,0.81,0.75,0.69
Mozambique_North,Q4,d3,0.63,0.6,0.58,0.57,0.57,0.57,0.62,0.68,0.73,0.77,0.77,0.76,0.74,0.72,0.73,0.73,0.74,0.78,0.89,0.95,0.93,0.84,0.75,0.67
Angola_North,Q4,d3,0.67,0.63,0.6,0.58,0.57,0.58,0.64,0.7,0.77,0.81,0.82,0.82,0.81,0.82,0.83,0.83,0.84,0.85,0.89,0.99,0.99,0.95,0.86,0.76
Angola_Central,Q4,d3,0.74,0.71,0.69,0.67,0.66,0.66,0.69,0.72,0.75,0.78,0.79,0.79,0.79,0.79,0.81,0.8,0.81,0.83,0.85,0.93,0.94,0.91,0.85,0.8
Angola_South,Q4,d3,0.74,0.7,0.67,0.65,0.64,0.65,0.68,0.71,0.75,0.77,0.78,0.79,0.78,0.78,0.8,0.8,0.81,0.83,0.88,0.99,0.99,0.94,0.86,0.79
Angola_East,Q4,d3,0.81,0.78,0.76,0.75,0.74,0.73,0.72,0.72,0.75,0.77,0.78,0.79,0.78,0.78,0.79,0.79,0.79,0.79,0.81,0.9,0.92,0.91,0.89,0.86
Eswatini,Q4,d4,0.51,0.5,0.49,0.51,0.61,0.76,0.73,0.72,0.74,0.74,0.74,0.74,0.73,0.72,0.73,0.72,0.72,0.72,0.81,0.79,0.71,0.63,0.57,0.54
Lesotho,Q4,d4,0.37,0.36,0.37,0.38,0.5,0.63,0.62,0.58,0.58,0.58,0.58,0.57,0.55,0.56,0.55,0.55,0.55,0.55,0.57,0.64,0.63,0.53,0.45,0.4
Malawi,Q4,d4,0.61,0.6,0.6,0.61,0.72,0.83,0.81,0.8,0.83,0.84,0.84,0.85,0.81,0.77,0.76,0.78,0.8,0.84,0.91,0.86,0.79,0.72,0.66,0.63
Namibia,Q4,d4,0.71,0.69,0.68,0.68,0.7,0.77,0.78,0.76,0.76,0.78,0.77,0.77,0.77,0.77,0.79,0.81,0.83,0.81,0.84,0.9,0.91,0.84,0.78,0.74
Zimbabwe,Q4,d4,0.69,0.68,0.67,0.66,0.66,0.65,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.61,0.62,0.63,0.62,0.65,0.68,0.7
Zambia,Q4,d4,0.69,0.68,0.68,0.67,0.67,0.63,0.59,0.57,0.58,0.58,0.61,0.64,0.65,0.65,0.65,0.66,0.66,0.61,0.59,0.6,0.61,0.62,0.67,0.69
Tanzania,Q4,d4,0.68,0.66,0.64,0.63,0.63,0.65,0.67,0.69,0.77,0.82,0.85,0.86,0.86,0.83,0.84,0.85,0.85,0.85,0.87,0.93,0.91,0.89,0.83,0.75
South Africa,Q4,d4,0.66,0.65,0.64,0.64,0.67,0.73,0.79,0.82,0.84,0.84,0.84,0.84,0.84,0.83,0.82,0.83,0.83,0.83,0.84,0.87,0.84,0.78,0.73,0.69
Botswana,Q4,d4,0.59,0.58,0.57,0.58,0.64,0.77,0.76,0.73,0.74,0.74,0.73,0.73,0.73,0.73,0.74,0.74,0.75,0.77,0.82,0.88,0.84,0.77,0.67,0.61
Mozambique_South,Q4,d4,0.57,0.53,0.51,0.51,0.52,0.54,0.69,0.75,0.82,0.84,0.84,0.82,0.78,0.8,0.81,0.81,0.82,0.85,0.9,0.89,0.84,0.75,0.66,0.59
