Plants,Zone,Type,fuel1,StYr,RetrYr,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize
Kinyezeri_III_PH_I,Tanzania,GT,Gas,2026,2076,300,,9.749,0.2,0.2,,,8000,,,1.124,,300,300,0,,3,0,0.05,0,0
Kinyezeri_III_PH_II,Tanzania,CCGT,Gas,2028,2078,300,,6.82,,,,,,,,1.124,,300,300,0,,3,0,0.05,0,0
Kisaki,Tanzania,ST,Geothermal,2036,2061,300,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,100,300,0,,3,0,0,0,0
LesothoSolar_REN_LSO,Lesotho,PV,PV,2023,2060,28,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
New_PV_LSO,Lesotho,PV,PV,2026,2060,500,,,,,,,15000,,,,,37.5,500,0,,3,0,0,1,0
Golomoti_PV_MWI,Malawi,PV,PV,2022,2060,20,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
Kiwaba_Nzogi,Angola,WIND,OnshoreWind,2026,2056,104,,0,,,,,,,,,,104,104,0,,3,0,0,1,0
Koeberg_NU_ZAF,South_Africa,ST,Uranium,1985,2045,1800,0.7,10.53119469,0.1,0.1,0,0,100000,2.3,0,0,50,,,0,,1,0,0.6,0,1800
KomatiI_TH_ZAF,South_Africa,ST,Coal,1966,2020,500,,11.373804,,,,,,,,0,,,,0,,1,0,0.05,0,500
KomatiII_TH_ZAF,South_Africa,ST,Coal,1966,2020,500,,11.373804,,,,,,,,0,,,,0,,1,0,0.05,0,500
Koni_HY_ZAR,DRC_South,ROR,Water,1950,2060,42.12,,,,,,0.39,,,,0,,,,0,,1,0,0,0,0
Kriel_TH_ZAF,South_Africa,ST,Coal,1979,2028,2850,,9.246902652,,,,,,,,0,,,,0,,1,0,0.05,0,950
Kusile_I_TH_ZAF,South_Africa,ST,Coal,2020,2070,3200,,9.0990432,,,,,,,,0,,0,0,0,,1,0,0.05,0,800
Kusile_II_TH_ZAF,South_Africa,ST,Coal,2023,2073,800,,9.0990432,,,,,,,,0,,0,0,0,,1,0,0.05,0,800
Kusile_III_TH_ZAF,South_Africa,ST,Coal,2024,2074,800,,9.0990432,,,,,,,,4.073488372,,800,800,0,,2,0,0.05,0,800
Kuvaninga_TH_MOZ,Mozambique,GT,Gas,2017,2067,40.1,,10.41544727,,,,,,,,0,,0,0,0,7,1,11.11544727,0.5,0,0
LesothoLetsengWind_REN_LSO,Lesotho,WIND,OnshoreWind,2025,2055,35,,0,,,,,22000,,,1.806,,35,35,0,,3,0,0,1,0
PV_2027_MWI,Malawi,PV,PV,2027,2060,300,,,,,,,15000,,,,,100,300,0,,3,0,0,1,0
Lethabo_TH_ZAF,South_Africa,ST,Coal,1990,2038,3558,,9.027009108,,,,,,,,0,,,,0,,1,0,0.05,0,593
Li-ion_storage_A_MWI,Malawi,STORAGE,Battery,2025,2060,20,,0,,,,,,,,0.28,,20,8,0,,2,0,0,0,0
Li-ion_storage_C_MWI,Malawi,STORAGE,Battery,2030,2060,0,,0,,,,,,,,0.28,,0,50,0,,3,0,0,0,0
Lilongwe,Malawi,ICE,Diesel,2000,2060,5.4,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0
Lithops_BESS_NAM,Namibia,STORAGE,Battery,2026,2055,45,,0,,,,,,,,,,45,45,0,,2,0,0,0,0
LobitoI_TH_AGO,Angola,CCGT,Gas,2030,2082,750,,,,,,,,,,,,750,5000,0,7,3,7.1,0.05,0,0
LobitoII_TH_AGO,Angola,CCGT,Gas,2055,2082,750,,,,,,,,,,,,750,5000,0,7,3,7.1,0.05,0,0
LobitoIII_TH_AGO,Angola,CCGT,Gas,2055,2082,375,,,,,,,,,,,,375,5000,0,7,3,7.1,0.05,0,0
Lomaum2_HY_AGO,Angola,ROR,Water,2055,2060,160,,,,,,0.121826136,,,,4.248837209,,160,160,0,,3,0,0,0,0
Lower_Fufu_HY_MWI,Malawi,STOHY,Water,2055,2060,261,0,0,1,1,0,0.325077306,39715.55114,0.55,0,3.445,50,261,261,0,,3,0,0,0,0
Lower_Songwe_HY_MWI,Malawi,STOHY,Water,2055,2060,90,0,0,1,1,0,0.325077306,39715.55114,0.55,0,3.445,50,90,90,0,,3,0,0,0,0
LowerMaguduza_HY_SWZ,Eswatini,ROR,Water,2027,2060,13.5,,,,,,0.1835,,,,4.248837209,,13.5,13.5,0,,3,0,0,0,0
LuandaOCGT_TH_AGO,Angola,GT,Gas,1980,2019,125,,13.62126767,,,,,,,,,,,,0,7,1,14.32126767,0.25,0,0
Lubhuku_TH_SWZ,Eswatini,ST,Coal,2039,2089,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
PV_2030_MWI,Malawi,PV,PV,2030,2060,5000,,,,,,,15000,,,,,200,5000,0,,3,0,0,1,0
Luchenene_HY_ZMB,Zambia,ROR,Water,2030,2060,30,,,,,,0.278070484,,,,4.248837209,,30,30,0,,3,0,0,0,0
LuisCabral_TH_MOZ,Mozambique,GT,HFO,2000,2050,50,,13.62126767,,,,,,,,0,,,,0,,1,0,0,0,0
Lunsemfwa+Mulungushi_HY_ZMB,Zambia,ROR,Water,1982,2060,56,,,,,,0.278070484,,,,0,,,,0,,1,0,0,0,0
Lunzua_HY_ZMB,Zambia,ROR,Water,2000,2060,14.8,,,,,,0.1175,,,,0,,,,0,,1,0,0,0,0
Lupata_HY_MOZ,Mozambique,ROR,Water,2032,2060,650,,,,,,0.406440138,,,,4.248837209,,650,650,0,,3,0,0,0,0
Lurio_HY_MOZ,Mozambique,ROR,Water,2027,2060,0,,,,,,0.406440138,,,,4.248837209,,0,0,0,,3,0,0,0,0
Lusiwasi_HY_ZMB,Zambia,ROR,Water,1967,2021,12,,,,,,0.079895463,,,,0,,,,0,,1,0,0,0,0
LusiwasiLower_HY_ZMB,Zambia,ROR,Water,2028,2060,86,,,,,,0.079875,,,,5.945134884,,86,86,0,,3,0,0,0,0
LusiwasiLowerExts_HY_ZMB,Zambia,ROR,Water,2030,2060,84,,,,,,0.079875,,,,4.248837209,,84,84,0,,3,0,0,0,0
LusiwasiUpper_HY_ZMB,Zambia,ROR,Water,2017,2060,15,,,,,,0.079875,,,,0,,,,0,,1,0,0,0,0
MaambaCoalI_TH_ZMB,Zambia,ST,Coal,2016,2066,300,,9.221311593,,,,,,,,0,,,,0,,1,0,0.1,0,300
MaambaCoalII_TH_ZMB,Zambia,ST,Coal,2028,2078,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
Maguduza_HY_SWZ,Eswatini,ROR,Water,2000,2060,5.6,,,,,,0.1835,,,,0,,,,0,,1,0,0,0,0
Maguga_HY_SWZ,Eswatini,ROR,Water,2000,2060,19.8,,,,,,0.1755,,,,0,,,,0,,1,0,0,0,0
MagugaII_HY_SWZ,Eswatini,ROR,Water,2027,2060,23,,,,,,0.2135,,,,4.248837209,,23,23,0,,3,0,0,0,0
MajubaI_TH_ZAF,South_Africa,ST,Coal,1990,2051,1865.4,,9.665837766,,,,,,,,0,,,,0,,1,0,0.05,0,621.8
MajubaII_TH_ZAF,South_Africa,ST,Coal,1985,2051,2008.5,,9.050704533,,,,,,,,0,,,,0,,1,0,0.05,0,669.5
Malagarasi,Tanzania,ROR,Water,2028,2060,49.5,,,,,,0.215276497,4090,0.5,,2.88,,49.5,49.5,0,,3,0,0,0,0
MambilimbaFallsI_HY_ZMB,Zambia,ROR,Water,2030,2060,124,,,,,,0.278070484,,,,4.248837209,,124,124,0,,3,0,0,0,0
Mapanga_ICE_MWI,Malawi,ICE,Diesel,2000,2060,16,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0
Maragra_biomass_MOZ,Mozambique,ST,Biomass,2000,2055,1,0.3,10.425987,1,1,0,0.8,48000,3,0,0,30,0,0,0,,1,0,0,0,1
Masigira,Tanzania,ROR,Water,2030,2060,118,,,,,,0.29,4090,0.5,,2.8782,,118,118,0,,3,0,0,0,0
Massingir_HY_MOZ,Mozambique,ROR,Water,2024,2060,0,,,,,,0.406440138,,,,4.248837209,,0,0,0,,3,0,0,0,0
Matimba_TH_ZAF,South_Africa,ST,Coal,1987,2039,3690,,9.584325504,,,,,,,,0,,,,0,,1,0,0.05,0,615
Matla_TH_ZAF,South_Africa,ST,Coal,1979,2031,3450,,9.074399958,,,,,,,,0,,,,0,,1,0,0.05,0,575
Mbongozi_HY_MWI,Malawi,ROR,Water,2055,2060,41,,,,,,0.325077306,,,,3.536,,41,41,0,,3,0,0,0,0
MCT_Morro_Bento,Angola,ICE,Diesel,2012,2062,25,0.2,13.62126767,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0
Medupi_TH_ZAF,South_Africa,ST,Coal,2015,2065,4320,,9.0990432,,,,,,,,0,,0,0,0,,1,0,0.05,0,800
Salima_PV_MWI,Malawi,PV,PV,2022,2060,60,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
Mkuranga,Tanzania,CCGT,Gas,2028,2078,300,,,,,,,,,,1.213,,300,300,0,,3,0,0.05,0,0
MkuzeBiomass_BIO_ZAF,South_Africa,ST,Biomass,2000,2055,16.5,0.3,10,0.33,0.33,0,0.8,48000,3,0,0,30,,,0,,1,0,0,0,16.5
Mnyera_Kisingo,Tanzania,ROR,Water,2030,2060,120,,,,,,0.275,2250,0.003,,3.4073,,120,120,0,,3,0,0,0,0
Mnyera_Kwanini,Tanzania,ROR,Water,2030,2060,144,,,,,,0.275,2250,0.003,,1.4833,,144,144,0,,3,0,0,0,0
Mnyera_Mnyera,Tanzania,ROR,Water,2030,2060,137,,,,,,0.275,2250,0.003,,2.6013,,137,137,0,,3,0,0,0,0
Mnyera_Pumbwe,Tanzania,ROR,Water,2030,2060,123,,,,,,0.275,2250,0.003,,2.3179,,123,123,0,,3,0,0,0,0
Mnyera_Ruaha,Tanzania,STOHY,Water,2030,2060,60,0,0,1,1,0,0.275,3380,0.003,0,5.5263,50,60,60,0,,3,0,0,0,0
Mnyera_Taveta,Tanzania,ROR,Water,2030,2060,84,,,,,,0.34,3380,0.003,,1.8447,,84,84,0,,3,0,0,0,0
MoambaMajor_HY_MOZ,Mozambique,ROR,Water,2024,2060,0,,,,,,0.406440138,,,,4.248837209,,0,0,0,,3,0,0,0,0
MobayiMbongo_HY_ZAR,DRC,ROR,Water,1990,2060,11.36,,,,,,0.215,,,,0,,,,0,,1,0,0,0,0
Serengeti_Nkhotakota,Malawi,PV,PV,2022,2060,21,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
Monont'sa_HY_LSO,Lesotho,STORAGE,Water,2030,2060,1200,0,0,1,1,0,0.8,46500,0.55,0,6.821744186,50,1200,1200,0,,3,0,0,0,0
MorupuleA_TH_BWA,Bostwana,ST,Coal,1989,2026,132,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,132
MorupuleB_TH_BWA,Bostwana,ST,Coal,2012,2055,390,,10.34068347,,,,,,,,0,,,,0,,1,0,0.1,0,390
MorupuleBupgrade_TH_BWA,Bostwana,ST,Coal,2022,2052,130,,10.34068347,,,,,,,,0,,,,0,,1,0,0.05,0,130
Mota_Engil_C_MWI,Malawi,ST,Coal,2055,2060,0,,9.853126851,,,,,,,,2.84,,0,200,0,,3,0,0.05,0,0
MozCahoraBassaNorte_HY_MOZ,Mozambique,ROR,Water,2030,2060,0,,,,,,0.4,,,,2.568140002,,1245,1245,0,,3,0,0,0,0
MozCCCGTNG_TH_MOZ,Mozambique,CCGT,LNG,2026,2080,5000,0.45,6.4,1,1,0,0.07,6600,3.500005165,0,1.245080501,30,500,5000,0,7,3,7.1,0.05,0,0
MozCEnginesNG_TH_MOZ,Mozambique,GT,Gas,2026,2076,5000,,9,,,,,,,,1.016815742,,500,5000,0,7,3,9.7,0.05,0,0
MozCoal_TH_MOZ,Mozambique,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
MozENRC_TH_MOZ,Mozambique,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
MozMGTPEDMSasolCTTemane_TH_MOZ,Mozambique,CCGT,LNG,2026,2076,400,0.2,6.4,1,1,0,0.07,6600,4,0,1.245080501,30,400,400,0,7,3,7.1,0.05,0,0
MozMGTPEDMSasolGT_TH_MOZ,Mozambique,CCGT,Gas,2024,2074,420,,,,,,,,,,,,420,420,0,7,2,9.7,0.05,0,0
MozNCCGTNG_TH_MOZ,Mozambique,CCGT,LNG,2026,2075,5000,0.45,6.4,1,1,0,0.07,6600,3.500008661,0,1.245080501,30,500,5000,0,7,3,7.1,0.05,0,0
MozNEnginesNG_TH_MOZ,Mozambique,ICE,HFO,2024,2054,250,,10.41544727,,,,,,,,0.933810376,,250,250,0,,3,0,0.06,0,0
MozSEnginesNG_TH_MOZ,Mozambique,ICE,HFO,2024,2054,0,,10.41544727,,,,,,,,0.933810376,,0,0,0,,3,0,0.06,0,0
Mpanga,Tanzania,STOHY,Water,2030,2060,160,0,0,1,1,0,0.285,1640,0.5,0,2.4258,50,160,160,0,,3,0,0,0,0
Mpatamanga_Opt,Malawi,ROR,Water,2030,2060,358.5,,,,,,0.325077306,,,,2.79,,358.5,358.5,0,,2,0,0,0,0
MphandaNkuwa_HY_MOZ,Mozambique,ROR,Water,2031,2060,1500,,,,,,0.406440138,,,,4.436550388,,1500,1500,0,,3,0,0,0,0
Mtera,Tanzania,STOHY,Water,1988,2060,80,0,0,1,1,0,0.246315531,4100,0.5,0,0,50,,,0,,1,0,0,0,0
Mtwara,Tanzania,GT,Gas,2018,2035,19,,8.34,0.3,0.3,,,8200,,,,,,,0,,1,0,0.05,0,0
Mtwara_I,Tanzania,CCGT,Gas,2028,2078,300,,,,,,,,,,1.213,,300,300,0,,3,0,0.05,0,0
Mtwara_II,Tanzania,CCGT,Gas,2029,2079,300,,,,,,,,,,1.213,,300,300,0,,3,0,0.05,0,0
Muanda_TH_ZAR,DRC,ICE,HFO,2000,2050,4.8,,9.990938997,,,,,,,,0,,,,0,,1,0,0,0,0
Muela_HY_LSO,Lesotho,ROR,Water,2000,2060,74,,,,,,0.396,,,,0,,,,0,,1,0,0,0,0
Muela2_HY_LSO,Lesotho,ROR,Water,2037,2060,110,,,,,,0.396,,,,4.248837209,,110,110,0,,3,0,0,0,0
Mulanje_Ruo_Ndiza,Malawi,ROR,Water,2020,2060,9.8,,,,,,0.325077306,,,,0,,0,0,0,,1,0,0,0,0
MumbotutaFalls_HY_ZMB,Zambia,ROR,Water,2030,2060,301,,,,,,0.278070484,,,,4.248837209,,301,301,0,,3,0,0,0,0
Munyati_TH_ZWE,Zimbabwe,ST,Coal,1957,2007,100,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,100
MupataGorgeNorth_HY_ZMB,Zambia,ROR,Water,2030,2060,600,,,,,,0.278070484,,,,4.248837209,,600,600,0,,3,0,0,0,0
MupataGorgeSouth_HY_ZWE,Zimbabwe,ROR,Water,2030,2060,600,,,,,,0.275342466,,,,4.251,,600,600,0,,3,0,0,0,0
MusondaFalls_HY_ZMB,Zambia,ROR,Water,1972,2060,10,,,,,,0.180625,,,,0,,,,0,,1,0,0,0,0
Mwadingusha_HY_ZAR,DRC_South,ROR,Water,1954,2060,67.8,,,,,,0.44,,,,0,,,,0,,1,0,0,0,0
Mwenga_HY_TZA,Tanzania,ROR,Water,2012,2060,3,,,,,,0.243835605,2300,0.5,,0,,,,0,,1,0,0,0,0
Mzimba_I_WIND_MWI,Malawi,WIND,OnshoreWind,2030,2055,0,,0,,,,,,,,,,50,50,0,,3,0,0,1,0
Mzimba_II_WIND_MWI,Malawi,WIND,OnshoreWind,2032,2062,0,,0,,,,,,,,,,0,100,0,,3,0,0,1,0
Mzuzu_Luwinga_ICE_MWI,Malawi,ICE,Diesel,2000,2060,4.5,0.2,10.98933842,0.15,0.15,0,0.2,46550,5.575,0,0,30,0,0,0,,1,0,0,0,0
NacalaJICA_TH_MOZ,Mozambique,ICE,HFO,2021,2071,40,,10.425987,,,,,,,,0,,0,0,0,,1,0,0,0,40
Namibe_TH_AGO,Angola,CCGT,Gas,2030,2082,750,,,,,,,,,,,,750,5000,0,7,3,7.1,0.05,0,0
NamibiaCCGTNG_TH_NAM,Namibia,CCGT,LNG,2026,2076,4000,0.45,6.4,1,1,0,0.07,17000,3.5,0,1.245080501,30,500,4000,0,7,3,7.1,0.05,0,0
NamibiaCoal_TH_NAM,Namibia,ST,Coal,2035,2085,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
NamibiaOCGTNG_TH_NAM,Namibia,GT,LNG,2026,2076,2000,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,400,2000,0,7,3,9.7,0.05,0,0
NamPowerWindFarm_2031,Namibia,WIND,OnshoreWind,2032,2062,4000,,0,,,,,,,,1.6,,150,4000,0,,3,0,0,1,0
Natron,Tanzania,ST,Geothermal,2030,2055,60,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,60,60,0,,3,0,0,0,0
Ncondezi_TH_MOZ,Mozambique,ST,Coal,2026,2076,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0
Near_Salima_Nanjoka_LNG_MWI,Malawi,GT,Gas,2055,2060,73,,,,,,,,,,,,73,30,0,,3,0,0.05,0,0
New_CBM_Bot_gas_2031,Bostwana,CCGT,Gas,2027,2060,100,,,,,,,,,,,,100,100,0,,3,0,0.05,0,100
New_Coal_1_BWA,Bostwana,ST,Coal,2030,2060,300,,8.6,,,,,,,,2.466504472,,300,300,0,,3,0,0.05,0,300
New_Coal_2_BWA,Bostwana,ST,Coal,2032,2060,300,,8.6,,,,,,,,2.466504472,,300,300,0,,3,0,0.05,0,300
New_CSP_AGO,Angola,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.8,30,500,0,0,,3,0,0,0,0
New_CSP_BWA,Bostwana,CSP,CSP,2030,2060,8000,0,0,1,1,0,0.8,22000,3,0,1.915,30,500,8000,0,,3,0,0,0,0
New_CSP_LSO,Lesotho,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.8,30,50,0,0,,3,0,0,0,0
New_CSP_NAM,Namibia,CSP,CSP,2027,2060,250,0,0,1,1,0,0.8,22000,3,0,1.85,30,250,250,0,,3,0,0,0,0
New_CSP_SWZ,Eswatini,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.8,30,100,0,0,,3,0,0,0,0
New_CSP_TZA,Tanzania,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.8,30,500,0,0,,3,0,0,0,0
New_CSP_ZAF,South_Africa,CSP,CSP,2030,2060,20000,0,0,1,1,0,0.8,22000,3,0,1.865,30,2000,20000,0,,3,0,0,0,0
New_CSP_ZAF_2024,South_Africa,CSP,CSP,2024,2054,100,0,0,1,1,0,0.8,22000,3,0,1.865,30,100,100,0,,2,0,0,0,0
New_CSP_ZMB,Zambia,CSP,CSP,2024,2055,0,0,0,1,1,0,0.8,22000,3,0,1.8,30,500,0,0,,3,0,0,0,0
New_OffshoreWind_AGO,Angola,WIND,OffshoreWind,2035,2060,8000,,0,,,,,,,,,,600,8000,0,,3,0,0,1,0
New_OffshoreWind_MOZ,Mozambique,WIND,OffshoreWind,2026,2060,8000,,0,,,,,,,,,,600,8000,0,,3,0,0,1,0
New_OffshoreWind_NAM,Namibia,WIND,OffshoreWind,2030,2060,8000,,0,,,,,,,,,,600,8000,0,,3,0,0,1,0
New_OffshoreWind_TZA,Tanzania,WIND,OffshoreWind,2035,2060,0,,0,,,,,,,,,,0,0,0,,3,0,0,1,0
New_OffshoreWind_ZAF,South_Africa,WIND,OffshoreWind,2030,2060,20200,,0,,,,,,,,,,1515,20200,0,,3,0,0,1,0
New_OnshoreWind_AGO,Angola,WIND,OnshoreWind,2030,2060,8000,,0,,,,,,,,,,600,8000,0,,3,0,0,1,0
New_OnshoreWind_BWA,Bostwana,WIND,OnshoreWind,2031,2061,500,,0,,,,,,,,1.6,,50,500,0,,3,0,0,1,0
New_OnshoreWind_DRC_2026,DRC,WIND,OnshoreWind,2026,2056,4000,,0,,,,,,,,,,300,4000,0,,3,0,0,1,0
New_OnshoreWind_DRCSouth_2026,DRC_South,WIND,OnshoreWind,2026,2056,4000,,0,,,,,,,,,,300,4000,0,,3,0,0,1,0
New_OnshoreWind_LSO,Lesotho,WIND,OnshoreWind,2026,2056,500,,0,,,,,,,,,,50,500,0,,3,0,0,1,0
New_OnshoreWind_MOZ,Mozambique,WIND,OnshoreWind,2026,2056,8000,,0,,,,,,,,,,600,8000,0,,3,0,0,1,0
New_OnshoreWind_NAM_2027,Namibia,WIND,OnshoreWind,2028,2058,200,,0,,,,,,,,1.6,,50,200,0,,3,0,0,1,0
New_OnshoreWind_SWZ,Eswatini,WIND,OnshoreWind,2030,2060,1000,,0,,,,,,,,,30,50,1000,0,,3,0,0,1,0
New_OnshoreWind_ZAF,South_Africa,WIND,OnshoreWind,2026,2056,40000,,0,,,,,28000,,,1.665,,3000,40000,0,,3,0,0,1,0
New_OnshoreWind_ZMB,Zambia,WIND,OnshoreWind,2031,2061,5000,,0,,,,,,,,,,375,5000,0,,3,0,0,1,0
New_OnshoreWind_ZWE,Zimbabwe,WIND,OnshoreWind,2028,2058,8000,,0,,,,,,,,,,375,8000,0,,3,0,0,1,0
New_Pangani_Falls,Tanzania,ROR,Water,1995,2060,68,,,,,,0.210540475,3400,0.003,,0,,,,0,,1,0,0,0,0
MetoroSolarPV_REN_MOZ,Mozambique,PV,PV,2023,2060,41,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
MocubaSolarPV_REN_MOZ,Mozambique,PV,PV,2019,2060,30,,,,,,,15000,,,0,,0,0,0,,1,0,0,1,0
New_PV_MOZ,Mozambique,PV,PV,2026,2060,8000,,,,,,,15000,,,,,600,8000,0,,3,0,0,1,0
CommittedPV2-2_NAM,Namibia,PV,PV,2028,2060,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
CommittedPV2-3_NAM,Namibia,PV,PV,2031,2060,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
CommittedPV2-4_NAM,Namibia,PV,PV,2038,2060,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
Existing _PV_NAM,Namibia,PV,PV,2015,2060,228,,,,,,,15000,,,0,,0,,0,,1,0,0,1,0
Khan_PV_NAM,Namibia,PV,PV,2025,2060,20,,,,,,,15000,,,,,20,20,0,,2,0,0,1,0
New_PV_NAM_2026,Namibia,PV,PV,2026,2060,500,,,,,,,15000,,,,,75,500,0,,3,0,0,1,0
New_PV_NAM_2031,Namibia,PV,PV,2031,2060,500,,,,,,,15000,,,,,75,500,0,,3,0,0,1,0
New_PV_NAM_2036,Namibia,PV,PV,2036,2060,4000,,,,,,,15000,,,,,100,4000,0,,3,0,0,1,0
Omburru_Wind_Nam,Namibia,PV,PV,2018,2055,20,,,,,,,28000,,,0,30,0,0,0,,1,0,0,1,0
RoshPinah_PV_NAM,Namibia,PV,PV,2025,2060,70,,,,,,,15000,,,,,70,70,0,,2,0,0,1,0
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,PV,2017,2060,1902,,,,,,,15000,,,0,,,,0,,1,0,0,1,0
New_PV_ZAF,South_Africa,PV,PV,2026,2060,30000,,,,,,,15000,,,,,2250,30000,0,,3,0,0,1,0
SA_IRP_New_PV_2031,South_Africa,PV,PV,2031,2056,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
SA_IRP_New_PV_2032,South_Africa,PV,PV,2032,2057,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
NewCCGTNG_TH_AGO,Angola,CCGT,LNG,2055,2105,0,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.245080501,30,0,0,0,7,3,7.1,0.05,0,0
NewCCGTNG_TH_LSO,Lesotho,CCGT,LNG,2027,2074,500,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.17732737,30,500,5000,0,7,3,7.1,0.05,0,0
NewCCGTNG_TH_SWZ,Eswatini,CCGT,LNG,2027,2077,500,0.45,6.4,1,1,0,0.07,6600,3.5,0,1.245080501,30,500,500,0,7,3,7.1,0.05,0,0
SA_IRP_New_PV_2033,South_Africa,PV,PV,2033,2058,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
SA_IRP_New_PV_2034,South_Africa,PV,PV,2034,2059,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
NEWSto_BWA,Bostwana,STORAGE,Battery,2026,2055,50,,0,,,,,,,,,,50,50,0,,3,0,0,0,0
NgodwanaEnergyProject_BIO_ZAF,South_Africa,ST,Biomass,2000,2055,25,0.3,10,0.33,0.33,0,0.8,48000,3,0,0,30,,,0,,1,0,0,0,25
Ngozi_I,Tanzania,ST,Geothermal,2030,2055,30,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,30,30,0,,3,0,0,0,0
Ngozi_II,Tanzania,ST,Geothermal,2030,2055,30,0,0,0.3,0.3,0,0.2,128400,0.0012,0,3.5,30,30,30,0,,3,0,0,0,0
"Nkula_(A,B)_+_upgrade_HY_MWI",Malawi,STOHY,Water,2000,2060,136,0,0,1,1,0,0.325077306,40737.536,0.55,0,0,50,0,0,0,,1,0,0,0,0
Nseke_HY_ZAR,DRC_South,ROR,Water,1957,2060,260,,,,,,0.41,,,,0,,,,0,,1,0,0,0,0
Nyakato,Tanzania,ICE,HFO,2013,2032,60,0.06,10.8,0.3,0.3,0,0.4,13300,4.5,0,0,,,,0,,1,0,0,0,0
Nyumba_Ya_Mungu,Tanzania,STOHY,Water,1968,2018,8,0,0,1,1,0,0.193646727,15800,0.5,0,0,50,,,0,,1,0,0,0,0
Nzilo_HY_ZAR,DRC_South,ROR,Water,1954,2060,108,,,,,,0.31,,,,0,,,,0,,1,0,0,0,0
Nzongo_HY_ZAR,DRC,ROR,Water,1965,2060,75,,,,,,0.435,,,,0,,,,0,,1,0,0,0,0
NzongoII_HY_ZAR,DRC,ROR,Water,2022,2060,150,,,,,,0.435,,,,0,,0,0,0,,1,0,0,0,0
Nzoro_HY_ZAR,DRC,ROR,Water,2024,2060,108.4,,,,,,0.193435172,,,,4.248837209,,108.4,108.4,0,,3,0,0,0,0
Omburru_BESS_NAM,Namibia,STORAGE,Battery,2024,2055,31,,0,,,,,,,,,,31,31,0,,2,0,0,0,0
SA_IRP_New_PV_2035,South_Africa,PV,PV,2035,2060,0,,,,,,,15000,,,,,0,0,0,,2,0,0,1,0
Orapa1and2_TH_BWA,Bostwana,GT,HFO,2000,2031,90,,10.41544727,,,,,,,,0,,,,0,,1,0,0,0,0
Otikojoto_Biomass_NAM,Namibia,ST,Biomass,2028,2055,40,0.3,12.5,1,1,0,0.8,20000,5,0,2.697674419,30,40,40,0,,2,0,0,0,40
Oxbow_HY_LSO,Lesotho,ROR,Water,2029,2060,80,,,,,,0.2785,,,,4.248837209,,80,80,0,,3,0,0,0,0
PalmietPH_HY_ZAF,South_Africa,STORAGE,Water,1988,2060,400,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,,1,0,0,0,0
Paratus_TH_NAM,Namibia,ICE,HFO,1976,2017,25.6,,10.41544727,,,,,,,,0,,,,0,,1,0,0,0,0
PortRexGas_TH_ZAF,South_Africa,GT,HFO,1976,2026,171,,11.26101378,,,,,,,,0,,,,0,,1,0,0,0,0
