,Q1,Q2,Q3,Q4
EEC_Solar_PV,1.0,1.0,1.0,1.0
Existing _PV_ZIM,1.0,1.0,1.0,1.0
CF_Bafia_Farta,1.0,1.0,1.0,1.0
Kusile_II_TH_ZAF,0.85,0.85,0.85,0.85
Kusile_III_TH_ZAF,0.85,0.85,0.85,0.85
SAGenericSolarPV(Medium)28_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)29_REN_ZAF,1.0,1.0,1.0,1.0
SAGenericSolarPV(Medium)30_REN_ZAF,1.0,1.0,1.0,1.0
Mnyera_Mnyera,0.679237632,0.798582658,0.388765471,0.353393127
Mnyera_Pumbwe,0.67675399,0.786577927,0.387725345,0.352377166
Mnyera_Kisingo,0.676311728,0.786419892,0.386858454,0.352128623
Mnyera_Ruaha,0.564814815,1.0,0.254378193,0.296648557
Kidunda,0.497474747,0.929487179,0.215126812,0.378172899
SingidaWind2_REN_TZA,0.85,0.85,0.85,0.85
LobitoI_TH_AGO,0.85,0.85,0.85,0.85
LobitoII_TH_AGO,0.85,0.85,0.85,0.85
LobitoIII_TH_AGO,0.85,0.85,0.85,0.85
Namibe_TH_AGO,0.85,0.85,0.85,0.85
SoyoIII_TH_AGO,0.85,0.85,0.85,0.85
Vuka_HY_AGO,0.38,0.38,0.38,0.38
JambaMina_HY_AGO,0.38,0.38,0.38,0.38
JambaOma_HY_AGO,0.38,0.38,0.38,0.38
Genga_HY_AGO,0.38,0.38,0.38,0.38
Committed1_PV_AGO,1.0,1.0,1.0,1.0
Committed2_PV_AGO,1.0,1.0,1.0,1.0
Committed3_PV_AGO,1.0,1.0,1.0,1.0
SACCGTNG2025_TH_ZAF,0.85,0.85,0.85,0.85
SACCGTNG2027_TH_ZAF,0.85,0.85,0.85,0.85
SACCGTNG2028_TH_ZAF,0.85,0.85,0.85,0.85
SACCGTNG2029_TH_ZAF,0.85,0.85,0.85,0.85
New_CSP_ZAF_2024,1.0,1.0,1.0,1.0
Sto_ZAF_2024,0.85,0.85,0.85,0.85
Sto_ZAF_2025,0.85,0.85,0.85,0.85
Sto_ZAF_2027,0.85,0.85,0.85,0.85
Sto_ZAF_2028,0.85,0.85,0.85,0.85
SACCGTNG2035_TH_ZAF,0.85,0.85,0.85,0.85
SACCGTNG2040_TH_ZAF,0.85,0.85,0.85,0.85
SACCGTNG2045_TH_ZAF,0.85,0.85,0.85,0.85
AnixasII_TH_NAM,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2031,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2032,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2033,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2034,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2035,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2036,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2037,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2038,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2039,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2040,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2041,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2042,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2043,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2044,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2045,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2046,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2047,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2048,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2049,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_CCGT_2050,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2031,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2036,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2041,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2042,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2043,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2044,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2045,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2046,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2047,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2048,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2049,0.85,0.85,0.85,0.85
SA_IRP_New_Gas_GT_2050,0.85,0.85,0.85,0.85
SA_IRP_New_PV_2031,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2032,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2033,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2034,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2035,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2036,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2037,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2038,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2039,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2040,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2041,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2042,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2043,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2044,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2045,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2046,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2047,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2048,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2049,1.0,1.0,1.0,1.0
SA_IRP_New_PV_2050,1.0,1.0,1.0,1.0
SA_IRP_New_Wind_2031,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2032,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2033,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2034,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2035,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2036,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2037,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2038,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2039,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2040,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2041,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2042,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2043,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2044,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2045,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2046,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2047,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2048,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2049,0.85,0.85,0.85,0.85
SA_IRP_New_Wind_2050,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2031,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2032,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2033,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2034,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2035,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2036,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2037,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2038,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2039,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2040,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2041,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2042,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2043,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2044,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2045,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2046,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2047,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2048,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2049,0.85,0.85,0.85,0.85
SA_IRP_New_BESS_2050,0.85,0.85,0.85,0.85
PV_Caraculo_OffGrid,1.0,1.0,1.0,1.0
CT_Biocom,0.85,0.85,0.85,0.85
CT_PV_Diesel_Hybrid,1.0,1.0,1.0,1.0
Kiwaba_Nzogi,0.85,0.85,0.85,0.85
New_PV_NAM_2031,1.0,1.0,1.0,1.0
New_PV_ZMB_2031,1.0,1.0,1.0,1.0
New_PV_ZWE_2031,1.0,1.0,1.0,1.0
New_PV_NAM_2036,1.0,1.0,1.0,1.0
New_PV_ZMB_2040,1.0,1.0,1.0,1.0
New_PV_ZWE_2036,1.0,1.0,1.0,1.0
Mpatamanga_Opt,0.61976749,0.684349392,0.689222195,0.615215736
PV_2030_MWI,1.0,1.0,1.0,1.0
Sto_MWI_2030,0.85,0.85,0.85,0.85
Wind_2030_MWI,0.85,0.85,0.85,0.85
Mulanje_Ruo_Ndiza,0.61976749,0.684349392,0.689222195,0.615215736
Cedar_Muloza,0.61976749,0.684349392,0.689222195,0.615215736
Serengeti_Nkhotakota,1.0,1.0,1.0,1.0
Kiejo_Mbaka_II,0.85,0.85,0.85,0.85
Kisaki,0.85,0.85,0.85,0.85
Natron,0.85,0.85,0.85,0.85
Ngozi_I,0.85,0.85,0.85,0.85
Ngozi_II,0.85,0.85,0.85,0.85
Kishapu_II,1.0,1.0,1.0,1.0
Kishapu_III,1.0,1.0,1.0,1.0
PV_Tanzania,1.0,1.0,1.0,1.0
Bagamoyo,0.85,0.85,0.85,0.85
Kinyerezi_IV,0.85,0.85,0.85,0.85
Mkuranga,0.85,0.85,0.85,0.85
Mtwara_I,0.85,0.85,0.85,0.85
Mtwara_II,0.85,0.85,0.85,0.85
Somanga_Mtama,0.85,0.85,0.85,0.85
Somanga_PPP,0.85,0.85,0.85,0.85
Somanga_Tanesco,0.85,0.85,0.85,0.85
