Zone,m,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q2,d4,0.72,0.72,0.69,0.69,0.69,0.72,0.79,0.86,0.89,0.96,0.96,0.98,0.98,0.94,0.93,0.93,0.96,1,0.94,0.89,0.86,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q3,d1,0.72,0.72,0.7,0.7,0.7,0.72,0.8,0.86,0.91,0.96,0.96,0.98,0.98,0.94,0.93,0.9,0.96,1,0.94,0.9,0.86,0.83,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q3,d2,0.72,0.72,0.69,0.69,0.69,0.72,0.8,0.86,0.9,0.94,0.96,0.98,0.98,0.94,0.93,0.92,0.96,1,0.93,0.9,0.86,0.83,0.8,0.69,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q3,d3,0.38,0.38,0.35,0.35,0.35,0.38,0.45,0.52,0.55,0.6,0.6,0.62,0.62,0.6,0.57,0.57,0.6,0.64,0.57,0.55,0.5,0.49,0.46,0.38,0.530232558,0.527777778,0.502392344,0.507246377,0.507246377,0.537735849,0.586956522,0.626506024,0.625,0.642857143,0.633802817,0.64137931,0.645833333,0.647482014,0.624087591,0.633333333,0.642857143,0.666666667,0.633333333,0.627376426,0.595238095,0.597560976,0.577405858
Mozambique,Q3,d4,0.71,0.72,0.7,0.68,0.68,0.68,0.7,0.77,0.83,0.9,0.92,0.94,0.92,0.9,0.88,0.88,0.88,0.88,0.83,0.83,0.8,0.8,0.79,0.72,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q4,d1,0.73,0.7,0.69,0.69,0.69,0.73,0.8,0.88,0.91,0.96,0.96,0.98,0.98,0.96,0.95,0.93,0.96,1,0.94,0.88,0.83,0.83,0.8,0.73,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q4,d2,0.73,0.73,0.69,0.69,0.69,0.73,0.79,0.85,0.91,0.97,0.96,0.98,0.98,0.96,0.92,0.92,0.97,0.96,0.93,0.88,0.83,0.83,0.8,0.73,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Q4,d3,0.69,0.7,0.68,0.66,0.66,0.69,0.68,0.73,0.79,0.86,0.92,0.93,0.92,0.88,0.86,0.83,0.86,0.86,0.83,0.8,0.79,0.79,0.77,0.7,0.949541284,0.985915493,0.971428571,0.956521739,0.956521739,0.949541284,0.853556485,0.83908046,0.864963504,0.892733564,0.958333333,0.948979592,0.941979522,0.916666667,0.911660777,0.895683453,0.892733564,0.883561644,0.892473118,0.909090909,0.951807229,0.951807229,0.9625
Mozambique,Q4,d4,0.72,0.7,0.72,0.69,0.69,0.72,0.8,0.88,0.92,0.96,0.96,0.98,0.97,0.96,0.96,0.93,0.96,0.96,0.92,0.88,0.83,0.83,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q1,d1,0.62,0.63,0.62,0.62,0.62,0.62,0.68,0.77,0.81,0.92,0.92,0.98,0.96,0.92,0.89,0.89,0.92,0.89,0.8,0.81,0.73,0.69,0.68,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q1,d2,0.62,0.63,0.62,0.62,0.62,0.62,0.67,0.76,0.79,0.88,0.88,0.95,0.93,0.88,0.88,0.86,0.88,0.88,0.79,0.76,0.69,0.69,0.67,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q1,d3,0.62,0.62,0.59,0.6,0.6,0.6,0.59,0.61,0.69,0.8,0.86,0.86,0.86,0.8,0.76,0.76,0.76,0.76,0.69,0.67,0.67,0.67,0.63,0.62,1,0.984126984,0.951612903,0.967741935,0.967741935,0.967741935,0.876237624,0.809734513,0.8625,0.885608856,0.95202952,0.892733564,0.908450704,0.885608856,0.860377358,0.866920152,0.841328413,0.850746269,0.866108787,0.858974359,0.952606635,0.971014493,0.935643564
Namibia,Q1,d4,0.62,0.63,0.62,0.62,0.62,0.62,0.67,0.73,0.8,0.91,0.91,0.96,0.95,0.91,0.88,0.88,0.91,0.91,0.8,0.77,0.69,0.69,0.67,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q2,d1,0.64,0.64,0.62,0.62,0.62,0.64,0.68,0.77,0.84,0.96,0.93,1,0.96,0.93,0.94,0.87,0.96,0.91,0.93,0.87,0.77,0.71,0.68,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q2,d2,0.63,0.64,0.63,0.62,0.62,0.63,0.68,0.79,0.81,0.94,0.94,0.99,0.95,0.94,0.87,0.87,0.89,0.92,0.87,0.81,0.74,0.7,0.68,0.63,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q2,d3,0.64,0.63,0.61,0.61,0.61,0.61,0.63,0.65,0.7,0.86,0.88,0.92,0.88,0.81,0.79,0.79,0.79,0.79,0.73,0.7,0.69,0.69,0.65,0.63,1.010526316,0.989528796,0.973404255,0.978609626,0.978609626,0.963157895,0.917475728,0.840517241,0.846774194,0.905263158,0.936170213,0.926174497,0.910344828,0.870967742,0.871323529,0.894339623,0.846428571,0.868131868,0.805147059,0.836653386,0.911894273,0.976415094,0.960591133
Namibia,Q2,d4,0.63,0.63,0.63,0.63,0.63,0.63,0.7,0.76,0.83,0.95,0.95,0.99,0.99,0.92,0.91,0.91,0.95,0.9,0.92,0.83,0.76,0.71,0.67,0.63,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q3,d1,0.63,0.63,0.62,0.62,0.62,0.63,0.68,0.8,0.83,0.96,0.96,0.99,0.92,0.95,0.93,0.89,0.96,0.89,0.93,0.88,0.75,0.7,0.68,0.63,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q3,d2,0.63,0.63,0.63,0.63,0.63,0.63,0.67,0.76,0.82,0.92,0.95,0.99,0.99,0.92,0.91,0.9,0.95,0.9,0.91,0.82,0.76,0.71,0.67,0.63,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q3,d3,0.63,0.63,0.63,0.63,0.63,0.63,0.69,0.79,0.81,0.95,0.95,0.99,0.95,0.95,0.88,0.88,0.89,0.88,0.88,0.81,0.73,0.7,0.66,0.63,1,1,1.021621622,1.016129032,1.016129032,1.010695187,1.061538462,1.087155963,1.038461538,1.059479554,1.017857143,1.034843206,1.017857143,1.063432836,1.007633588,1.027237354,0.992565056,1.027237354,1.043478261,1.016736402,1,1.004784689,0.99
Namibia,Q3,d4,0.63,0.63,0.6,0.61,0.61,0.61,0.6,0.62,0.69,0.81,0.89,0.89,0.89,0.81,0.78,0.78,0.78,0.78,0.69,0.69,0.68,0.68,0.65,0.63,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q4,d1,0.62,0.63,0.62,0.62,0.62,0.62,0.67,0.77,0.81,0.91,0.91,0.97,0.96,0.91,0.88,0.88,0.91,0.86,0.8,0.81,0.73,0.69,0.67,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q4,d2,0.62,0.62,0.62,0.62,0.62,0.62,0.65,0.73,0.8,0.9,0.91,0.97,0.96,0.91,0.88,0.88,0.9,0.91,0.79,0.77,0.69,0.69,0.67,0.62,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Q4,d3,0.62,0.6,0.58,0.58,0.58,0.58,0.58,0.62,0.65,0.73,0.81,0.78,0.81,0.76,0.73,0.69,0.73,0.73,0.69,0.67,0.65,0.65,0.62,0.6,1,0.957446809,0.935483871,0.935483871,0.935483871,0.935483871,0.874371859,0.82300885,0.8125,0.814126394,0.9,0.8125,0.852631579,0.844444444,0.829545455,0.790076336,0.814126394,0.826415094,0.869747899,0.858974359,0.928571429,0.946601942,0.925373134
Namibia,Q4,d4,0.62,0.63,0.62,0.62,0.62,0.62,0.67,0.76,0.79,0.88,0.88,0.94,0.93,0.88,0.88,0.86,0.88,0.88,0.79,0.76,0.68,0.68,0.67,0.62,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q1,d1,0.6,0.63,0.6,0.6,0.6,0.6,0.68,0.79,0.82,0.92,0.92,0.95,0.94,0.92,0.88,0.88,0.92,0.93,0.86,0.82,0.76,0.73,0.68,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q1,d2,0.58,0.62,0.58,0.58,0.58,0.58,0.67,0.76,0.79,0.86,0.87,0.9,0.9,0.87,0.86,0.84,0.87,0.87,0.79,0.76,0.71,0.71,0.67,0.58,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q1,d3,0.59,0.59,0.56,0.56,0.56,0.56,0.56,0.63,0.71,0.79,0.85,0.85,0.85,0.79,0.77,0.77,0.77,0.77,0.71,0.67,0.67,0.67,0.65,0.59,0.994382022,0.946524064,0.949152542,0.949152542,0.949152542,0.943820225,0.827586207,0.82173913,0.880165289,0.881040892,0.944444444,0.913978495,0.920577617,0.877777778,0.885057471,0.891891892,0.855555556,0.852398524,0.855421687,0.848101266,0.913636364,0.926267281,0.960591133
South_Africa,Q1,d4,0.6,0.62,0.59,0.59,0.59,0.6,0.68,0.75,0.81,0.91,0.91,0.94,0.93,0.91,0.87,0.87,0.91,0.91,0.84,0.79,0.73,0.73,0.68,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q2,d1,0.63,0.63,0.6,0.6,0.6,0.63,0.7,0.81,0.87,0.98,0.96,0.99,0.98,0.96,0.93,0.91,0.98,1,0.96,0.91,0.81,0.76,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q2,d2,0.61,0.63,0.61,0.6,0.6,0.61,0.69,0.8,0.84,0.94,0.94,0.97,0.96,0.94,0.9,0.9,0.94,0.96,0.9,0.84,0.77,0.74,0.69,0.61,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q2,d3,0.64,0.61,0.57,0.57,0.57,0.57,0.6,0.67,0.74,0.85,0.9,0.92,0.9,0.84,0.81,0.81,0.81,0.81,0.77,0.74,0.7,0.7,0.67,0.61,1.032258065,0.973404255,0.93956044,0.944751381,0.944751381,0.919354839,0.853080569,0.834024896,0.860465116,0.882352941,0.940766551,0.93559322,0.921501706,0.884210526,0.880434783,0.886861314,0.84083045,0.823728814,0.822064057,0.847328244,0.882352941,0.92920354,0.966346154
South_Africa,Q2,d4,0.62,0.62,0.61,0.61,0.61,0.62,0.72,0.8,0.87,0.97,0.97,0.99,0.99,0.95,0.93,0.93,0.97,0.99,0.95,0.87,0.8,0.76,0.69,0.62,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q3,d1,0.63,0.63,0.6,0.6,0.6,0.63,0.7,0.8,0.87,0.97,0.96,0.99,0.97,0.96,0.93,0.91,0.97,1,0.96,0.87,0.8,0.76,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q3,d2,0.62,0.62,0.61,0.61,0.61,0.62,0.69,0.8,0.87,0.95,0.97,0.99,0.99,0.95,0.93,0.91,0.97,0.99,0.93,0.87,0.8,0.75,0.69,0.61,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q3,d3,0.61,0.61,0.6,0.6,0.6,0.61,0.71,0.81,0.84,0.94,0.94,0.97,0.96,0.94,0.9,0.9,0.95,0.96,0.9,0.84,0.78,0.74,0.68,0.61,0.973404255,0.983870968,1.011235955,1.011235955,1.011235955,1.005494505,1.086734694,1.084821429,1.020242915,1.02919708,1.003558719,1.013937282,1.014084507,1.032967033,1.018867925,1.034482759,1.043956044,1.035971223,1.030534351,1.020242915,1.021834061,1.009090909,0.990291262
South_Africa,Q3,d4,0.63,0.61,0.57,0.57,0.57,0.57,0.57,0.64,0.73,0.82,0.88,0.89,0.88,0.82,0.79,0.79,0.79,0.79,0.73,0.73,0.69,0.69,0.67,0.61,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q4,d1,0.6,0.62,0.59,0.59,0.59,0.6,0.68,0.79,0.82,0.91,0.91,0.94,0.94,0.91,0.87,0.87,0.91,0.91,0.85,0.82,0.75,0.72,0.68,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q4,d2,0.6,0.6,0.59,0.59,0.59,0.6,0.67,0.75,0.81,0.9,0.9,0.93,0.93,0.9,0.87,0.87,0.9,0.9,0.84,0.79,0.72,0.72,0.68,0.6,,,,,,,,,,,,,,,,,,,,,,,
South_Africa,Q4,d3,0.59,0.56,0.55,0.55,0.55,0.54,0.55,0.59,0.66,0.75,0.8,0.83,0.8,0.78,0.75,0.72,0.75,0.75,0.72,0.67,0.66,0.66,0.63,0.56,0.994382022,0.913043478,0.9375,0.9375,0.9375,0.91011236,0.816831683,0.769565217,0.818181818,0.845864662,0.895522388,0.898916968,0.869565217,0.873134328,0.868725869,0.837209302,0.839552239,0.839552239,0.870967742,0.848101266,0.912442396,0.925233645,0.931034483
South_Africa,Q4,d4,0.58,0.62,0.58,0.58,0.58,0.58,0.67,0.76,0.79,0.85,0.87,0.9,0.89,0.87,0.85,0.84,0.87,0.87,0.79,0.76,0.7,0.7,0.67,0.58,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q1,d1,0.35,0.35,0.3,0.3,0.3,0.35,0.47,0.58,0.68,0.82,0.82,0.85,0.88,0.82,0.75,0.75,0.82,0.88,0.75,0.68,0.58,0.52,0.47,0.35,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q1,d2,0.31,0.33,0.31,0.29,0.29,0.31,0.44,0.57,0.62,0.73,0.73,0.79,0.77,0.73,0.73,0.67,0.73,0.73,0.62,0.57,0.48,0.48,0.44,0.31,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q1,d3,0.32,0.32,0.26,0.26,0.26,0.26,0.26,0.36,0.5,0.63,0.69,0.69,0.69,0.63,0.58,0.58,0.58,0.58,0.5,0.44,0.44,0.44,0.4,0.32,0.96,0.941176471,0.857142857,0.876404494,0.876404494,0.78,0.569343066,0.631578947,0.765306122,0.804255319,0.880851064,0.834677419,0.834677419,0.804255319,0.787330317,0.809302326,0.740425532,0.721991701,0.717703349,0.709677419,0.835443038,0.868421053,0.875912409
Eswatini,Q1,d4,0.34,0.34,0.3,0.3,0.3,0.34,0.46,0.56,0.66,0.8,0.8,0.84,0.83,0.8,0.73,0.73,0.8,0.8,0.72,0.61,0.52,0.52,0.46,0.34,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q2,d1,0.37,0.37,0.35,0.35,0.35,0.37,0.5,0.68,0.81,0.93,0.91,0.94,0.93,0.91,0.86,0.84,0.93,1,0.91,0.84,0.68,0.6,0.5,0.35,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q2,d2,0.35,0.35,0.35,0.31,0.31,0.35,0.48,0.64,0.71,0.85,0.85,0.89,0.88,0.85,0.79,0.79,0.88,0.91,0.79,0.71,0.6,0.54,0.48,0.35,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q2,d3,0.36,0.35,0.28,0.28,0.28,0.28,0.31,0.44,0.55,0.77,0.8,0.82,0.8,0.72,0.65,0.65,0.65,0.65,0.6,0.55,0.49,0.49,0.44,0.35,0.990825688,0.963302752,0.815533981,0.848484848,0.848484848,0.770642202,0.61589404,0.670050761,0.711206897,0.858736059,0.898876404,0.894545455,0.879120879,0.818181818,0.78,0.786290323,0.716911765,0.674740484,0.697674419,0.70212766,0.761658031,0.849710983,0.904109589
Eswatini,Q2,d4,0.37,0.37,0.33,0.33,0.33,0.37,0.53,0.65,0.8,0.91,0.91,0.92,0.92,0.88,0.85,0.85,0.91,0.98,0.88,0.8,0.65,0.59,0.48,0.37,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q3,d1,0.37,0.37,0.34,0.34,0.34,0.37,0.5,0.67,0.81,0.93,0.9,0.93,0.93,0.9,0.85,0.83,0.93,1,0.9,0.83,0.67,0.6,0.5,0.34,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q3,d2,0.37,0.37,0.33,0.33,0.33,0.37,0.48,0.65,0.79,0.88,0.91,0.92,0.92,0.88,0.85,0.83,0.91,0.98,0.85,0.79,0.65,0.59,0.48,0.33,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q3,d3,0.36,0.36,0.31,0.31,0.31,0.36,0.5,0.66,0.73,0.86,0.86,0.9,0.9,0.86,0.8,0.8,0.88,0.94,0.8,0.73,0.61,0.56,0.47,0.36,0.981818182,0.990825688,0.978947368,0.989361702,0.989361702,1.069306931,1.19047619,1.157894737,1.028169014,1.032,1.0078125,1.018867925,1.038461538,1.044534413,1.034482759,1.052631579,1.073170732,1.084615385,1.052631579,1.018604651,1.022346369,1.012048193,0.992957746
Eswatini,Q3,d4,0.36,0.35,0.28,0.27,0.27,0.27,0.28,0.39,0.53,0.69,0.75,0.8,0.75,0.69,0.62,0.62,0.62,0.62,0.53,0.53,0.47,0.47,0.44,0.35,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q4,d1,0.35,0.34,0.3,0.3,0.3,0.35,0.46,0.61,0.67,0.81,0.81,0.85,0.84,0.81,0.73,0.73,0.81,0.87,0.73,0.67,0.56,0.52,0.46,0.35,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q4,d2,0.34,0.34,0.3,0.3,0.3,0.34,0.42,0.55,0.66,0.81,0.79,0.85,0.84,0.79,0.72,0.72,0.81,0.79,0.71,0.61,0.52,0.52,0.46,0.34,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Q4,d3,0.29,0.27,0.24,0.24,0.24,0.24,0.24,0.34,0.42,0.54,0.65,0.67,0.65,0.6,0.54,0.51,0.54,0.54,0.51,0.45,0.42,0.42,0.37,0.27,0.861386139,0.801980198,0.782608696,0.808988764,0.808988764,0.712871287,0.549618321,0.593023256,0.646153846,0.689361702,0.840517241,0.807228916,0.795918367,0.775862069,0.743119266,0.721698113,0.692307692,0.680672269,0.742718447,0.733695652,0.807692308,0.828947368,0.822222222
Eswatini,Q4,d4,0.32,0.33,0.32,0.29,0.29,0.32,0.43,0.56,0.62,0.73,0.72,0.79,0.77,0.72,0.73,0.67,0.72,0.72,0.62,0.56,0.48,0.48,0.43,0.32,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q1,d1,0.52,0.47,0.44,0.44,0.44,0.52,0.71,0.78,0.86,0.87,0.87,0.87,0.94,0.87,0.82,0.82,0.87,0.96,0.89,0.86,0.78,0.77,0.71,0.52,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q1,d2,0.49,0.45,0.49,0.43,0.43,0.49,0.69,0.78,0.83,0.84,0.84,0.83,0.83,0.84,0.84,0.8,0.84,0.84,0.83,0.78,0.75,0.75,0.69,0.49,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q1,d3,0.5,0.5,0.46,0.4,0.4,0.4,0.46,0.63,0.75,0.83,0.8,0.8,0.8,0.83,0.78,0.78,0.78,0.78,0.75,0.69,0.69,0.69,0.66,0.5,0.986842105,1.079136691,1.014705882,0.923076923,0.923076923,0.789473684,0.654028436,0.811158798,0.885826772,0.968871595,0.93385214,0.9375,0.912547529,0.968871595,0.943548387,0.959016393,0.910505837,0.879699248,0.865384615,0.848360656,0.9,0.903930131,0.938388626
Tanzania,Q1,d4,0.51,0.47,0.43,0.43,0.43,0.51,0.71,0.77,0.85,0.86,0.86,0.86,0.86,0.86,0.82,0.82,0.86,0.86,0.88,0.8,0.77,0.77,0.71,0.51,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q2,d1,0.5,0.5,0.5,0.5,0.5,0.5,0.73,0.83,0.89,0.93,0.9,0.91,0.91,0.9,0.86,0.86,0.93,1,0.9,0.86,0.83,0.81,0.73,0.5,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q2,d2,0.52,0.48,0.52,0.45,0.45,0.52,0.72,0.82,0.87,0.88,0.88,0.88,0.9,0.88,0.86,0.86,0.93,0.94,0.86,0.87,0.8,0.78,0.72,0.52,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q2,d3,0.48,0.52,0.45,0.45,0.45,0.45,0.44,0.72,0.79,0.88,0.86,0.85,0.86,0.87,0.82,0.82,0.82,0.82,0.8,0.79,0.71,0.71,0.72,0.52,0.929032258,1.033112583,0.918367347,0.964285714,0.964285714,0.870967742,0.613953488,0.870967742,0.897727273,0.967032967,0.955555556,0.944444444,0.948529412,0.97752809,0.94980695,0.94980695,0.884892086,0.836734694,0.905660377,0.908045977,0.865853659,0.891213389,0.981818182
Tanzania,Q2,d4,0.53,0.53,0.45,0.45,0.45,0.53,0.7,0.83,0.88,0.92,0.92,0.91,0.91,0.89,0.87,0.87,0.92,1,0.89,0.88,0.83,0.8,0.75,0.53,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q3,d1,0.5,0.5,0.5,0.5,0.5,0.5,0.73,0.82,0.89,0.93,0.89,0.91,0.91,0.89,0.86,0.86,0.93,1,0.89,0.86,0.82,0.81,0.73,0.5,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q3,d2,0.52,0.52,0.47,0.47,0.47,0.52,0.74,0.82,0.89,0.89,0.92,0.9,0.9,0.89,0.87,0.87,0.92,1,0.87,0.89,0.82,0.8,0.74,0.47,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q3,d3,0.53,0.53,0.45,0.45,0.45,0.53,0.68,0.82,0.87,0.88,0.88,0.89,0.92,0.88,0.86,0.86,0.92,0.98,0.86,0.87,0.8,0.79,0.75,0.53,1.046052632,1.032467532,0.9375,0.97826087,0.97826087,1.111888112,1.051546392,1.074235808,1.023529412,0.985074627,1.003802281,1,1.049429658,1,1.015748031,1.015748031,1.037593985,1.046263345,1.019762846,1.035714286,1.021276596,1.021551724,1.032110092
Tanzania,Q3,d4,0.5,0.52,0.47,0.41,0.41,0.41,0.47,0.65,0.77,0.86,0.82,0.86,0.82,0.86,0.81,0.81,0.81,0.81,0.77,0.77,0.71,0.71,0.71,0.52,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q4,d1,0.52,0.47,0.44,0.44,0.44,0.52,0.71,0.81,0.85,0.86,0.86,0.86,0.86,0.86,0.81,0.81,0.86,0.95,0.88,0.85,0.77,0.77,0.71,0.52,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q4,d2,0.52,0.52,0.43,0.43,0.43,0.52,0.68,0.77,0.85,0.88,0.86,0.86,0.86,0.86,0.81,0.81,0.88,0.86,0.87,0.8,0.76,0.76,0.71,0.52,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Q4,d3,0.43,0.46,0.4,0.37,0.37,0.39,0.4,0.52,0.67,0.76,0.85,0.87,0.85,0.79,0.76,0.76,0.76,0.76,0.76,0.7,0.67,0.67,0.64,0.46,0.837662338,0.958333333,0.875912409,0.860465116,0.860465116,0.75974026,0.576923077,0.661016949,0.794466403,0.88372093,0.99609375,1.023529412,1,0.92578125,0.926829268,0.94214876,0.88372093,0.860377358,0.88372093,0.864197531,0.885462555,0.885462555,0.909952607
Tanzania,Q4,d4,0.5,0.45,0.5,0.42,0.42,0.5,0.69,0.78,0.83,0.84,0.84,0.83,0.83,0.84,0.84,0.8,0.84,0.84,0.83,0.78,0.74,0.74,0.69,0.5,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q1,d1,0.56,0.5,0.46,0.46,0.46,0.56,0.72,0.76,0.77,0.76,0.76,0.76,0.8,0.76,0.75,0.75,0.76,0.82,0.8,0.77,0.76,0.76,0.72,0.56,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q1,d2,0.49,0.44,0.49,0.42,0.42,0.49,0.68,0.74,0.75,0.74,0.74,0.73,0.74,0.74,0.74,0.73,0.74,0.74,0.75,0.74,0.74,0.74,0.68,0.49,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q1,d3,0.5,0.5,0.48,0.41,0.41,0.41,0.48,0.65,0.75,0.75,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.7,0.7,0.7,0.7,0.5,0.9375,1.048951049,1.028571429,0.92481203,0.92481203,0.76875,0.682464455,0.862831858,0.986842105,0.995575221,0.982300885,0.991071429,0.969432314,0.995575221,1.004464286,1.00896861,0.995575221,0.969827586,0.965665236,0.925110132,0.92920354,0.92920354,0.995260664
Zambia,Q1,d4,0.55,0.49,0.45,0.45,0.45,0.55,0.71,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.76,0.78,0.76,0.76,0.76,0.71,0.55,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q2,d1,0.57,0.57,0.56,0.56,0.56,0.57,0.76,0.83,0.83,0.8,0.83,0.77,0.8,0.83,0.78,0.83,0.8,1,0.83,0.83,0.83,0.82,0.76,0.56,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q2,d2,0.58,0.52,0.58,0.48,0.48,0.58,0.73,0.77,0.78,0.77,0.77,0.76,0.78,0.77,0.78,0.78,0.8,0.82,0.78,0.78,0.77,0.77,0.73,0.58,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q2,d3,0.53,0.58,0.52,0.52,0.52,0.52,0.48,0.75,0.77,0.76,0.79,0.76,0.79,0.79,0.77,0.77,0.77,0.77,0.78,0.77,0.73,0.73,0.75,0.58,0.903409091,1.023529412,0.957055215,1.019607843,1.019607843,0.886363636,0.637168142,0.933609959,0.946721311,0.966101695,0.991631799,0.991304348,1.008510638,0.979338843,0.978813559,0.958506224,0.966527197,0.830935252,0.962962963,0.946721311,0.908713693,0.9125,1
Zambia,Q2,d4,0.61,0.61,0.49,0.49,0.49,0.61,0.77,0.81,0.83,0.79,0.79,0.77,0.77,0.82,0.8,0.8,0.79,0.96,0.82,0.83,0.81,0.81,0.76,0.61,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q3,d1,0.58,0.58,0.55,0.55,0.55,0.58,0.76,0.83,0.82,0.81,0.83,0.76,0.76,0.83,0.78,0.82,0.81,0.99,0.83,0.82,0.83,0.82,0.76,0.55,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q3,d2,0.59,0.59,0.52,0.52,0.52,0.59,0.76,0.81,0.83,0.82,0.79,0.77,0.77,0.82,0.8,0.77,0.79,0.96,0.8,0.83,0.81,0.81,0.76,0.52,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q3,d3,0.58,0.58,0.48,0.48,0.48,0.58,0.73,0.77,0.79,0.77,0.77,0.77,0.8,0.77,0.79,0.79,0.8,0.88,0.79,0.79,0.79,0.78,0.75,0.58,0.988636364,1.005780347,0.894409938,0.947368421,0.947368421,1.074074074,1.063106796,0.982978723,0.979338843,0.9625,0.974683544,1.004347826,1.052631579,0.954545455,1.012820513,1.008510638,1.016949153,0.974169742,0.9875,0.979338843,1.004237288,0.995744681,0.995575221
Zambia,Q3,d4,0.59,0.56,0.54,0.45,0.45,0.45,0.54,0.71,0.77,0.77,0.75,0.77,0.75,0.77,0.76,0.76,0.76,0.76,0.77,0.77,0.72,0.72,0.74,0.56,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q4,d1,0.55,0.5,0.45,0.45,0.45,0.55,0.72,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.8,0.78,0.76,0.76,0.76,0.72,0.55,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Q4,d2,0.55,0.55,0.45,0.45,0.45,0.55,0.72,0.76,0.76,0.76,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.76,0.77,0.76,0.76,0.76,0.71,0.55,,,,,,,,,,,,,,,,,,,,,,,
