country,zone,attribute,resolution,year,TEST
Uganda,Uganda,Fixed O&M: $/MWh,,,10.0
Uganda,Uganda,Fixed O&M: $m,,2026,70.7
Uganda,Uganda,Fuel costs: $/MWh,,,0.2
Uganda,Uganda,Fuel costs: $m,,2026,1.4
Uganda,Uganda,Generation: GWh,,2026,7471.1
Uganda,Uganda,Import costs with internal zones: $/MWh,,,3.7
Uganda,Uganda,Import costs with internal zones: $m,,2026,26.1
Uganda,Uganda,Imports exchange: GWh,,2026,860.7
Uganda,Uganda,Investment costs: $/MWh,,,0.1
Uganda,Uganda,Investment costs: $m,,2026,0.6
Uganda,Uganda,New Capacity: MW,PV,2026,10.0
Uganda,Uganda,Price: $/MWh,,2026,48.7
Uganda,Uganda,Spinning Reserve: GWh,,2026,1975.6
Uganda,Uganda,Total Demand: GWh,,2026,7076.0
Uganda,Uganda,Trade shared benefits: $/MWh,,,-1.4
Uganda,Uganda,Transmission Capacity: MW,Kenya,2026,70.0
Uganda,Uganda,Transmission Capacity: MW,Rwanda,2026,342.0
Uganda,Uganda,Transmission Capacity: MW,Tanzania,2026,70.0
Uganda,Uganda,Variable O&M: $/MWh,,,0.7
Uganda,Uganda,Variable O&M: $m,,2026,5.3
