gen,Q1,Q2,Q3,Q4
Kipevu I Diesel,0.92,0.92,0.92,0.92
Kipevu III Diesel,0.92,0.92,0.92,0.92
Muhoroni,0.92,0.92,0.92,0.92
Rabai Power,0.92,0.92,0.92,0.92
Thika Power,0.92,0.92,0.92,0.92
Triumph Diesel,0.92,0.92,0.92,0.92
Alten Kesses 1 Kenya Ltd,0.985,0.985,0.985,0.985
Eldosol-Cedate,0.985,0.985,0.985,0.985
Malindi Solar- Vateki,0.985,0.985,0.985,0.985
REA Garissa Solar,0.985,0.985,0.985,0.985
ExistingSmallHydro,0.485445205,0.499952435,0.516726915,0.526969178
Gitaru,0.434863683,0.444187243,0.436664095,0.458333333
Kamburu,0.517283951,0.515740741,0.515277778,0.506944444
Kiambere,0.670477642,0.636432927,0.640074526,0.659044715
Kindaruma,0.300469484,0.328442879,0.305946792,0.329616588
Masinga,0.475694444,0.260069444,0.508680556,0.442013889
Sangoro,0.388888889,0.771527778,0.846527778,0.785416667
Sondu,0.41087963,0.793055556,0.8625,0.793518519
Tana,0.423611111,0.691666667,0.513888889,0.647222222
Turkwel,0.636904762,0.49047619,0.56005291,0.593253968
Kipeto Wind - I,0.97,0.97,0.97,0.97
