g,Q1,Q2,Q3,Q5,Q4
PAK_S_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
PAK_S_CCGT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_S_GT_LNG_cand,0.9,0.9,0.9,0.9,0.9
PAK_S_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_S_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
PAK_S_PV_Solar_cand,1,1,1,1,1
PAK_S_WT_Wind_cand,1,1,1,1,1
PAK_S_ST_HFO_cand,0.9,0.9,0.9,0.9,0.9
TAJ_N_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
TAJ_N_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TAJ_N_CHP_Coal_cand,0.9,0.9,0.9,0.9,0.9
TAJ_N_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TAJ_N_PV_Solar_cand,1,1,1,1,1
TAJ_N_WT_Wind_cand,1,1,1,1,1
TAJ_N_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
TAJ_S_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
TAJ_S_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TAJ_S_CHP_Coal_cand,0.9,0.9,0.9,0.9,0.9
TAJ_S_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TAJ_S_PV_Solar_cand,1,1,1,1,1
TAJ_S_WT_Wind_cand,1,1,1,1,1
TAJ_S_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
TUR_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
TUR_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TUR_CHP_Gas_cand,0.9,0.9,0.9,0.9,0.9
TUR_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
TUR_PV_Solar_cand,1,1,1,1,1
TUR_WT_Wind_cand,1,1,1,1,1
TUR_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
UZB_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
UZB_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
UZB_CHP_Gas_cand,0.9,0.9,0.9,0.9,0.9
UZB_GT_Gas_cand,0.9,0.9,0.9,0.9,0.9
UZB_PV_Solar_cand,1,1,1,1,1
UZB_WT_Wind_cand,1,1,1,1,1
ATBASH_HY_2010,0.450521,0.430521,0.430521,0.430521,0.430521
PAK_KAR_PV_Solar_committed,1,1,1,1,1
SALMA_HPP,0,0.0502646,0.0724339,0.0724339,0.00876323
NEPS_HERAT_PV_1,0.0502646,1,1,1,1
NEPS_HERAT_WT,0.0724339,1,1,1,1
NEPS_HERAT_PV_2,0.00876323,1,1,1,1
NEPS_HERAT_ST_Coal_cand,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT_CCGT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT_Gas_cand,0.9,0.9,0.9,0.9,0.9
NEPS_HERAT_PV_Solar_cand,1,1,1,1,1
NEPS_HERAT_ICE_HFO_cand,0.9,0.9,0.9,0.9,0.9
IRAN_Import,0.9,0.9,0.9,0.9,0.9
DARUNTA_HY,0.383009,0.459152,0.48159,0.48159,0.292647
MAHIPER_HY,0.275589,0.181766,0.00326599,0.00326599,0.0324495
SOROBI_HY,0.871385,0.658637,0.893699,0.893699,0.786105
PUL_E_KHUMRI_HY,0.264192,0.192799,0.303427,0.303427,0.330988
KAJAKI II_HY,0.356994,0.642136,0.579013,0.579013,0.231459
SEPS_PV,1,1,1,1,1
KAZ_N_PV_Solar_cand_2031,1,1,1,1,1
KAZ_N_WT_Wind_cand_2031,1,1,1,1,1
KAZ_S_PV_Solar_cand_2031,1,1,1,1,1
KAZ_S_WT_Wind_cand_2031,1,1,1,1,1
KGZ_N_PV_Solar_cand_2031,1,1,1,1,1
KGZ_N_WT_Wind_cand_2031,1,1,1,1,1
KGZ_S_PV_Solar_cand_2031,1,1,1,1,1
KGZ_S_WT_Wind_cand_2031,1,1,1,1,1
TAJ_N_PV_Solar_cand_2031,1,1,1,1,1
TAJ_N_WT_Wind_cand_2031,1,1,1,1,1
TAJ_S_PV_Solar_cand_2031,1,1,1,1,1
TAJ_S_WT_Wind_cand_2031,1,1,1,1,1
TUR_PV_Solar_cand_2031,1,1,1,1,1
TUR_WT_Wind_cand_2031,1,1,1,1,1
UZB_PV_Solar_cand_2031,1,1,1,1,1
UZB_WT_Wind_cand_2031,1,1,1,1,1
